title,number,page_id,namespace,size_bytes,last_change,item,total_views
Northern Congolian forest–savanna mosaic,7,5734415,(Article),9719,2025-02-14T05:53:01Z,Q7058261,3995
Onesimus Asiimwe,95,80113322,(Article),7822,2025-07-30T17:25:08Z,Q134695410,2
Outdoor structures in Uganda,80,72778147,Category,140,2023-01-17T23:40:47Z,Q116569562,NA
Paleontology in Uganda,91,78653070,Category,159,2024-12-21T04:41:52Z,Q131521299,NA
Parks in Uganda,14,11189901,Category,202,2023-01-17T23:40:36Z,Q9657847,NA
Protected areas of Uganda,29,28024551,Category,237,2020-08-10T06:47:01Z,Q7903062,27
Ramsar sites in Uganda,41,36274638,Category,209,2024-05-20T14:43:21Z,Q8633431,NA
Rural Agency for Sustainable Development,25,23252384,(Article),10029,2022-03-20T15:22:55Z,Q7380469,148
Rwenzori–Virunga montane moorlands,48,37601002,(Article),5793,2025-07-30T04:37:20Z,Q6093753,2857
The Shamba Raiders,3,2151282,(Article),2427,2024-02-13T18:13:22Z,Q7763627,123
Types of fish in Uganda,56,44318956,(Article),10581,2025-02-16T07:25:16Z,Q25041018,11049
Uganda Game and Fisheries Department,45,36769501,(Article),7676,2025-07-28T06:23:37Z,Q7877597,190
Uganda National Meteorological Authority,69,59877163,(Article),5175,2024-07-02T11:42:54Z,Q30262108,647
Ugandan conservationists,66,59637906,Category,201,2020-08-10T06:46:55Z,Q60821847,NA
Ugandan environmentalists,67,59654986,Category,250,2019-01-13T15:16:25Z,Q60822137,NA
Victoria Basin forest–savanna mosaic,74,62003988,(Article),10996,2025-06-20T11:16:41Z,Q5558471,3058
Victoria Basin forest–savanna mosaic,75,62013446,Category,475,2021-11-05T06:47:36Z,Q86808017,3058
Water in Uganda,40,36224787,Category,118,2020-01-06T00:56:03Z,Q8909699,6
Water politics in the Nile Basin,13,10811807,(Article),28319,2025-07-20T18:39:32Z,Q2822832,10607
Water sports in Uganda,63,52144849,Category,164,2020-08-04T03:28:27Z,Q28462633,NA
Water supply and sanitation in Uganda,21,17442495,(Article),79809,2025-06-28T22:44:01Z,Q7973837,1740
Water supply and sanitation in Uganda,38,35464306,Category,174,2021-08-17T21:25:21Z,Q8910145,1740
Water transport in Uganda,64,53102156,Category,175,2019-07-26T02:48:15Z,Q28719888,4
Waterfalls of Uganda,1,1652933,Category,220,2016-12-24T21:36:57Z,Q9092466,NA
Wetlands of Uganda,52,39163650,Category,229,2024-07-21T08:55:17Z,Q13303822,NA
Wildlife of Uganda,15,11409289,(Article),13331,2025-02-15T12:28:12Z,Q8001444,7169
Wildlife sanctuaries of Uganda,55,41103473,Category,183,2020-12-18T18:06:08Z,Q15379327,NA
World Heritage Sites in Uganda,5,4665142,Category,262,2020-08-10T06:47:07Z,Q7319800,NA
Zika Forest,61,48915578,(Article),6511,2025-05-25T03:25:17Z,Q22138769,2798
Zirimiti Forest Reserve,88,77152517,(Article),4935,2025-06-21T12:58:44Z,Q126639659,121
