title,number,page_id,namespace,size_bytes,last_change,item,total_views
Research in Uganda,57,55646090,Category,186,2025-01-27T10:57:52Z,Q49794708,NA
School dropouts in Uganda,86,77291385,(Article),4666,2025-04-28T01:41:34Z,Q131319987,NA
Schools in Uganda,1,2074747,Category,276,2020-02-02T16:49:45Z,Q7483513,NA
Soroti University,30,36984697,(Article),9330,2024-08-04T20:25:42Z,Q7563661,1897
Student sport in Uganda,73,64244409,Category,106,2020-06-11T12:59:49Z,Q105515412,NA
Uganda Advanced Certificate of Education,8,11492081,(Article),879,2024-10-20T20:08:40Z,Q7877577,8720
Uganda at the Universiade,72,64244404,Category,158,2024-04-11T21:53:16Z,Q105321473,NA
Uganda Certificate of Education,16,22947493,(Article),794,2024-03-22T09:15:33Z,Q7877585,5322
Uganda education-related lists,31,37421949,Category,278,2017-10-21T07:50:46Z,Q8854448,NA
Uganda Hotel and Tourism Training Institute,60,56108613,(Article),7985,2025-07-22T13:21:48Z,Q48806349,698
Uganda Martyrs University,6,9506038,(Article),13445,2025-07-22T13:31:30Z,Q7877609,7931
Uganda National Council for Higher Education,39,43800495,(Article),5089,2024-07-02T11:39:51Z,Q18356047,1699
Uganda National Examinations Board,63,58621517,(Article),3049,2025-06-17T03:03:19Z,Q60746495,5634
Uganda National Teachers Union,64,58633772,(Article),3583,2025-07-22T14:15:08Z,Q60746767,639
Ugandan academic administrators,59,56074405,Category,152,2019-01-14T02:58:42Z,Q49810485,NA
Ugandan academics,3,4725679,Category,68,2024-11-23T17:07:39Z,Q8854547,NA
Ugandan educators,14,22353210,Category,122,2009-12-17T15:55:16Z,Q8854613,NA
Ugandan flight instructors,76,70581129,Category,92,2023-12-03T22:48:22Z,Q111924359,NA
Ugandan professors,88,78685459,Category,61,2024-12-22T10:24:45Z,Q131675728,NA
Ugandan women educators,80,74655101,Category,181,2024-06-16T23:18:17Z,Q121788256,NA
Universities and colleges in Uganda,7,9751148,Category,121,2023-12-31T17:52:10Z,Q15922392,NA
University of the Sacred Heart Gulu,58,55993236,(Article),5229,2025-02-08T11:51:06Z,Q48741701,504
Vocational education in Uganda,45,49517253,Category,135,2016-03-16T13:47:17Z,Q24991819,3
Vocational schools in Uganda,55,54955480,Category,113,2017-08-21T01:28:10Z,Q49764565,NA
Wilson Kitara,71,63498833,(Article),1205,2025-06-21T19:35:32Z,Q88862663,110
Women's education in Uganda,85,77161592,Category,158,2024-11-25T15:25:06Z,Q126870605,20
Yoramu Bamunoba,69,63320346,(Article),1555,2025-05-03T22:25:12Z,Q87355538,520
