title,number,page_id,namespace,size_bytes,last_change,item,total_views
Irene Marjorie Kabamori,257,79670619,(Article),2456,2025-04-19T06:55:27Z,Q133852624,NA
Jacqueline Kyatuheire,246,76514001,(Article),7135,2025-05-12T13:22:49Z,Q111293047,346
Jane Asiimwe Muhindo,249,77694887,(Article),6530,2025-03-02T22:04:12Z,Q129652260,210
JLOS House Project,151,50853137,(Article),8249,2024-03-03T10:19:17Z,Q24883426,502
John Nagenda,27,4783808,(Article),12236,2025-04-29T12:01:46Z,Q6250124,1633
Joint Anti-Terrorist Task Force of Uganda,10,1840280,(Article),5249,2025-07-11T09:58:05Z,Q6269087,1606
Judiciary of Uganda,176,52036335,Category,76,2020-04-14T19:36:24Z,Q28459801,248
Justices of the High Court of Uganda,201,56289198,Category,129,2023-09-01T09:37:31Z,Q55959577,NA
Kabakas of Buganda,178,53735023,Category,193,2025-04-18T20:41:00Z,Q29527928,NA
Kalama Armoured Warfare Training School,115,42146076,(Article),5307,2025-01-07T19:05:37Z,Q16893042,973
Keith Kalyegira,148,50340190,(Article),3373,2025-05-08T03:59:53Z,Q24053515,531
Kiira Motors Corporation,142,49317717,(Article),39630,2025-05-06T19:36:20Z,Q25226889,13511
Kingdom of Rwenzururu,82,24763857,Category,99,2009-10-20T19:26:40Z,Q8574270,2597
Kintu Florence,233,70408628,(Article),5496,2024-11-27T00:04:47Z,Q111383455,168
Kitagwenda,91,27743323,(Article),3385,2025-07-19T15:07:14Z,Q6417710,1096
Kooki,62,20867703,(Article),7452,2025-07-16T07:26:23Z,Q6430555,5118
Kwizera Eudia,232,70377705,(Article),3265,2024-11-27T00:04:43Z,Q111179575,524
Lamex Omara Apitta,248,77423530,(Article),6499,2025-02-11T00:53:46Z,Q127785174,133
Lanyero Sarah Ochieng,234,70423765,(Article),4540,2025-02-06T04:33:00Z,Q111421163,170
Law enforcement in Uganda,18,2431585,Category,132,2022-03-22T09:39:20Z,Q8584954,200
Law firms of Uganda,133,44941469,Category,159,2022-03-22T09:39:16Z,Q24974021,NA
Law of Uganda,23,2978856,Category,151,2024-05-23T16:27:22Z,Q7284233,75
Law schools in Uganda,177,53172492,Category,190,2024-02-27T23:45:35Z,Q29627368,NA
Leader of the Opposition (Uganda),159,51510713,(Article),13911,2025-03-21T22:13:29Z,Q28457538,6673
Leaders of the opposition (Uganda),212,59645150,Category,136,2025-03-21T22:13:23Z,Q60822006,NA
Legal practice in Uganda,220,60893518,(Article),12958,2025-07-23T16:58:23Z,Q65041761,263
