title,number,page_id,namespace,size_bytes,last_change,item,total_views
Kiwaatule,346,25833201,(Article),7130,2022-10-30T06:29:35Z,Q6418842,1304
Kiwoko,271,24274446,(Article),5479,2020-08-10T00:33:47Z,Q6418933,1022
Kiwumulo Cave,936,75463868,(Article),4148,2025-03-01T06:24:38Z,Q123608985,335
Koboko,86,6279474,(Article),11708,2025-07-03T17:08:40Z,Q2391998,6014
Koboko District,212,22796700,Category,99,2024-11-08T21:30:31Z,Q8575351,2832
Koch-Goma,769,61304744,(Article),5030,2025-03-03T01:16:03Z,Q85774756,353
Kole District,428,30251104,Category,32,2011-03-01T09:44:19Z,Q8575500,1970
"Kole, Uganda",429,30251799,(Article),6728,2024-02-08T22:55:03Z,Q6427154,345
Kora National Park,89,6435424,(Article),4352,2025-06-28T16:42:17Z,Q1784196,3965
Kotido,78,5521681,(Article),5301,2025-07-04T17:19:55Z,Q2505963,1333
Kotido,930,74498750,Category,201,2023-08-01T15:57:00Z,Q116786489,1333
Kotido Airport,319,25403328,(Article),2022,2024-10-30T12:09:43Z,Q6434053,186
Kotido District,208,22795832,Category,99,2024-11-08T21:31:00Z,Q8576493,2189
KSMO (Uganda),547,42851884,(Article),7152,2025-07-22T09:39:37Z,Q18386474,392
Kulambiro,348,25841432,(Article),3527,2022-05-21T20:43:46Z,Q6442775,1297
Kulikulinga Town Council,859,72131684,(Article),1764,2023-07-27T06:00:08Z,Q115801251,90
Kumi District,206,22795817,Category,68,2013-03-29T00:08:09Z,Q8576867,2543
Kumi Town,203,22790530,(Article),10749,2025-07-09T13:06:43Z,Q6273034,1384
Kwania District,743,59620295,(Article),2713,2025-06-19T20:54:20Z,Q60769699,1224
Kween District,400,30026132,Category,32,2010-12-17T20:16:29Z,Q8577310,2607
Kyabandara,793,63509046,(Article),1083,2020-04-22T20:21:14Z,Q96386489,163
Kyagalanyi Coffee Limited,380,26946115,(Article),3449,2024-07-01T00:44:47Z,Q6450651,804
Kyaliwajjala,464,32165765,(Article),9554,2024-05-24T00:07:01Z,Q6450699,1415
Kyaliwajjala–Kira–Kasangati–Matugga Road,812,65268566,(Article),4991,2025-07-13T20:47:31Z,Q104855939,771
Kyambogo,109,10868582,(Article),5384,2025-07-13T20:48:05Z,Q18344234,1262
Kyambogo University,518,39004427,Category,226,2020-08-20T02:33:52Z,Q13267325,9206
Kyambogo University,108,10868571,(Article),11393,2025-07-13T20:48:08Z,Q2753927,9206
Kyambura Game Reserve,124,14306578,(Article),6195,2025-04-28T18:24:09Z,Q6450702,1816
Kyanika,581,47266910,(Article),5121,2025-02-04T16:00:24Z,Q22082385,303
Kyankwanzi,405,30063063,(Article),7962,2022-06-27T15:38:46Z,Q6450730,1394
Kyankwanzi District,406,30063122,Category,32,2010-12-17T20:14:01Z,Q8577332,3885
Kyazanga,270,24235288,(Article),6755,2024-08-20T12:58:55Z,Q6450860,934
Kyebando,458,32063672,(Article),4899,2025-05-13T08:53:57Z,Q6450894,1419
Kyegegwa,439,30356926,(Article),5806,2025-07-10T15:33:44Z,Q6450897,574
Kyegegwa District,438,30356494,Category,32,2011-03-01T09:45:17Z,Q8577338,2940
Kyengera,457,32062544,(Article),5103,2025-07-13T23:41:10Z,Q6450907,2151
Kyenjojo,98,7756879,(Article),9945,2025-07-08T17:53:26Z,Q5368395,1209
Kyenjojo District,177,22719038,Category,100,2024-11-08T21:46:51Z,Q8577340,2199
Kyetume,583,47274059,(Article),8230,2025-03-27T01:25:47Z,Q20746276,429
Kyewaga Central Forest Reserve,914,74025189,(Article),3933,2025-05-26T02:07:30Z,Q118976300,152
Kyondo Kasese,608,50414567,(Article),851,2024-11-25T14:25:57Z,Q25105075,124
Kyotera,257,23656169,(Article),9240,2024-07-25T16:58:30Z,Q15240982,1573
Kyotera District,664,54745756,(Article),5634,2024-07-10T02:09:55Z,Q38249546,2793
Kyotera District,663,54745308,Category,177,2024-11-08T21:25:35Z,Q49760924,2793
Lake Bujuku,945,77070552,(Article),2098,2025-06-01T10:18:48Z,Q126363916,236
Lake groups of Uganda,857,71491210,Category,123,2022-08-09T17:38:06Z,Q113594305,NA
