title,number,page_id,namespace,size_bytes,last_change,item,total_views
List of roads in Uganda,66,47201576,(Article),37336,2025-04-19T07:48:47Z,Q21068182,3644
List of tallest buildings in Kampala,40,33664064,(Article),18657,2025-07-21T18:31:55Z,Q6642246,23053
Lists of buildings and structures in Uganda,46,37429429,Category,300,2017-06-18T09:42:02Z,Q8596770,NA
Lists of Cultural Heritage Monuments in Uganda,87,55070372,Category,236,2021-01-22T17:07:03Z,Q49779323,NA
Lubiri,7,9729747,(Article),1514,2025-03-25T08:42:21Z,Q6695337,3651
Mackay Memorial College,19,23929002,(Article),2138,2025-03-29T15:12:02Z,Q6724290,515
Mahathi Fuel Transport and Storage Depot,110,65349602,(Article),9605,2023-08-26T10:25:04Z,Q104857551,625
Mahoma Hydroelectric Power Station,96,58989126,(Article),5187,2020-09-09T08:37:12Z,Q59155490,222
Masaka Sports Stadium,133,78253100,(Article),5419,2025-04-17T05:23:34Z,Q131191681,75
Masaka–Mbarara Water Supply and Sanitation Project,118,70215107,(Article),10126,2025-04-20T02:16:58Z,Q111948204,405
Matany Airstrip,71,49273574,(Article),2457,2024-09-25T16:23:07Z,Q25101401,95
Miracle Centre Cathedral,14,20513337,(Article),3811,2025-07-26T23:29:55Z,Q6872384,5716
Mityana–Sekanyonyi–Busunju Road,76,50910434,(Article),2974,2024-02-07T14:37:10Z,Q24883377,398
Monuments and memorials in Uganda,125,75139575,Category,120,2023-10-25T00:11:49Z,Q114029221,NA
Moroto Airport,24,25386434,(Article),2807,2025-04-02T03:06:53Z,Q3887953,255
Moyo Water Supply and Sanitation System,114,68677329,(Article),4891,2024-09-09T23:48:23Z,Q108660876,85
Mpondwe school massacre,123,74053337,(Article),15333,2025-02-25T17:43:04Z,Q119616154,4378
Museums in Uganda,50,38806746,Category,391,2020-04-27T01:29:38Z,Q13629803,NA
Mweya Airport,32,25821167,(Article),3898,2024-10-30T12:10:31Z,Q1528870,408
Namirembe Hill Side High School,37,32240217,(Article),2040,2024-09-06T13:33:28Z,Q6961898,514
Namulonge Airport,27,25771849,(Article),2561,2024-10-30T12:10:47Z,Q3565261,210
National Cultural Sites of Uganda,86,55010141,(Article),1273,2024-07-09T19:34:49Z,Q38085690,600
New Life Presbyterian Church,51,39023385,(Article),1984,2025-05-13T18:54:14Z,Q16968993,126
Nkuutu Memorial Secondary School,43,36612698,(Article),2852,2024-09-05T09:38:30Z,Q7042663,454
NSSF Mbarara Complex,99,61168798,(Article),4848,2023-07-09T14:40:45Z,Q65052298,523
Nyagak III Hydroelectric Power Station,41,34359578,(Article),11796,2024-01-19T14:29:24Z,Q7070788,328
Nyamuliro mine,54,39986317,(Article),2513,2025-03-28T18:54:14Z,Q16976247,557
