title,number,page_id,namespace,size_bytes,last_change,item,total_views
Ugandan diaspora in the United States,153,75664334,Category,214,2024-02-26T18:26:52Z,Q125071096,NA
Ugandan educators,39,22353210,Category,122,2009-12-17T15:55:16Z,Q8854613,NA
Ugandan emigrants,25,9573850,Category,152,2012-07-06T02:02:39Z,Q8854615,NA
Ugandan engineers,53,27401369,Category,304,2025-01-27T10:55:56Z,Q8854628,NA
Ugandan environmentalists,122,59654986,Category,250,2019-01-13T15:16:25Z,Q60822137,NA
Ugandan expatriates,35,21223862,Category,76,2019-04-04T13:44:26Z,Q8854633,NA
Ugandan farmers,138,70883702,Category,128,2022-05-27T16:36:39Z,Q112247495,NA
Ugandan feminists,65,32134988,Category,249,2018-05-13T16:07:05Z,Q8854665,NA
Ugandan health professionals,104,53313128,Category,193,2023-07-12T09:56:24Z,Q30680269,NA
Ugandan Jews,38,22303497,Category,234,2023-08-02T03:33:49Z,Q8854522,20
Ugandan lawyers,15,7705439,Category,171,2023-04-15T19:43:30Z,Q8854707,NA
Ugandan LGBTQ people,47,25176352,Category,343,2024-09-23T12:09:00Z,Q8578525,NA
Ugandan LGBTQ people by century,141,73287555,Category,199,2025-07-28T08:23:56Z,Q117113073,NA
Ugandan librarians,84,40570219,Category,135,2013-09-18T23:08:37Z,Q15145235,NA
Ugandan mass media people,93,49265812,Category,175,2020-05-19T07:32:00Z,Q24990890,NA
Ugandan men,87,41285884,Category,213,2021-01-23T06:52:42Z,Q15369869,NA
Ugandan men by occupation,86,41285881,Category,198,2017-01-27T20:52:51Z,Q15369873,NA
Ugandan men centenarians,158,78492670,Category,105,2024-12-14T23:06:28Z,Q131515423,NA
Ugandan military personnel,4,2641054,Category,242,2023-01-15T19:55:46Z,Q8854728,NA
Ugandan models,68,35073981,Category,159,2018-04-03T06:04:42Z,Q8854730,NA
Ugandan motivational speakers,124,60724315,Category,98,2019-05-10T08:10:09Z,Q65623328,NA
Ugandan murder victims,28,16974979,Category,144,2022-03-09T03:39:18Z,Q8854732,NA
Ugandan murderers,150,75053170,Category,127,2023-10-14T09:10:40Z,Q125071098,NA
Ugandan musicians,3,2546596,Category,405,2025-07-12T00:06:57Z,Q8854740,NA
Ugandan Muslims,21,8332819,Category,179,2023-02-11T12:31:04Z,Q8854525,NA
Ugandan nationalists,102,52598938,Category,140,2024-05-13T20:58:50Z,Q28442723,NA
Ugandan pacifists,157,77001202,Category,131,2024-05-24T06:20:25Z,Q126451006,NA
Ugandan pan-Africanists,129,66070327,Category,149,2024-11-04T18:14:15Z,Q105451286,NA
Ugandan people by century,117,56764337,Category,122,2018-03-08T00:42:34Z,Q52146408,NA
Ugandan people by century and occupation,139,71599614,Category,250,2022-08-25T16:17:52Z,Q113862254,NA
Ugandan people by descent,30,18078429,Category,190,2024-02-21T10:57:16Z,Q7290571,NA
Ugandan people by location,18,7948550,Category,135,2025-03-03T22:28:03Z,Q8854750,NA
Ugandan people by occupation,10,4512156,Category,131,2025-04-27T11:47:13Z,Q7062970,NA
Ugandan people by occupation and century,116,56764322,Category,250,2018-03-06T10:43:16Z,Q55963940,NA
Ugandan people by political orientation,62,28640584,Category,300,2018-11-24T14:41:01Z,Q8854751,NA
Ugandan people by populated place,17,7948543,Category,226,2025-05-15T09:00:26Z,Q6825527,NA
Ugandan people by region,56,27958430,Category,669,2025-07-24T17:38:41Z,Q8722883,NA
Ugandan people by religion,20,8332780,Category,233,2021-04-17T02:27:32Z,Q8854752,NA
Ugandan people convicted of rape,136,70185674,Category,88,2022-02-28T00:42:34Z,Q111928007,NA
Ugandan people imprisoned abroad,34,20363519,Category,318,2013-03-05T00:36:17Z,Q8854755,NA
Ugandan people in sports,121,57573084,Category,203,2019-01-03T18:24:38Z,Q17311479,NA
Ugandan people of African descent,98,51862016,Category,264,2025-03-01T17:16:29Z,Q28430479,NA
Ugandan people of Asian descent,85,40632197,Category,128,2025-03-01T17:16:07Z,Q15145233,NA
Ugandan people of British descent,76,38161096,Category,196,2024-02-20T21:50:34Z,Q8854759,NA
Ugandan people of Canadian descent,118,56869529,Category,197,2024-02-20T21:50:36Z,Q55944677,NA
Ugandan people of Danish descent,156,76750587,Category,136,2024-04-27T09:31:24Z,Q126451007,NA
Ugandan people of Democratic Republic of the Congo descent,144,73399550,Category,288,2025-03-01T17:17:22Z,Q117540789,NA
Ugandan people of Dutch descent,155,76608527,Category,187,2024-04-14T00:06:07Z,Q126451008,NA
Ugandan people of European descent,82,40275468,Category,96,2025-03-01T17:16:59Z,Q15145231,NA
Ugandan people of German descent,125,61344406,Category,186,2024-02-20T21:50:42Z,Q86342760,NA
Ugandan people of Indian descent,58,27971816,Category,212,2024-02-20T21:50:44Z,Q8854761,NA
Ugandan people of Iranian descent,148,74602987,Category,183,2024-02-20T21:50:46Z,Q122070299,NA
Ugandan people of Irish descent,137,70280352,Category,183,2024-02-20T21:50:48Z,Q111945652,NA
Ugandan people of Italian descent,140,71920696,Category,187,2024-02-20T21:50:50Z,Q114761231,NA
Ugandan people of North American descent,119,56869531,Category,115,2025-03-01T17:16:42Z,Q55963943,NA
Ugandan people of Pakistani descent,57,27971808,Category,209,2024-02-20T21:50:54Z,Q8854763,NA
Ugandan people of Rwandan descent,133,67869621,Category,187,2025-03-01T17:17:22Z,Q107300574,NA
Ugandan people of Sudanese descent,95,49378790,Category,183,2025-03-01T17:17:23Z,Q24991381,NA
Ugandan people stubs,89,43067519,Category,218,2020-02-28T15:46:36Z,Q9836230,NA
Ugandan people with disabilities,51,26281884,Category,217,2025-03-01T17:15:25Z,Q8854767,NA
Ugandan philanthropists,83,40460432,Category,162,2017-04-21T19:35:05Z,Q15145229,NA
Ugandan police officers,14,6959684,Category,272,2008-10-01T07:29:56Z,Q7016384,NA
Ugandan political people,114,56194789,Category,204,2018-11-24T13:50:54Z,Q47012390,NA
Ugandan politician stubs,41,22576636,Category,221,2017-07-11T14:12:26Z,Q8854776,NA
Ugandan politicians by party,60,28639951,Category,285,2023-07-02T08:27:17Z,Q8854779,NA
Ugandan prisoners and detainees,29,17555164,Category,235,2008-11-23T21:40:02Z,Q8854781,NA
Ugandan prisoners of war,108,54888529,Category,190,2025-01-01T18:45:40Z,Q49762892,NA
Ugandan prisoners sentenced to death,33,20363479,Category,378,2008-11-23T21:36:13Z,Q8854782,NA
Ugandan producers,96,49421829,Category,158,2016-02-14T02:31:09Z,Q24991504,NA
Ugandan religious workers,161,79641572,Category,165,2025-04-06T03:49:36Z,Q135457371,NA
Ugandan royalty,97,51771941,Category,64,2016-09-29T06:55:47Z,Q28429761,NA
Ugandan scientists,77,38272823,Category,395,2025-01-27T10:52:47Z,Q6999871,NA
Ugandan Sikhs,43,23881601,Category,125,2020-12-24T00:44:45Z,Q8854544,NA
Ugandan socialists,61,28640576,Category,167,2014-09-11T01:53:37Z,Q8854798,NA
Ugandan socialites,149,74779767,Category,224,2025-02-12T18:45:37Z,Q125071100,NA
Ugandan spies,128,65613788,Category,81,2024-11-16T03:34:22Z,Q105159913,NA
Ugandan sportspeople stubs,31,18963517,Category,323,2017-10-05T11:49:54Z,Q8854813,NA
Ugandan theatre people,94,49377786,Category,211,2016-02-09T23:20:41Z,Q22967926,NA
Ugandan traditional rulers and monarchs,32,19489890,Category,112,2023-06-15T11:12:12Z,Q8854821,NA
Ugandan transgender people,142,73287595,Category,134,2025-05-25T01:17:56Z,Q113302302,NA
Ugandan twins,70,35704149,Category,74,2022-10-13T14:49:10Z,Q8877466,NA
Ugandan urban planners,110,55749932,Category,209,2022-12-14T11:19:40Z,Q49796300,NA
Ugandan victims of crime,67,34246480,Category,83,2012-01-01T14:55:08Z,Q8854825,NA
Ugandan women,46,24974840,Category,188,2017-01-24T02:21:26Z,Q8854829,NA
Ugandan women by century,120,56987143,Category,229,2025-07-28T08:25:15Z,Q52146407,NA
Ugandan women by occupation,45,24974834,Category,298,2018-04-03T06:05:02Z,Q8854832,NA
Ugandan women centenarians,159,78492673,Category,111,2024-12-14T22:52:29Z,Q131515428,NA
Ugandan writers,5,2641133,Category,241,2020-04-25T18:27:06Z,Q7439502,3
Ugandan Zionists,147,73823060,Category,175,2023-05-17T13:58:01Z,Q118917980,NA
Usama Mukwaya,91,44261320,Category,458,2024-10-26T04:34:53Z,Q18524414,3005
Wikipedia categories named after Ugandan people,69,35316567,Category,177,2025-02-14T09:07:17Z,Q8922921,NA
Yosia Nadiope of Busoga,55,27670865,(Article),580,2025-07-28T13:40:44Z,Q16802088,211
Yoweri Museveni,126,61777477,Category,230,2025-02-01T01:19:11Z,Q55331116,496780
