title,number,page_id,namespace,size_bytes,last_change,item,total_views
Student movements in Uganda,84,58521860,(Article),19863,2025-06-14T12:58:48Z,Q60744436,1165
Trade unions in Uganda,42,26537391,Category,180,2020-02-07T18:59:00Z,Q8862893,2101
Treaties of Uganda,18,11612000,Category,449,2022-03-22T09:39:30Z,Q7306086,NA
Uganda and the Commonwealth of Nations,51,33695678,Category,119,2020-10-03T23:39:04Z,Q8854425,NA
Uganda and the United Nations,85,58822191,Category,93,2018-10-19T12:37:23Z,Q60627430,NA
Uganda diplomacy-related lists,72,53974339,Category,151,2023-10-29T11:31:13Z,Q30807644,NA
Uganda Local Governments Association,54,37183615,(Article),11222,2025-06-13T18:18:00Z,Q7877607,1145
Uganda politics-related lists,55,37429664,Category,285,2018-02-04T10:07:56Z,Q8854474,NA
"Uganda v Commissioner of Prisons, Ex Parte Matovu",74,54780877,(Article),18832,2024-11-02T20:22:44Z,Q39057536,9349
Uganda–United Kingdom relations,93,71527684,(Article),6140,2025-06-14T01:06:58Z,Q64926678,1540
Ugandan expatriate judges,59,38525115,Category,258,2013-02-26T22:30:56Z,Q8854632,NA
Ugandan human rights activists,25,17450434,Category,139,2008-05-16T01:54:54Z,Q8854673,NA
Ugandan nationalism,36,21994008,Category,182,2018-02-04T19:10:29Z,Q8854743,389
Ugandan passport,52,35594517,(Article),8831,2025-07-22T16:02:32Z,Q7877695,8779
Ugandan people by political orientation,48,28640584,Category,300,2018-11-24T14:41:01Z,Q8854751,NA
Ugandan people imprisoned abroad,31,20363519,Category,318,2013-03-05T00:36:17Z,Q8854755,NA
Ugandan people murdered abroad,29,19052706,Category,269,2020-01-07T13:47:19Z,Q8854757,NA
Ugandan political people,76,56194789,Category,204,2018-11-24T13:50:54Z,Q47012390,NA
Ugandan political scientists,90,64381972,Category,156,2020-06-26T00:11:03Z,Q105442416,NA
Ugandan politicians,8,1708497,Category,329,2023-07-02T08:25:13Z,Q7068788,NA
Ugandan rebels,14,8394149,Category,151,2023-11-20T06:04:22Z,Q8854786,NA
United Nations Security Council Resolution 177,21,13200138,(Article),1287,2025-01-22T22:25:45Z,Q1895884,447
United Nations Security Council resolutions concerning Uganda,45,27823507,Category,156,2024-08-27T21:37:42Z,Q8869439,NA
Visa policy of Uganda,63,40720909,(Article),5424,2024-09-22T14:57:24Z,Q17086416,10648
Visa requirements for Ugandan citizens,67,45402493,(Article),56945,2025-05-29T16:17:11Z,Q19605241,12375
Wars involving Uganda,19,11612397,Category,266,2024-05-18T16:34:09Z,Q8167004,NA
We Are Displaced,83,58092640,(Article),21493,2025-07-06T02:03:38Z,Q65090986,3134
Whitaker scandal,24,15866328,(Article),5767,2025-07-17T15:06:29Z,Q7994138,193
Women's rights in Uganda,87,59449249,Category,232,2022-06-28T00:57:38Z,Q60642367,25
