qitem,label,statements,occupation_names,description
Q136902026,Happy Ainomugusha,7,program manager,Ugandan program manager
Q134286897,Hellen Kyomuhangi Kamuli,7,administrator,Ugandan administrator
Q55063243,Hellen Mutungi,7,,fictional character from the television series Beneath The Lies
Q141278523,Ireen Twongirwe,7,climate activist,Ugandan climate activist
Q110977561,Irene Kaggwa Sewankambo,7,,Ugandan electrical engineer
Q133864808,Jacqueline Mwondha,7,high court judge,Acting High Court Judge
Q134081279,Jamilah  Kamulegeya,7,official,A member of the Public Service commission of Uganda
Q134267911,Jenifer Kageye,7,darts player,Darts Player
Q124672621,Jessica Kyeyune,7,professional,National Content Specialist
Q131278650,Joan Akello,7,freelance journalist,Ugandan journalist
Q139621717,Joselynne Rwabogo,7,engineer,Ugandan engineer
Q136902034,Joy Dinah Okono,7,program manager,Ugandan program manager
Q133887678,Joy Serunjogi,7,field hockey,Ugandan field hockey player
Q137029808,Kyamazima Beatrice,7,stenographer,Stenographer Kyambogo University
Q133875922,Laura Orobi,7,professor,First female professor Makerere University Business School
Q135646343,Leah Eryenyu,7,"community leader, political economist",Ugandan Feminist Political Economist
Q134113099,Leila Blick Mayanja,7,rally driver,Motorsport rally driver
Q133934039,Lillian Nagawa,7,engineer,A Ugandan engineer
Q104650700,Lynette Olokojo,7,editor,Editor
Q79827763,Margaret Nakakeeto,7,,Neonatal Pediatrician and scientist
Q133887724,Margaret Nassiwa,7,field hockey player,Ugandan field hockey player
Q133858551,Mariam Mayanja Nkalubo,7,,"Buganda Kingdom Minister for Gender, Water and Environment"
Q139270049,Masamba Jackline Rukyamuzi,7,human resource management,Human Resource Manager
Q138500240,Melissa Kiguwa,7,,Poet
Q137357356,Monica Opio,7,"painter, fashion designer, textile artist","painter, fashion designer, textile artist"
Q133864776,Nabakooza Flavia,7,high court judge,Acting High Court Judge
Q131105741,Nabwami Mary Assumpta,7,painter,Ugandan painting artist
Q134190367,Namata Ruth Kiwuulo Mbabazi,7,performing artist,Artist
Q139658941,Namugayi Justine,7,,Finance Manager
Q139658980,Nannozi Florence,7,,Human Rights Defender
Q139658943,Nanyonga Mary,7,,Finance Manager
Q136734798,Natasha Karungi Kashushu,7,performing artist,Ugandan creative
Q121279920,Norah Njuba Bwaya,7,trainer,Certified Executive coach in Leadership and organizational Development Specialist
Q136786606,Olivia Lutaaya,7,,Ugandan Political Activist
Q136865710,Privah Eliberz Nuwamanya,7,news presenter,media personality in Uganda
Q139835495,Prossy Nakakande,7,team manager,Ugandan team Manager
Q139807079,Rachael Kentenyingi,7,communication specialist,Ugandan communication specialist
Q133852935,Rebecca Amongi,7,mixed martial arts fighter,Mixed Martial Arts fighter
Q136892908,Rebecca Nambwayo,7,matron,Ugandan
Q131289706,Rebecca Nanjego,7,"comic, digital artist",Ugandan illustrator known for her feminist-inspired digital art and comic series
Q136902030,Rebecca Rukundo,7,program manager,Ugandan program manager
Q136902024,Regina Bafaki,7,director,Ugandan organisation director
Q133828551,Rhoda Ngozi,7,news presenter,UBC News Anchor
Q139658939,Rina Asasira,7,,Procurement Manager
Q141265690,Rose N. Kafeero,7,secretary,Ugandan secretary
Q133861409,Sabina Tumusiime,7,head teacher,Head teacher
Q123631488,Safina Namukwaya,7,,Currently the oldest living woman in Africa to have given birth
Q111442688,Sarah Mpabwa,7,soldier,Ugandan politician
Q136892909,Sarah Nabunya,7,chef,Ugandan chef
Q136868518,Sheila Saltofte,7,"media personality, presenter","media personality in Uganda, actress"
Q136902036,Sheillar Mutetsi,7,advertising person,Ugandan publicity manager
Q133514633,Sophia Nantongo,7,religious leader,Religious Leader
Q131744922,Stella Mystica Sabiiti,7,"mediator, consultant, security consultant",Ugandan mediator and peace consultant
Q134286864,Susan Nanduddu,7,executive director,Ugandan development practitioner
Q134286840,Victoria Nabisenke,7,prosecutor,Ugandan prosecutor and legal expert
Q133880148,Victoria Namuyanja,7,pool,Professional Pool table player
Q134081342,Winnie Agnes Kabogoza Musoke,7,chairperson,A Ugandan Chairperson of the Public Service Commission of Uganda
Q134268344,Winnie Angom,7,lacrosse player,Lacrosse player
Q111534459,Zahara Toto,7,television personality,Ugandan TV personality
Q134093109,Zubeda Talikaza,7,judoka,Judo player
Q136901691,,7,administrative assistant,
Q136902038,,7,administrative assistant,
Q139995971,Achayo Rose Obol,6,chairperson,
Q76854583,Agatha Kafooko,6,singer-songwriter,Ugandan musician
Q139270050,Ahimbisibwe Judith,6,,Legal Officer
Q133864793,Akello Echookit Christine,6,high court judge,Acting High Court Judge
Q133863478,Amina Ajema,6,handball player,Hand ball player
Q133933963,Ann Mugunga,6,consultant,"A Ugandan Consultant, researcher and journalist"
Q139270034,Arinaitwe Perpetua,6,,Bursar
Q140032307,Atala Cissy,6,volunteer,
Q133934121,Atuki Turner,6,executive director,A Ugandan women activist
Q139783099,Atukunda Rachael Mutabingwa,6,editor,Author
Q133863606,Barbra Nantume,6,handball player,Ugandan handball player
Q133871721,Caroline Akello,6,military officer,Military officer
Q139605017,Catherine Nakiwala,6,author,Ugandan Author
Q134268574,Christine Ijawet,6,lacrosse player,Lacrosse player
Q139995962,Debbie Kaddu Serwadda,6,,
Q133460247,Diana Murungi,6,referee,A fifa badge referee holder
Q124286546,Diana Taremwa Karakire,6,"freelance journalist, environmental journalist",environmental journalist based in Uganda
Q122182200,Dianah Kacunguzi,6,archivist,Ugandan archivist
Q137356850,Dianah Nebanda,6,digital artist,"digital artist, mixed media artist"
Q136682799,Elizabeth Nalubega,6,environmentalist,Environmental Activist
Q141169657,Ethel Aanyu,6,visual artist,Ugandan visual artist
Q126459153,Evelyn Babirye,6,"painter, collagist",Ugandan contemporary artist
Q134113125,Farida Ndagire,6,rally driver,Motorsport rally driver
Q136822391,Florah Show,6,"media personality, presenter",media personality in Uganda
Q137103392,Gladys Kachope,6,educator,Ugandan educator
Q133890008,Grace Charlotte Karugaba Kabunga,6,board member,A board member of Uganda Railways Corporation
Q133879039,Grace Gidudu,6,communications officer,Assistant director of communications and public affairs at Parliament of Uganda
Q126477517,Helena Aluong,6,painter,Ugandan contemporary artist
Q136892905,Hellen Ruth Adeit,6,administrative assistant,Ugandan adminstrative assistant
Q134182990,Irene Nakimbugwe,6,bodybuilder,Weight lifter
Q136786872,Jackie Letaru,6,,Ugandan activist
Q140007614,Janet Ajangi,6,,disability rights activist
Q133865018,Joanita Gertrude Bushara,6,high court judge,Acting High Court Judge
Q133460275,Josephine Esaete,6,senior lecturer,A lecturer at Makerere University
Q133857017,Joyce Bako,6,karate,Karate
Q124306671,Kakai Doreen Beatrice,6,herpetologist,Ugandan herpetologist
Q133864667,Kania Rosette Comfort,6,High Court judge,Acting High Court Judge
Q139270036,Karungi Monica,6,,Quality Assurance Officer
Q134178393,Ketty Lamaro,6,secretary,Director of Ethics and Integrity
Q139658981,Khadijjah Kebba,6,,Human Rights Defender
Q137029132,Kyatuhaire Barbra,6,secretary,Administrative secretary Kyambogo
Q133864898,Lillian Alum Omara,6,High Court Judge,Acting High Court Judge
Q139781672,Linda Nabusayi Wamboka,6,press secretary,Ugandan journalist
Q116604210,Lorna Eunice Akullo,6,,Uganda politician
Q133887698,Lucky Akello,6,field hockey player,Field Hockey player
Q134003599,Lydia Najjemba Wasula,6,probation officer,"A Ugandan administrator, social worker and principal probation officer"
Q133864875,Mary Babirye,6,high court judge,Acting High Court Judge
Q133864916,Mary Kaitesi Kisakye,6,high court judge,Acting High Court Judge
Q139995950,Mary Nabachwa Ssonko,6,,
Q133875954,Milburga Atchero,6,professor,Associate professor in French Language Education
Q133836503,Miriam Nalule,6,surgeon,medical doctor
Q124358822,Miriam Watsemba,6,photojournalist,Ugandan documentary photo journalist based
Q139666718,Nakayenze Sandra Kibooli,6,business,Business Woman
