qitem,label,statements,occupation_names,description
Q137274477,Racheal Kangumba,5,industrial designer,Works in creative design
Q137212041,Racheal Kawala,5,police officer,Police Spokesperson
Q134055992,Rashidah Mutesi,5,pool player,Ugandan pool player
Q133852811,Rita Nakhumitsa,5,table tennis player,Table Tennis player
Q135218453,Sandra Ouma,5,aircraft pilot,First female STEM instructor pilot
Q139836445,Sarah  Nyendwoha Ntiro,5,author,Author
Q133857503,Sarah Makanga,5,darts player,Darts Player
Q133460442,Sarah Namuddu,5,assistant coach,Ugandan netball assistant coach
Q133863536,Shakirah Bako,5,handball player,Hand ball player
Q133852869,Shanita Namaala,5,table tennis player,Table Tennis player
Q136324220,Sheena Ruparelia,5,,Ugandan businesswoman; director at Meera Investments and the Ruparelia Group
Q131298110,Sheila Lukwanzi,5,fashion designer,Ugandan fashion designer
Q124373997,Sheilah Nakabuye,5,freelance journalist,Ugandan freelance journalist
Q139783228,Ssali Nyakaisiki,5,author,Author
Q131429365,Susan Mujjawa Ananda,5,sign language interpreter,Ugandan sign language interpreter
Q139617250,Tanghaya Shirlee Irene,5,author,Ugandan Author
Q140007631,Tina Angela Ntulo,5,,
Q139270069,Tukamuhebwa Pross,5,,Administrative Officer
Q139996054,Tumushabe Edith,5,,
Q139908336,Tushemereirwe Judith,5,,
Q133887820,Vanessa Abeja,5,field hockey player,Field hockey player
Q133887841,Vero Atima,5,field hockey player,Field hockey player
Q139270038,Wandira Linda,5,,University Registrar
Q133887903,Winnie Alaro,5,field hockey player,Field hockey player
Q133857506,Winnie Osuga,5,darts player,Darts Player
Q136682827,,5,environmentalist,Environmental activist
Q136696118,,5,environmentalist,Ugandan environmental activist
Q138341700,,5,"tutor, collagist","Artist, art tutor"
Q136682806,Adong Pamela,4,environmentalist,Environmental Activist
Q136682807,Akello Patricia,4,environmentalist,Environmental Activist
Q136682808,Akello Sarah,4,environmentalist,Environmental Activist
Q130363631,Amina Kizza,4,social worker,Ugandan Medical care and health services for refugees social worker
Q136682686,Aminah Nalubega,4,environmentalist,Environmental Activist
Q136684021,Amuge Rebecca,4,environmentalist,Environmental Activist
Q112067200,Anisha Muhoozi,4,sports executive,Ugandan football executive
Q136682665,Annet Nandutu,4,environmentalist,Environmental Activist
Q136684022,Apolot Suzan,4,environmentalist,Environmental Activist
Q136684023,Bakampa Irene,4,environmentalist,Environmental Activist
Q137357291,Benda Muhangi,4,installation artist,installation artist
Q125394854,Catherine Namugerwa,4,broadcast journalist,broadcast journalist in Uganda
Q138508109,Cecilia Alupo Engole,4,,co-Founder and Executive Director of Teso Women Peace Activists (TEWPA) in Uganda
Q124986312,Dribareo Claudia,4,radio journalist,Ugandan radio journalist
Q136682587,Grace Aulo Mbabazi,4,,Ugandan Politician
Q133894982,Grace Kyohendo Batenbya,4,professor,professor
Q136682833,Harriet Nambatya,4,environmentalist,Ugandan Environmental Activist
Q124666227,Irene Abalo,4,reporter,journalist in Uganda
Q112074659,Irene Kisakye,4,therapist,Ugandan mental health therapist
Q136682588,Janat Akorimoe Akech,4,,Ugandan Politician
Q124807639,Josephine Namuloki,4,freelance journalist,freelance journalist in Uganda
Q116603682,Judith Amongi,4,,Uganda politician
Q133864620,Justine Bagyenda,4,,former director of supervision at Bank of Uganda
Q124704688,Justine Muboka,4,radio journalist,radio journalist in Uganda
Q133838794,Lillian Musana Onyango,4,chief administrative officer,Entrepreneur
Q116603645,Marylyn Akello,4,,Ugandan politician
Q135218485,Monica Nabakooza,4,aircraft pilot,Flight trainer and youth STEM advocate
Q133460270,Mwagale Racheal,4,director,"Executive Director, Junior Acheivement Uganda"
Q136956346,Nyirahabimana Jean,4,environmentalist,Environmental Activist
Q133459968,Peace Diane Bagala,4,sports journalist,Ugandan sports journalist
Q133463754,Rebecca Kazibwe,4,,Mrs. Kazibwe ‘Mama Becca’ Rebecca (RIP) and Mr. Paul Ssali are the founding members of women football in Uganda.
Q124569836,Sarah Mawerere,4,broadcast journalist,broadcast journalist
Q137997862,Sheilla Obia,4,,Ugandan Politician
Q124364032,Sylvia Kugonza,4,broadcast journalist,broadcast journalist in Uganda
Q135218439,Tina Grazu,4,aircraft pilot,"Ugandan Airline A330 First Officer, UPPA Secretary"
Q136682718,Zeridah Zigiti,4,environmentalist,Environmental Activist
Q136682815,,4,,
Q136682816,,4,,
Q136696095,,4,,
Q136696093,,4,,Environmental Activists
Q136696119,,4,,
Q136706026,Cissy Mukasa,3,,Human Rights Activist
Q136706025,Daphine Birungi,3,,human rights activist
Q136682630,Grace Aulo Mbabazi,3,,"Commissioner, Tourism, Ministry of Tourism,. Wildlife and Antiquities"
Q136682690,Josephine Nandutu,3,,Environmental Activists
Q131242848,Nantukunda Katangaza,3,,lawyer
Q136721958,Olivia Ariyo,3,,"Uganda Wildlife Authority, Conservation Biologist"
Q136719817,Sarah Kiyimba,3,,"Ministry of Water and Environment, Programme Officer"
Q136706892,Sophia Mukasa,3,,"Mukasa Foundation, Founder"
Q136719831,Susan Nandutu,3,,"National Environment Management Authority, Programme Officer"
