languagecode,language,status,incubator_url,home_region,districts_resolved,home_topics_found,starter_list_size
nyn,Runyankore,"Approved by Language Committee, awaiting creation (T429189)",https://incubator.wikimedia.org/wiki/Wp/nyn,Ankole sub-region,11,113,255
ach,Acholi,"Eligible test wiki, request pending on Meta-Wiki",https://incubator.wikimedia.org/wiki/Wp/ach,Acholi sub-region,8,73,223
