qitem,label,en_title,sitelink_count,views,priority,type_labels,num_strategies,strategies
Q1701158,John Mugabi,John Mugabi,15,21153,99.0,human,2,birth_death_wd|citizenship_wd
Q34926,Acholi,Acholi dialect,30,4232,98.9,"natural language, modern language",2,country_wd|keyword_title
Q1281344,Teso people,Teso people,20,6462,98.9,"ethnic group, tribe",1,country_wd
Q101499718,2021 Ugandan general election,2021 Ugandan general election,17,10421,98.9,Ugandan general election,3,country_wd|keyword_title|part_of_wd
Q3076685,region of Uganda,Regions of Uganda,17,8433,98.9,,2,country_wd|keyword_title
Q691037,Busoga,Busoga,16,10716,98.9,"region, chiefdom, historical country",2,country_wd|keyword_title
Q14324339,Brandon Davies,Brandon Davies,15,17992,98.9,human,1,citizenship_wd
Q139236054,Ngogo chimpanzee war,Ngogo chimpanzee war,13,150446,98.9,"civil war, conflict",1,country_wd
Q1702,Stephen Kiprotich,Stephen Kiprotich,36,2890,98.8,human,2,birth_death_wd|citizenship_wd
Q200453,Bari people,Bari people,18,5083,98.8,ethnic group,1,country_wd
Q185549,Karamojong people,Karamojong people,17,6328,98.8,ethnic group,1,country_wd
Q20002690,Wakaliwood,Wakaliwood,15,14054,98.8,film studio,1,country_wd
Q1133743,Allied Democratic Forces,Allied Democratic Forces,13,34368,98.8,"armed organization, guerrilla organization",1,country_wd
Q2402758,Richard Gibson,Richard Gibson,13,32314,98.8,human,2,birth_death_wd|citizenship_wd
Q1273335,Mount Elgon National Park,Mount Elgon National Park,20,3976,98.7,national park,1,country_wd
Q965956,Nansana,Nansana,20,3715,98.7,human settlement,1,country_wd
Q35042,Bari,Bari language,18,4195,98.7,"language, modern language",2,country_wd|keyword_title
Q202353,Alur people,Alur people,16,6822,98.7,ethnic group,1,country_wd
Q267234,Shailesh Vara,Shailesh Vara,15,8256,98.7,human,1,birth_death_wd
Q43122,.ug,.ug,93,1544,98.6,country code top-level domain,1,country_wd
Q510152,Uganda at the Olympics,Uganda at the Olympics,33,2151,98.6,Olympic delegation,2,country_wd|keyword_title
Q511779,Mount Sabyinyo,Mount Sabyinyo,28,2292,98.6,"mountain, extinct volcano",1,country_wd
Q1277379,30th meridian east,30th meridian east,22,2470,98.6,meridian,1,country_wd
Q13207,Runyankole,Nkore language,19,2986,98.6,"natural language, modern language",2,country_wd|keyword_title
