starter_rank,section,qitem,label,en_title,sitelink_count,views,priority,type_labels
34,universal: Uganda essentials,Q33583,Kirundi,Kirundi,86,16286,99.5,"natural language, modern language"
35,universal: Uganda essentials,Q4598,Ugandan shilling,Ugandan shilling,56,19119,99.5,"currency, shilling, reserve currency"
36,universal: Uganda essentials,Q340581,Acholi people,Acholi people,37,27022,99.5,ethnic group
37,universal: Uganda essentials,Q56932,Kalenjin people,Kalenjin people,36,30494,99.5,ethnic group
38,universal: Uganda essentials,Q356026,Muteesa II of Buganda,Mutesa II of Buganda,33,25687,99.5,human
39,universal: Uganda essentials,Q1429374,Florence Kasumba,Florence Kasumba,32,32594,99.5,human
40,universal: Uganda essentials,Q376073,Tito Okello,Tito Okello,31,29064,99.5,human
41,universal: Uganda essentials,Q26455795,Jacob Kiplimo,Jacob Kiplimo,26,64696,99.5,human
42,universal: Uganda essentials,Q4935806,Bobi Wine,Bobi Wine,26,52353,99.5,human
43,universal: Uganda essentials,Q501709,Jinja,"Jinja, Uganda",55,15815,99.4,city
44,universal: Uganda essentials,Q500397,Bwindi Impenetrable National Park,Bwindi Impenetrable National Park,47,15451,99.4,national park of Uganda
45,universal: Uganda essentials,Q751607,Virunga Mountains,Virunga Mountains,45,16386,99.4,mountain range
46,universal: Uganda essentials,Q221666,Mount Stanley,Mount Stanley,44,18550,99.4,massif
47,universal: Uganda essentials,Q112070734,2022–2023 mpox outbreak,2022–2023 mpox outbreak,42,15880,99.4,"disease outbreak, public health emergency of international concern"
48,universal: Uganda essentials,Q261506,Makerere University,Makerere University,35,21464,99.4,public university
49,universal: Uganda essentials,Q495475,Murchison Falls,Murchison Falls,35,21480,99.4,waterfall
50,universal: Uganda essentials,Q403656,Baganda people,Baganda,33,23449,99.4,"ethnic group, tribe"
51,universal: Uganda essentials,Q62481397,Nabbanja Robinah,Robinah Nabbanja,32,26855,99.4,human
52,universal: Uganda essentials,Q1568935,Migingo Island,Migingo Island,25,31210,99.4,"lake island, disputed territory, Q111018943"
53,universal: Uganda essentials,Q18204367,President of Uganda,President of Uganda,24,40251,99.4,public office
54,universal: Uganda essentials,Q497412,Paulo Muwanga,Paulo Muwanga,23,54735,99.4,human
55,universal: Uganda essentials,Q106406402,Whitney Peak,Whitney Peak (actress),22,200032,99.4,human
56,universal: Uganda essentials,Q125888,Lake Albert,Lake Albert (Africa),88,11227,99.3,lake
57,universal: Uganda essentials,Q2750140,Kagera River,Kagera River,65,9999,99.3,river
58,universal: Uganda essentials,Q732838,Mount Elgon,Mount Elgon,44,13612,99.3,"mountain, shield volcano"
59,universal: Uganda essentials,Q452024,Yusuf Lule,Yusuf Lule,24,25802,99.3,human
60,universal: Uganda essentials,Q309426,Kasubi Tombs,Kasubi Tombs,57,10138,99.2,"tomb, monument"
61,universal: Uganda essentials,Q731039,Mbarara City,Mbarara,44,9416,99.2,"city, administrative territorial entity, city of Uganda"
62,universal: Uganda essentials,Q242051,Irshad Manji,Irshad Manji,39,11854,99.2,human
63,universal: Uganda essentials,Q500107,Fort Portal,Fort Portal,32,14891,99.2,"city, town, district"
64,universal: Uganda essentials,Q433057,Godfrey Binaisa,Godfrey Binaisa,28,15956,99.2,human
65,universal: Uganda essentials,Q3539870,district of Uganda,Districts of Uganda,25,19799,99.2,
66,universal: Uganda essentials,Q560121,Karoli Lwanga,Charles Lwanga,23,24358,99.2,human
67,universal: Uganda essentials,Q889912,Tooro Kingdom,Tooro Kingdom,21,73126,99.2,"realm, historical country"
68,universal: Uganda essentials,Q112317318,2027 Africa Cup of Nations,2027 Africa Cup of Nations,20,371296,99.2,sports season
69,universal: Uganda essentials,Q2736096,Rukidi IV of Toro,Rukidi IV of Tooro,20,221639,99.2,human
70,universal: Uganda essentials,Q125211,Lake Edward,Lake Edward,75,6509,99.1,lake
71,universal: Uganda essentials,Q108570,Coat of arms of Uganda,Coat of arms of Uganda,37,8323,99.1,national coat of arms
72,universal: Uganda essentials,Q5220343,Danny Faure,Danny Faure,37,8853,99.1,human
73,universal: Uganda essentials,Q180261,list of cities and towns in Uganda,List of cities and towns in Uganda,29,12025,99.1,Wikimedia list article
74,universal: Uganda essentials,Q1512041,history of Uganda,History of Uganda,28,11030,99.1,history of a country or state
75,universal: Uganda essentials,Q1740785,Kibale National Park,Kibale National Park,26,14683,99.1,"human settlement, national park of Uganda"
76,universal: Uganda essentials,Q538636,Ankole,Ankole,26,13782,99.1,historical country
77,universal: Uganda essentials,Q3658171,Phiona Mutesi,Phiona Mutesi,23,18888,99.1,human
78,universal: Uganda essentials,Q2052850,Parliament of Uganda,Parliament of Uganda,22,19647,99.1,unicameral legislature
79,universal: Uganda essentials,Q889897,Bunyoro,Bunyoro,22,19814,99.1,"realm, historical region, historical country"
80,universal: Uganda essentials,Q124978,Lake Kyoga,Lake Kyoga,51,5917,99.0,polymictic lake
81,universal: Uganda essentials,Q15060544,Pione Sisto,Pione Sisto,39,7948,99.0,human
82,universal: Uganda essentials,Q1026465,Kadaga Rebecca Alitwala,Rebecca Kadaga,27,10265,99.0,human
83,universal: Uganda essentials,Q4118193,Mandela National Stadium,Mandela National Stadium,24,12785,99.0,"stadium, sports venue, association football venue"
84,universal: Uganda essentials,Q553089,David Kato,David Kato,24,13913,99.0,human
85,universal: Uganda essentials,Q2395378,economy of Uganda,Economy of Uganda,22,15970,99.0,national economy
86,universal: Uganda essentials,Q50828855,African Continental Free Trade Area,African Continental Free Trade Area,22,16127,99.0,"agreement, free trade area"
87,universal: Uganda essentials,Q55887234,2018–2020 Kivu Ebola epidemic,Kivu Ebola epidemic,21,19651,99.0,"epidemic, public health emergency of international concern"
88,universal: Uganda essentials,Q496202,Movement for the Restoration of the Ten Commandments of God,Movement for the Restoration of the Ten Commandments of God,20,31221,99.0,free church
89,universal: Uganda essentials,Q1075380,Uganda People's Defence Force,Uganda People's Defence Force,19,86367,99.0,armed forces
90,universal: Uganda essentials,Q110193,"Oh Uganda, Land of Beauty","Oh Uganda, Land of Beauty",47,5505,98.9,national anthem
91,universal: Uganda essentials,Q2559188,Western Region,"Western Region, Uganda",38,5916,98.9,region of Uganda
92,universal: Uganda essentials,Q530084,Queen Elizabeth National Park,Queen Elizabeth National Park,33,7208,98.9,national park of Uganda
93,universal: Uganda essentials,Q115110885,Rebecca Cheptegei,Rebecca Cheptegei,32,6419,98.9,human
94,universal: Uganda essentials,Q1893242,Murchison Falls National Park,Murchison Falls National Park,30,7111,98.9,national park of Uganda
95,universal: Uganda essentials,Q21759,Winnie Byanyima,Winnie Byanyima,28,7997,98.9,human
96,universal: Uganda essentials,Q812677,Bazilio Olara-Okello,Bazilio Olara-Okello,22,14910,98.9,human
97,universal: Uganda essentials,Q83614709,Vanessa Nakate,Vanessa Nakate,41,5016,98.8,human
98,universal: Uganda essentials,Q2559686,Northern Region,"Northern Region, Uganda",37,5057,98.8,region of Uganda
99,universal: Uganda essentials,Q429685,Central Region,"Central Region, Uganda",37,5138,98.8,region of Uganda
