name,office,organisation,sector,rank,source_url,status,wikidata_qid,en_title,lg_title
Catherine Bitarakwate Musingwiire,Permanent Secretary,Ministry of Public Service,government,chief,https://www.monitor.co.ug/uganda/news/national/list-women-of-power-influence-running-museveni-s-govt-5385834,possible_match,Q141164106,,
Allen Catherine Kagina,"Trustee, MTN Foundation",MTN Uganda,telecom,executive,https://www.mtn.co.ug/leadership/,possible_match,Q4731734,,
Catherine Donovan Kyokunda,Commissioner Legal Services and Board Affairs,Uganda Revenue Authority,government,executive,https://ura.go.ug/en/senior-management-team/,possible_match,Q137926075,,
