qitem,label,statements,occupation_names,description
Q135338542,Lisa Karungi De Ruijter,10,basketball player,Ugandan basketball player (born 1988)
Q114232442,Marion Ayebale,10,sport cyclist,cyclist
Q135338504,Martha Nandutu,10,basketball player,Ugandan basketball player (born 2000)
Q135338575,Martha Soigi,10,basketball player,Ugandan basketball player (born 1986)
Q136899261,Mary Aleper,10,sport cyclist,Ugandan sport cyclist
Q140592117,Meghan Ahumuza,10,,Ugandan swimmer
Q135338419,Melinda Angee Laker,10,basketball player,Ugandan basketball player (born 2007)
Q135338434,Melissa Margareth Taliba,10,basketball player,Ugandan basketball player (born 2008)
Q135338490,Mia Belinda Alaba,10,basketball player,Ugandan basketball player (born 2007)
Q133881044,Moreen Mwamula,10,volleyball player,Volleyball player
Q140480479,Namuyomba Aisha,10,netballer,Ugandan professional netball player
Q135338586,Olivia Mulwana,10,basketball player,Ugandan basketball player (born 1980)
Q135338536,Patience Akankunda,10,basketball player,Ugandan basketball player (born 1999)
Q135338497,Patience Karungi,10,basketball player,Ugandan basketball player (born 2004)
Q135338503,Patience Mauso,10,basketball player,Ugandan basketball player (born 2000)
Q135338500,Patience Nantume,10,basketball player,Ugandan basketball player (born 2003)
Q133893576,Patricia Kawuma,10,chess player,Ugandan chess player
Q135338432,Patricia Nalugo,10,basketball player,Ugandan basketball player (born 2007)
Q133893717,Pauline Biyinzika,10,chess player,Ugandan chess player
Q136382312,Perus Nyamwenge,10,basketball player,Ugandan basketball player (born 2000)
Q133842610,Privas Kayeny,10,"basketball player, netballer",Ugandan netball player
Q134009124,Rebecca Nakawunde,10,chess player,Ugandan chess player
Q135338499,Regina Ajuma,10,basketball player,Ugandan basketball player (born 2003)
Q135338420,Resty Nanangwe,10,basketball player,Ugandan basketball player (born 2007)
Q135338555,Ruth Letaru,10,basketball player,Ugandan basketball player (born 1997)
Q133881305,Saidat Nnungi,10,volleyball player,Volleyball player
Q135338525,Sarafina Driciru,10,basketball player,Ugandan basketball player (born 1998)
Q134626577,Scholar Akello,10,volleyball player,Ugandan professional volleyball player
Q133881157,Scholastica Akello,10,volleyball player,Volleyball player
Q135338513,Shadia Mbwali,10,basketball player,Ugandan basketball player (born 2001)
Q133836384,Shakirah Sadick,10,cricketer,cricketer
Q136381908,Sharon Kirabo Nangobi,10,basketball player,Ugandan basketball player (born 1996)
Q135338469,Sharon Lamwaka,10,basketball player,Ugandan basketball player (born 2006)
Q134008771,Sherry Ariella Agaba,10,chess player,Chess player
Q135338438,Shiphrah Kiranda,10,basketball player,Ugandan basketball player (born 2008)
Q140996127,Shona Sozo Kamara,10,,Ugandan swimmer
Q135338422,Sonia Okulu Aber,10,basketball player,Ugandan basketball player (born 2007)
Q133893778,Suhana Anil Yadav,10,chess player,Chess player
Q133881178,Supernatural Mbakusiimira,10,volleyball player,Volleyball player
Q135338496,Sylvia Namuddu,10,basketball player,Ugandan basketball player (born 2003)
Q133893651,Talent Nuwareeba,10,chess player,Chess player
Q136380756,Tracy Namugosa,10,basketball player,Ugandan basketball player (born 2000)
Q134008689,Valeria Nampiima,10,chess player,Ugandan chess player
Q134005566,Vanessa Nabaggala,10,chess player,Ugandan chess player
Q133893762,Victoria Nakiirya,10,chess player,Ugandan chess player
Q135338485,Zoe Atek,10,basketball player,Ugandan basketball player (born 2005)
Q135182389,,10,tennis player,tennis player from Uganda
Q141156805,A'Maria Pegues,9,basketball player,Ugandan basketball player (born 2010)
Q135338540,Aaliyah Naluyima,9,basketball player,Ugandan basketball player (born 1999)
Q134113207,Abigail Katende,9,motocross rider,Motorsport rally driver
Q133893695,Abigail Kirabo,9,chess player,Ugandan chess player
Q140627605,Adrainna Nabaggala,9,,Ugandan swimmer
Q133863700,Aisha Nakabubi,9,basketball player,Ugandan basketball player (born 1991)
Q135338515,Aisha Namakula,9,basketball player,Ugandan basketball player (born 2000)
Q133893720,Allen Kyolaba Nabacwa,9,chess player,Ugandan chess player
Q140558933,Ampaire Brenan,9,chess player,Uganda Chess Federation
Q140590096,Anaya Hailey Karuhanga,9,swimmer,Ugandan swimmer
Q139838429,Anek Patricia,9,rugby player,Ugandan rugby player
Q134008542,Angel Luggya,9,chess player,Chess player
Q136381272,Ashmin Charaniya,9,basketball player,Ugandan basketball player (born 2010)
Q133459977,Atulinda Moureen,9,basketball player,Ugandan basketball player (born 1989)
Q140681285,Audrey  Elnorah Nyonyintono,9,,Ugandan swimmer
Q135183708,Barbra Nakiwala,9,netballer,Ugandan netball player
Q135338487,Bernadette Babirye Nalweyiso,9,basketball player,Ugandan basketball player (born 2005)
Q136381223,Brandina Kyalimpa,9,basketball player,Ugandan basketball player (born 2009)
Q135338531,Brenda Edith Ayere,9,basketball player,Ugandan basketball player (born 1998)
Q133936823,Brendah Kyaterekera,9,chess player,Chess player
Q135178388,Carol Nakamya,9,netballer,Ugandan netball player
Q135338592,Caroline Nantalo,9,basketball player,Ugandan basketball player (born 1986)
Q135338576,Caroline Nyafwono,9,basketball player,Ugandan basketball player (born 1986)
Q140735346,Cedella Winfred Nabwire.,9,,Ugandan swimmer
Q136381270,Charis Buyinga,9,basketball player,Ugandan basketball player (born 2010)
