qitem,label,statements,occupation_names,description
Q120799391,Lois Mutibwa,8,"librarian, university teacher, researcher",Ugandan librarian and LIS educator
Q134057868,Miriam Ruth Kisakye,8,university teacher,university teacher
Q139694931,Nanteza Divine Gabriella,8,teacher,Ugandan educator
Q133831471,Peace Buhwamatsiko Tumuheki,8,lecturer,"A lecturer and Head of the Department of Adult, Communications and Lifelong learning (DACoLL) at Kyambogo University."
Q139912967,Peace Musiimenta,8,lecturer,Ugandan lecturer
Q133889216,Ruth Mukama Gimbo,8,university teacher,A Ugandan Academician and Linguist
Q120799044,Ruth Nalumaga,8,"librarian, university teacher","Ugandan librarian, administrator, and LIS educator"
Q137104766,Ruth Nalumaga,8,librarian,Chairperson and Ugandan Librarian
Q133835747,Sheilla Akampwera,8,lecturer,Assistant lecturer at Mbarara University of Science and Technology.
Q140251199,,8,"economist, researcher",Ugandan economist
Q134057781,Agnes Masajja Baluka,7,lecturer,University lecturer
Q134058026,Alice Nakiyembe Were,7,lecturer,University lecturer
Q133858743,Charlotte Kabaseke,7,lecturer,Faculty of Law Dean at Kabale University
Q133835808,Clementia Neema Murembe,7,lecturer,Senior lecturer at the faculty of interdisciplinary studies at Mbarara University of Science and Technology.
Q133459976,Daisy Namirembe,7,university teacher,Ugandan researcher and academician
Q134054613,Deborah Nakalyowa,7,lecturer,Ugandan lecturer
Q134176312,Doris Ngonzi,7,lecturer,University lecturer
Q139731919,Esther Allen Nakamwa,7,"teacher, head teacher",Activist for People with Disabilities
Q133848492,Esther K Beebwa,7,university teacher,University teacher
Q124958098,Esther Nakkazi,7,"researcher, science journalist, medical journalist","health and science reporter based in Kampala, Uganda"
Q134175300,Esther Tumwesigye,7,lecturer,Lecturer
Q133848510,Eva Wodeya Wanyenze,7,university teacher,University teacher
Q133888805,Favour Naome Kyomugasho,7,lecturer,Ugandan Academician
Q120799375,Florence Musiimenta,7,"librarian, university teacher",Ugandan librarian and LIS educator
Q134286025,Grace Kansiime,7,"lecturer, researcher","Ugandan researcher, doctor and academician"
Q133848392,Grace Namboze,7,lecturer,Senior lecturer nursing
Q134176995,Halima Nassanga,7,lecturer,Lecturer
Q133848525,Hanifa Nantongo,7,university teacher,University teacher
Q134176687,Harriet Adong Ekallam Atuyambe,7,lecturer,Lecturer
Q120799373,Hellen Agnes Muyomba,7,"librarian, university teacher",Ugandan librarian and administrator
Q126678820,Hope Nankunda,7,teacher,Ugandan climate change activist
Q133848442,Janet Namagga Kasozi,7,lecturer,Lecturer nursing
Q133933851,Judith Mbabazi,7,lecturer,A Ugandan academician in field of environment sustainability
Q133831659,Magara Scovia,7,lecturer,A lecturer in Department of Political Science and Public Administration at Kyambogo University.
Q134176645,Mary Kagoire Ochieng,7,lecturer,lecturer
Q134176940,Miria Frances Agunyo,7,lecturer,Lecturer
Q134176728,Miriam Gesa Mutabazi,7,lecturer,Researcher
Q133875876,Monica Tushabe,7,lecturer,Lecturer Makerere University Business School
Q120401091,Nansozi K. Muwanga,7,university teacher,Ugandan political scientist
Q133848549,Night Natukunda,7,researcher,Researcher
Q120799420,Nina Olivia Rugambwa,7,"librarian, university teacher, researcher","Ugandan librarian, educator and administrator"
Q134057745,Patricia Nyachwolga,7,lecturer,University teacher
Q133848562,Pauline Petra Nalumaga,7,university teacher,University teacher
Q134176446,Rosemary Bulyaba,7,lecturer,Lecturer
Q134176348,Ruth Butembe,7,lecturer,Lecturer
Q133858663,Ruth Mpatawuwa Abankwah,7,lecturer,Associate Professor of Library and Information Science
Q133836221,Sarah Nabachwa,7,"researcher, lecturer",lecturer and researcher
Q136734530,Sebadduka Esther Kyazike,7,librarian,Ugandan Library and Information Scientist and Politician
Q134175103,Sheba Asiimwe,7,lecturer,Lecturer
Q134176379,Sheila Namuwaya,7,lecturer,Lecturer
Q133875979,Sojourner Grace,7,lecturer,Lecturer Makerere university Business School
Q133460307,Tezira Wanyana,7,lecturer,"PhD Candidate, University of Cape Town,Assistant Lecturer"
Q133835787,Theodora Twiwongyirwe Mondo,7,lecturer,Engineer
Q134054630,Theresa Frances Namirembe,7,lecturer,University Lecturer
Q123172659,Viola N. Nyakato,7,researcher,researcher
Q133934064,Violet Okaba Kayom,7,lecturer,A Ugandan Paeditrician
Q90450857,Yarine Fajardo,7,researcher,researcher (ORCID 0000-0002-9071-1513)
Q138834447,Yvonne Zabu,7,"clinical psychologist, researcher","Ugandan clinical psychologist, researcher, and mental health practitioner"
Q96774018,Angele Pembele Ibanda,6,researcher,researcher
Q120799371,Chance Rest,6,"librarian, university teacher",Ugandan librarian and LIS educator
Q137357080,Esther Nassanga,6,researcher,Ugandan researcher and writer
Q120799419,Ezerea Kulisoma,6,"librarian, university teacher","Ugandan librarian, LIS educator and administrator"
Q133861164,Imelda Kameeza,6,university teacher,University teacher
Q122184404,Jane Kawalya,6,"librarian, university teacher",Ugandan librarian
Q120799372,Judith Nanozzi,6,"librarian, university teacher","Ugandan librarian, LIS educator and administrator"
Q139740918,Kansiime Catherine,6,"physician, researcher",Uganda doctor
Q137604275,Kazibwe Sophie,6,lecturer,lecturer
Q134178466,Kedrece Turyagyenda,6,researcher,Commissioner ministry of Education and sports
Q136804287,Lillian Nalwoga,6,researcher,policy analyst
Q133875890,Mahadih Kyambande,6,lecturer,Lecturer Makerere University Business School
Q134004855,Maria Ssematiko,6,researcher,A Ugandan public health specialist and researcher
Q134175397,Masturah Nakimbugwe,6,lecturer,Lecturer
Q139659825,Nakanwagi Rosette Muwonge,6,researcher,Researcher
Q134176846,Pamela Ruth Tumwebaze,6,lecturer,Lecturer
Q134176911,Rebecca Kangabe,6,lecturer,Lecturer
Q117021751,Regina Laboke,6,teacher,Founder and Principal at Mt of Olives College Kakiri.
Q134175575,Shabibah Nakirijja,6,lecturer,Lecturer
Q122184322,Ssekabembe Beatrice,6,"librarian, university teacher",Ugandan librarian
Q122184415,Ssekabembe Beatrice,6,"librarian, university teacher",
Q133818555,Alice Kutyamukama Gitta,5,lecturer,Writing Article at WikiGap 2025ug
Q120799383,Elizabeth Lwanga,5,"librarian, researcher","Ugandan librarian, LIS educator and administrator"
Q133460236,Jeninah Atwebembeire,5,university teacher,Ugandan academician
Q133459983,Judith Irene Nagasha,5,lecturer,Ugandan academician
Q133859027,Lilibert Moira Musiime,5,lecturer,Assistant Lecturer Law & Jurisprudence at Kabale University
Q134285952,Sylvia Kyohairwe Bohibwa,5,researcher,"Ugandan researcher, social worker and entrepreneur"
Q139124430,Victoria Nalule,5,"lawyer, researcher",Ugandan lawyer and researcher
Q133459979,Kyoshaba Martha Twinamasiko,4,university teacher,"Academic Registrar, Professor and lecturer at Mbarara University of Science and Technology"
Q133460018,Lidya Namatende,4,lecturer,Ugandan university lecturer
Q136745826,Nakidde Justine,4,teacher,mathematics teacher
Q133460321,Nalimu Florence,4,lecturer,Senior lecturer Pharmacy and pharmaceutical sciences
