qitem,label,field,statements,date_of_birth,occupation_names,description
Q138161350,Sarah Tumwine,Politics & government,8,,politician,Ugandan Politician
Q136953313,Sarah Zawedde,Arts & entertainment,8,,"marketing, musician, event manager",Ugandan musician
Q140638302,Sasha Vimbai Munyikwa,Other sport,8,,swimmer,Ugandan Swimmer
Q134979206,Sauda Muhammad,Other sport,8,,boxer,Ugandan boxer
Q133463836,Sawuya Sana,Football,8,,association football player,Ugandan football player
Q133463454,Shamilah Nalujja,Football,8,,association football player,Ugandan football player
Q130729600,Shamina Nakalyowa,Football,8,,association football player,Ugandan Footballer
Q141156708,Sharifah Agaba,Other sport,8,2008-08-10T00:00:00Z,basketball player,Ugandan basketball player (born 2008)
Q133463945,Sharifah Namutebi,Football,8,,association football player,Ugandan association football player
Q134279578,Sharon Pajije,Other / unspecified,8,,beach volleyball player,Beach volleyball player
Q133839270,Sheila Angozibwa,Other sport,8,,handball player,Ugandan female handball player
Q133835747,Sheilla Akampwera,Academia & education,8,,lecturer,Assistant lecturer at Mbarara University of Science and Technology.
Q134268602,Shiran Bashabomwe,Other / unspecified,8,,lacrosse player,Lacrosse player
Q133863984,Shirat Mirembe,Other sport,8,,kabaddi player,She Gladiators team member
Q134054867,Sonia Rwere,Other sport,8,,swimmer,Ugandan swimmer
Q141363440,Ssinabulya Sylvia Namabidde,Politics & government,8,1964-12-24T00:00:00Z,politician,ಉಗಾಂಡಾದ ರಾಜಕಾರಣಿ
Q139658926,Stella Kabugho,Activism & social work,8,,human rights defender,Human Rights Defender
Q130613883,Stella Musibika,Football,8,,association football player,Ugandan Footballer
Q135338565,Sumaiya Hasahya,Other sport,8,1996-12-15T00:00:00Z,basketball player,Ugandan basketball player (born 1996)
Q136621409,Sumine Nabatanzi,Other sport,8,1981-08-25T00:00:00Z,basketball player,Ugandan basketball player (born 1981)
Q133856883,Susan Kakai,Other sport,8,2002-01-11T00:00:00Z,cricketer,Cricket player
Q133889178,Susan Kangume,Other / unspecified,8,,senior lecturer,Ugandan academician and environmentalist
Q139834554,Susan Khainza,Other sport,8,,"ice hockey player, rugby player, administrator",Ugandan hockey player
Q133864961,Susan Odongo,Other / unspecified,8,,high court judge,Acting High Court Judge
Q140627789,Swagiah Mubiru,Other sport,8,,swimmer,Ugandan Swimmer
Q136622643,Sylvia Hilda Naigaga,Other sport,8,1987-09-11T00:00:00Z,basketball player,Ugandan basketball player (born 1987)
Q122182199,Sylvia Namujuzi,Other / unspecified,8,,archivist,Ugandan archivist
Q84356547,Tania Shakirah Kankindi,Arts & entertainment,8,,actor,Ugandan actress
Q96972285,Taz Musisi,Other / unspecified,8,,LGBTQ rights activist,
Q140627735,Tendo Atia,Other sport,8,,swimmer,Ugandan Swimmer
Q139669719,Teopista Mutooro,Activism & social work,8,,human rights defender,Human Rights Defender
Q134268857,Teopista Nabunya,Other / unspecified,8,,lacrosse player,Lacrosse player
Q136627334,Thelma Delane Toskin,Other sport,8,2002-04-14T00:00:00Z,basketball player,Ugandan basketball player (born 2002)
Q140681387,Theresa Kikambi,Other sport,8,,,Ugandan swimmer
Q134268797,Tracy Tushemerirwe,Other / unspecified,8,,lacrosse player,Lacrosse player
Q139658964,Turyahiirwa Goretti,Activism & social work,8,,human rights defender,Human Rights Defender
Q133463818,Vanesa Karungi,Football,8,,association football player,Ugandan football player
Q126678651,Vanessa Mulondo,Other / unspecified,8,,photographer,Ugandan documentary photographer
Q136683639,Vanessa Mulondo,Other / unspecified,8,1996-04-23T00:00:00Z,documentary photography,Ugandan Photographer
Q134269232,Vanessa Namiya,Other / unspecified,8,,lacrosse player,Lacrosse player
Q136821694,Viana Indi,Other / unspecified,8,2002-02-22T00:00:00Z,media personality,media personality in Uganda
Q137047029,Victoria Sibiya,Other / unspecified,8,,"pastor, media personality",media personality in Uganda
Q124666201,Vivian Agaba,Other / unspecified,8,,print journalist,journalist in Uganda
Q133836144,Walaza Sarah,Other sport,8,,cricketer,Ugandan female cricketer
Q133887921,Winnie Atim,Other sport,8,,field hockey player,Hockey player
Q135338611,Winnie Ayango Oketch,Other sport,8,1992-10-22T00:00:00Z,basketball player,Ugandan basketball player (born 1992)
Q136821779,Winnie Mbabazi,Other / unspecified,8,,media personality,media personality in Uganda
Q133887932,Winnie Nandi,Other sport,8,,field hockey player,Hockey player
Q138492441,Yvonne Shwanda,Other / unspecified,8,,"jewelry designer, social entrepreneur","Zambian born jewellery designer, social entrepreneur, and founder of INONGE ZITA"
Q130612838,Zaitun Namaganda,Football,8,,association football player,Ugandan footballer
Q140643324,Ziya Abubakr Babirye,Other sport,8,,swimmer,Ugandan Swimmer
Q135338623,Zumrati Ali Mavita,Other sport,8,1979-06-16T00:00:00Z,basketball player,Ugandan basketball player (born 1979)
Q140251199,,Academia & education,8,,"economist, researcher",Ugandan economist
Q134054821,Abagail Mwagale,Other sport,7,,swimmer,Ugandan swimmer
Q133839316,Abigail Nabasinga,Other sport,7,,tennis player,Ugandan Junior tennis player
Q139882762,Abur Mary,Other sport,7,,athlete,Ugandan Athlate
Q140007710,Achan Joyce Oken,Politics & government,7,,politician,Ugandan politician
Q135424727,Adong Judith,Other sport,7,,boxer,Ugandan Boxer
Q139658920,Aero Ketty,Activism & social work,7,,human rights defender,Human rights advocate
Q131298141,Agnes Ahebwa,Other / unspecified,7,,make-up artist,Ugandan make up artist
Q134057781,Agnes Masajja Baluka,Academia & education,7,,lecturer,University lecturer
Q133892220,Agnes Nakuya,Other sport,7,,rugby player,Ugandan rugby player
Q130537215,Agnes Tumwesigye,Activism & social work,7,,social worker,Ugandan social worker for refugee support and advocacy
Q136089188,Aijuka Praise,Other sport,7,,boxer,Ugandan Boxer
Q133574711,Aisha Lubega,Other / unspecified,7,,religious leader,religious leader from Uganda
Q133514657,Aisha Namakula,Other / unspecified,7,,religious leader,religious leader
Q134058026,Alice Nakiyembe Were,Academia & education,7,,lecturer,University lecturer
Q137993837,Alima Joyce Reeni,Politics & government,7,,politician,Ugandan politician
Q130354634,Allen Nassazi,Football,7,,association football player,Ugandan footballer
Q140591415,Almah Angellah Busingye,Other sport,7,,,Ugandan swimmer
Q134276963,Alverah Mukamirinda,Other sport,7,,,Beach wood ball player
Q140589650,Ameria Busingye,Other sport,7,,swimmer,Ugandan swimmer
Q130414717,Amina Namulema,Activism & social work,7,,social worker,Ugandan social worker
Q134055260,Amina Nganda,Other sport,7,,pool player,Ugandan pool table player
Q133462828,Amiya Penelope,Other sport,7,,netballer,Ugandan netball player
Q135424644,Amoding Peninah,Other sport,7,,boxer,Ugandan Boxer
Q139841282,Anena Kevin Prisca,Other sport,7,,athlete,Ugandan athlete
Q136684024,Anena Santa,Activism & social work,7,,"environmentalist, activist",Environmental Activist
Q130612705,Angel Auki Kigongo,Football,7,,association football player,Ugandan Footballer
Q138819410,Angella Nabwowe Kasule,Law,7,,lawyer,Ugandan lawyer
Q134055254,Angellah Busingye,Other sport,7,,pool player,Ugandan pool table player
Q139963128,Anita Rukundo Tayebwa,Other / unspecified,7,,honorary consul,Ugandan honorary consul and public figure
Q116604148,Ann Alum Ogwal,Politics & government,7,,politician,Uganda politician
Q130612602,Apino Suzan,Football,7,,association football player,Ugandan Footballer
Q140032294,Apio Mercy,Other / unspecified,7,,volunteer,
Q139658985,Apio Paska,Other / unspecified,7,,sign language interpreter,Ugandan Sign Language Interpreter
Q140529737,Apolot Christine Rebecca,Other sport,7,,netballer,Ugandan netball player
Q140571211,Ariyo Ahumuza,Other sport,7,,swimmer,Ugandan Swimmer
Q133822605,Assumpta Nabawanuka,Health,7,,physician,medical personal
Q133836148,Asumin Akurut,Other sport,7,,cricketer,Ugandan female cricketer
Q136089379,Ayenyo Mariam,Other sport,7,,netballer,Ugandan Netball Player
Q135425393,Ayike Arafah,Other sport,7,,boxer,Ugandan Boxer
Q137993426,Ayoo Jeneth Phoebe,Politics & government,7,,politician,Ugandan politician
Q130613864,Babra Adweru,Football,7,,association football player,Ugandan Footballer
Q141265456,Baifa Arwinyo,Health,7,,physician,Ugandan medical doctor
Q139806816,Barbara Alupo,Other / unspecified,7,,analyst,Ugandan gender analyst
Q140036674,Barbra Nalweyiso,Media & writing,7,,journalist,Ugandan journalist
Q133894429,Beatrice Achayo,Other sport,7,,handball player,Ugandan handball player
Q116604844,Beatrice Amongi Lagada,Politics & government,7,,politician,Uganda politician
Q136786870,Beatrice Okot,Law,7,,lawyer,Ugandan human rights lawyer affiliated with the Women Human Rights Defenders Network Uganda (WHRDN-U)
Q136902028,Belinda Kyomuhendo,Other / unspecified,7,,program manager,Ugandan program manager
Q130613972,Benita Nagujja,Football,7,,association football player,Ugandan Footballer
Q137994534,Beth Kayesu Nankunda,Politics & government,7,,politician,Ugandan politician
Q125560048,Betty Amamukirori,Media & writing,7,,journalist,journalist in Uganda
Q137993876,Betty Namara Kataba,Politics & government,7,,politician,Ugandan politician
Q139931491,Brenda Nanyonjo,Business & finance,7,,"entrepreneur, chief executive officer",Ugandan beauty pageant organizer and entrepreneur
Q133848583,Bridget Basiima,Other sport,7,,golfer,Golfer
Q134267846,Bridget Nahola,Other sport,7,,wrestler,Ugandan wrestler
Q136786871,Bruna Mukisa Patricia,Other / unspecified,7,,board member,Ugandan human rights defender
Q133887945,Carol Aguti,Other / unspecified,7,,field hockey player,Field hockey player
Q136622322,Caroline Badaru,Other sport,7,1974-10-30T00:00:00Z,basketball player,Ugandan basketball player (born 1974)
Q133892688,Caroline Karungi,Other sport,7,,golfer,Golfer
Q135176729,Catherine Kaganda,Other sport,7,,netballer,Ugandan netball player
Q61449396,Catherine Musoke,Health,7,,nurse,Ugandan nurse
Q140637294,Charity Doreen Nannungi,Other sport,7,,swimmer,Ugandan Swimmer
Q133858743,Charlotte Kabaseke,Academia & education,7,,lecturer,Faculty of Law Dean at Kabale University
Q133892301,Charlotte Mudola,Other sport,7,,rugby player,Ugandan rugby player
Q135984880,Christine Ayikoru,Other sport,7,,netballer,Ugandan netball player
Q133831880,Christine Desai Nalubwama,Media & writing,7,,journalist,NBS Video Editor
Q130612089,Ciccy Kabarwani,Football,7,,association football player,Ugandan Footballer
Q133839284,Claire Nalubuula,Other sport,7,,tennis player,Ugandan junior Tennis Player
Q133835808,Clementia Neema Murembe,Academia & education,7,,lecturer,Senior lecturer at the faculty of interdisciplinary studies at Mbarara University of Science and Technology.
Q133459976,Daisy Namirembe,Academia & education,7,,university teacher,Ugandan researcher and academician
Q133836254,Damalie Busingye,Other sport,7,,cricketer,cricketer
Q137194829,Danita Turiho,Other / unspecified,7,,advocate,"representative for Umoja women's run 2026, advocate for reproductive justice and gender equality"
Q130613897,Daphine Nalubowa,Football,7,,association football player,Ugandan Footballer
Q134054613,Deborah Nakalyowa,Academia & education,7,,lecturer,Ugandan lecturer
Q133463281,Desire Mirembe,Other sport,7,,netballer,Ugandan netball player
Q129094637,Desire Natooro,Other / unspecified,7,2003-11-30T00:00:00Z,defender,Ugandan footballer and defender
Q133894984,Diana Athieno,Other sport,7,,swimmer,Ugandan swimmer
Q133848627,Diana Nambalirwa,Other sport,7,,golfer,Golfer
Q136621408,Diana Namukusa,Other sport,7,1979-12-18T00:00:00Z,basketball player,Ugandan basketball player (born 1979)
Q134267984,Dinah Amoding,Other / unspecified,7,,darts player,Darts Player
Q133848737,Dinah Ongol,Other sport,7,,golfer,Golfer
Q139658983,Dinavence Asiimire,Other / unspecified,7,,secretary,Personal Assistant
Q133887636,Doreen Assimwe,Other sport,7,,field hockey player,Hockey player
Q136772941,Doreen Komuhangi,Media & writing,7,,journalist,Ugandan journalist
Q131278770,Doreen Nabbanja,Arts & entertainment,7,,actor,Ugandan Actress
Q135304448,Doreen Nantale,Other sport,7,,netballer,Ugandan netball player
Q133894489,Doreen Ondoa,Other sport,7,,handball player,Ugandan handball player
Q134176312,Doris Ngonzi,Academia & education,7,,lecturer,University lecturer
Q141267707,Dorothy Kabagambe Ssemanda,Business & finance,7,,businessperson,Ugandan business executive
Q140036603,Dorothy Nakaweesi,Media & writing,7,,journalist,Ugandan journalist
Q130537239,Edith Kaggwa,Activism & social work,7,,social worker,Ugandan refugee support and field coordinator
Q139801599,Edith Kutesa,Business & finance,7,,entrepreneur,Ugandan entrepreneur
Q141174487,Edith Nsajja Mwanje,Politics & government,7,,civil servant,Ugandan civil servant
Q133842402,Edna Lovinsa Nabiryo,Other sport,7,,tennis player,Ugandan tennis player
Q139785490,Edna Namara,Media & writing,7,,writer,Writer
Q140036645,Elizabeth Kamurungi,Media & writing,7,,journalist,Ugandan journalist
Q139807634,Emma Mugizi,Other / unspecified,7,,public relations officer,Ugandan public relations officer
Q133872863,Esther Aganyira,Other sport,7,,golfer,Golfer
Q136624176,Esther Akwap,Other sport,7,1996-04-08T00:00:00Z,basketball player,Ugandan basketball player (born 1996)
Q139731919,Esther Allen Nakamwa,Academia & education,7,,"teacher, head teacher",Activist for People with Disabilities
Q133848492,Esther K Beebwa,Academia & education,7,,university teacher,University teacher
Q134271350,Esther Nadunga,Other sport,7,,swimmer,Ugandan swimmer
Q124958098,Esther Nakkazi,Academia & education,7,,"researcher, science journalist, medical journalist","health and science reporter based in Kampala, Uganda"
Q130354654,Esther Nangendo,Football,7,,association football player,Ugandan footballer
Q130613770,Esther Okello Akite,Football,7,,association football player,Ugandan Footballer
Q134175300,Esther Tumwesigye,Academia & education,7,,lecturer,Lecturer
Q141267682,Ethol Amanda Natukunda,Business & finance,7,,entrepreneur,Ugandan entrepreneur
Q139962778,Eunice Apio Atuku,Politics & government,7,,politician,Ugandan politician
Q133864078,Eunice Awori,Other sport,7,,kabaddi player,She Gladiators team member
Q133848510,Eva Wodeya Wanyenze,Academia & education,7,,university teacher,University teacher
Q133848744,Evelyn Atukunda,Other sport,7,,golfer,Golfer
Q133842330,Evelyn Chimolo,Other sport,7,,tennis player,Ugandan female tennis player
Q133842370,Evelyn Kiwulwa,Other sport,7,,tennis player,Ugandan tennis player
Q130612962,Evelyn Nassuna,Football,7,,association football player,Ugandan Footballer
Q133842323,Evelyn Ochom,Other sport,7,,tennis player,Ugandan female tennis player
Q133839337,Faith Aber,Other sport,7,,tennis player,Ugandan Junior tennis player
Q112074482,Faith Aweko,Business & finance,7,,"entrepreneur, statistician",Ugandan social climate entrepreneur and activist
Q131105432,Faridah Ridah Nabagereka,Arts & entertainment,7,,actor,Actress
Q133888805,Favour Naome Kyomugasho,Academia & education,7,,lecturer,Ugandan Academician
Q135111780,Fildeus Namulema,Other sport,7,,netballer,Ugandan netball player
Q139658962,Fiona Akullo,Activism & social work,7,,human rights defender,Human Rights Defender
Q130717839,Fiona Atono,Football,7,,association football player,Ugandan footballer
Q131279141,Fiona Ssebandeke,Arts & entertainment,7,,actor,Ugandan Actress
Q133462781,Firdaus namulema,Other sport,7,,netballer,Ugandan netball player
Q135111884,Flavia Kitimbo,Other sport,7,,netballer,Ugandan netball player
Q138632437,Flavia Mawagi,Media & writing,7,,"musician, television presenter",Ugandan television presenter and musician
Q139770509,Flavia Nassaka,Media & writing,7,,journalist,Ugandan journalist
Q109289594,Florence Adong-Ewoo,Other / unspecified,7,,disability rights activist,Ugandan disability rights activist
Q130416361,Florence Kato,Activism & social work,7,,social worker,Ugandan advocacy and humanitarian aid social worker
Q131358998,Florence Maureen Mirembe,Other / unspecified,7,,gynecologist,Ugandan gynaecologist
Q134277469,Florence Mukoya,Other sport,7,,,Beach wood ball player
Q120799375,Florence Musiimenta,Academia & education,7,,"librarian, university teacher",Ugandan librarian and LIS educator
Q111968489,Florence Orishaba,Activism & social work,7,,human rights defender,Ugandan Human Rights activist
Q133852795,Florence Seera,Other / unspecified,7,2001-01-05T00:00:00Z,table tennis player,Table Tennis player
Q133892354,Gertrude Katessa,Other sport,7,,rugby player,Ugandan rugby player
Q133892670,Gertrude Kityo,Other sport,7,,golfer,Golfer
Q135225851,Gloria Ayaa,Other sport,7,,netballer,Ugandan netball player
Q130612609,Gloria Namakula,Football,7,,association football player,Ugandan Footballer
Q133881313,Gloria Nantege,Other sport,7,,volleyball player,Volleyball player
Q133872823,Gloria Nanyonga,Other sport,7,,golfer,Golfer
Q139807716,Gloria Nyiramugisha,Other / unspecified,7,,publicist,Ugandan publicist
Q137991797,Grace Abote,Politics & government,7,,politician,Ugandan politician
Q130613983,Grace Akatuhirira,Football,7,,association football player,Ugandan Footballer
Q133857493,Grace Auma,Other sport,7,,rugby player,Rugby player
Q133892778,Grace Kabonero,Other sport,7,,golfer,Golfer
Q134286025,Grace Kansiime,Academia & education,7,,"lecturer, researcher","Ugandan researcher, doctor and academician"
Q140637629,Grace Kitiibwa,Other sport,7,,swimmer,Ugandan Swimmer
Q111442515,Grace Kyomugisha,Other / unspecified,7,,soldier,Ugandan politician
Q138858838,Grace Muuduru,Activism & social work,7,,"lawyer, activist",Ugandan activist
Q133884416,Grace Nabaggala,Other sport,7,,rugby player,Ugandan rugby player
Q133879100,Grace Nakalema,Other / unspecified,7,1982-01-01T00:00:00Z,performing artist,Ugandan Artist
Q133848392,Grace Namboze,Academia & education,7,,lecturer,Senior lecturer nursing
Q130613854,Grace Nasongo,Football,7,,association football player,Ugandan Footballer
Q136622012,Grace-Mary Akello,Other sport,7,1989-08-11T00:00:00Z,basketball player,Ugandan basketball player (born 1989)
Q134627968,Hadija Otin,Other sport,7,,volleyball player,Ugandan professional volleyball player
Q136621411,Hadijah Nnakyanzi,Other sport,7,1967-12-26T00:00:00Z,basketball player,Ugandan basketball player (born 1967)
Q134176995,Halima Nassanga,Academia & education,7,,lecturer,Lecturer
Q140643814,Halwah Hamidah Kayondo,Other sport,7,,swimmer,Ugandan Swimmer
Q133848525,Hanifa Nantongo,Academia & education,7,,university teacher,University teacher
Q136902026,Happy Ainomugusha,Other / unspecified,7,,program manager,Ugandan program manager
Q134176687,Harriet Adong Ekallam Atuyambe,Academia & education,7,,lecturer,Lecturer
Q130613958,Hasifah Namboozo,Football,7,,association football player,Ugandan Footballer
Q133848575,Hawa Wanyeche,Other sport,7,,golfer,golfer
Q120799373,Hellen Agnes Muyomba,Academia & education,7,,"librarian, university teacher",Ugandan librarian and administrator
Q134286897,Hellen Kyomuhangi Kamuli,Other / unspecified,7,,administrator,Ugandan administrator
Q140041858,Hellen Mukiibi,Media & writing,7,,journalist,Ugandan journalist
Q55063243,Hellen Mutungi,Other / unspecified,7,,,fictional character from the television series Beneath The Lies
Q133839356,Hilder Afwoyoroth,Other sport,7,,tennis player,Ugandan Junior tennis player
Q133463230,Hindu Namutebi,Other sport,7,,netball,Ugandan netball player
