qitem,label,en_title,sitelink_count,views,occupation_names
Q96758100,Salma Lakhani,Salma Lakhani,9,20463,"businessperson, politician"
Q47015016,Keturah Katunguka,Keturah Katunguka,4,0,"judge, lawyer"
Q108823716,Victoria Katamba,Victoria Katamba,3,0,"judge, lawyer"
Q100308123,Mirjam Blaak,Mirjam Blaak,2,0,"politician, United Nations Commission on Human Rights"
Q136035536,Zahara Maala Luyirika,Zahara Maala Luyirika,2,0,politician
Q135034549,Nimisha Madhvani,Nimisha Madhvani,2,0,diplomat
Q111420850,Lematia Ruth Molly Ondoru,Lematia Ruth Molly Ondoru,1,0,politician
Q139915643,Judyth Nsababera,Judyth Nsababera,1,0,diplomat
