source,kind,name,district,parent,party,votes,verdict,matched_label
EC,mp,KASAJJA GEORGE PATRICK,KALIRO,BULAMOGI NORTH WEST COUNTY,NRM,13048,no_article_found,
EC,mp,MUTEBI BENARD MUGOYA,KALIRO,BULAMOGI COUNTY,INDEPENDENT,29268,no_article_found,
EC,mp,KIRULUUTA YUSUF JUNIOR NKERETTANYI,KALUNGU,KALUNGU COUNTY EAST,NUP,15473,no_article_found,
EC,mp,SSEWUNGU JOSEPH GONZAGA,KALUNGU,KALUNGU COUNTY WEST,NUP,10106,has_article,Ssewungu Joseph Gonzaga
EC,mp,KABANDA MINSA NABBENGO,KAMPALA,KAMPALACENTRAL DIVISION,NRM,22280,no_article_found,
EC,mp,KASIRYE NGANDA ALI,KAMPALA,MAKINDYE DIVISION EAST,NUP,17700,no_article_found,
EC,mp,KAWALYA ABUBAKER,KAMPALA,RUBAGA DIVISION NORTH,NUP,30589,no_article_found,
EC,mp,LUYIMBAZI NALUKOOLAELIAS,KAMPALA,KAWEMPE DIVISION NORTH,NUP,34955,no_article_found,
EC,mp,MAALAZAHRAH LUYIRIKA,KAMPALA,MAKINDYE DIVISION WEST,NUP,32264,no_article_found,
EC,mp,NASSOLOEUGENIA,KAMPALA,RUBAGA DIVISION SOUTH,NUP,35366,no_article_found,
EC,mp,NTALE NSEREKO MADINA,KAMPALA,KAWEMPE DIVISION SOUTH,NRM,18591,no_article_found,
EC,mp,RUHINDI FREDRICK,KAMPALA,NAKAWA DIVISION EAST,NRM,18575,has_article,Ruhindi Fredrick
EC,mp,SSENYONYI JOEL BESEKEZI,KAMPALA,NAKAWA DIVISION WEST,NUP,21761,has_article,Ssenyonyi Joel Besekezi
EC,mp,BAZAANYA MATAYO,KAMULI,BUGABULA COUNTY SOUTH,NRM,14615,no_article_found,
EC,mp,MUGABI MUZAALE MARTIN KISULE,KAMULI,BUZAAYA COUNTY,NRM,10547,no_article_found,
EC,mp,NAMATOVU MASTULA,KAMULI,KAMULI MUNICIPALITY,NRM,8582,has_article,Namatovu Mastula
EC,mp,TEIRAJOHN,KAMULI,BUGABULA COUNTY NORTH,NRM,10178,no_article_found,
EC,mp,ABIGABA CUTHBERT MIREMBE,KAMWENGE,KIBALE COUNTY,NRM,27363,has_article,Abigaba Cuthbert Mirembe
EC,mp,TUMWEBAZE FRANK KAGYIGYI,KAMWENGE,KIBALE EAST COUNTY,NRM,45443,has_article,Tumwebaze Frank Kagyigyi
EC,mp,BARYOMUNSI CHRIS,KANUNGU,KINKIZI COUNTY EAST,NRM,23830,has_article,Chris Baryomunsi
EC,mp,NIRINGIYIMANA JAMES RUUGI KABERUKA,KANUNGU,KINKIZI COUNTY WEST,NRM,22505,no_article_found,
EC,mp,KITIYO PATRICK,KAPCHORWA,KAPCHORWA MUNICIPALITY,INDEPENDENT,10352,no_article_found,
EC,mp,TWALLA FADIL,KAPCHORWA,TINGEY COUNTY,NRM,14219,no_article_found,
EC,mp,AKORIKIN FRANCIS,KAPELEBYONG,KAPELEBYONG COUNTY,NRM,14670,no_article_found,
EC,mp,BAATOM BEN KORYANG,KARENGA,DODOTH WEST COUNTY,NRM,4655,no_article_found,
EC,mp,LOLUK FIDELIS LOGWEE,KARENGA,NAPORE WEST COUNTY,INDEPENDENT,2919,no_article_found,
EC,mp,KAMBALE FERIGO,KASESE,KASESE MUNICIPALITY,NRM,11899,has_article,Kambale Ferigo
EC,mp,KITANYWASOWEDI,KASESE,BUSONGORA COUNTY NORTH,NRM,21064,no_article_found,
EC,mp,KIYONGA C W C B,KASESE,BUKONJO COUNTY WEST,NRM,35899,no_article_found,
EC,mp,MONDAY JULIUS RUDE,KASESE,BUKONZO COUNTY EAST,NRM,28195,no_article_found,
EC,mp,MULINDWA DAVID ISIMBWA,KASESE,BUSONGORA COUNTY SOUTH,NRM,10845,no_article_found,
EC,mp,BISASO ABDUL,KASSANDA,KASSANDA COUNTY SOUTH,NRM,11765,no_article_found,
EC,mp,BUKENYA MICHAEL IGA,KASSANDA,BUKUYA COUNTY,NRM,15860,no_article_found,
EC,mp,NSAMBA PATRICK OSHABE,KASSANDA,KASSANDA COUNTY NORTH,NUP,12274,has_article,Nsamba Patrick Oshabe
EC,mp,OGWANG PETER,KATAKWI,NGARIAM COUNTY,NRM,20372,has_article,Ogwang Peter
EC,mp,ONGOROK RICHARD,KATAKWI,USUK COUNTY,NRM,7873,no_article_found,
EC,mp,OSSIYA SOLOMON ALEMU,KATAKWI,TOROMA COUNTY,NRM,10044,no_article_found,
EC,mp,BASEKE FRED,KAYUNGA,NTENJERU COUNTY SOUTH,NRM,14573,no_article_found,
EC,mp,LUGOLOOBI AMOS,KAYUNGA,NTENJERU COUNTY NORTH,NRM,18013,has_article,Lugoloobi Amos
EC,mp,TEBANDEKE CHARLES,KAYUNGA,BBAALE COUNTY,NUP,17507,no_article_found,
EC,mp,ATWIJUKIRE DAN KIMOSHO,KAZO,KAZO COUNTY,NRM,40904,no_article_found,
EC,mp,KASAIJAMATIA,KIBAALE,BUYANJA COUNTY,NRM,18104,no_article_found,
EC,mp,KUGONZA EMELY,KIBAALE,BUYANJAEAST COUNTY,NRM,17,no_article_found,
EC,mp,LULE ERIA ERICK,KIBOGA,KIBOGA WEST COUNTY,NRM,9235,no_article_found,
EC,mp,MUSOKE MICHAEL TREVOSS,KIBOGA,KIBOGA EAST COUNTY,NUP,8866,no_article_found,
EC,mp,KINOBERE HERBERT TOM,KIBUKU,KIBUKU COUNTY,INDEPENDENT,14522,no_article_found,
EC,mp,WAKIDA PATRICK GODFREY,KIBUKU,KABWERI COUNTY,NRM,19766,no_article_found,
EC,mp,ASEERA STEPHEN,KIKUUBE,BUHAGUZI EAST COUNTY,NRM,10668,no_article_found,
EC,mp,TWINOMUJUNI FRANCIS KAZINI,KIKUUBE,BUHAGUZI COUNTY,NRM,21336,no_article_found,
EC,mp,KAJWENGYE TWINOMUGISHA WILSON,KIRUHURA,NYABUSHOZI COUNTY,NRM,21474,no_article_found,
EC,mp,TUMURAMYE GENENSIO,KIRUHURA,KASHONGI COUNTY,NRM,13088,no_article_found,
EC,mp,KARUBANGA JACOB ATEENYI,KIRYANDONGO,KIBANDA SOUTH COUNTY,INDEPENDENT,9531,no_article_found,
EC,mp,NGOMPEK LINOS,KIRYANDONGO,KIBANDA NORTH COUNTY,NRM,14564,has_article,Ngompek Linos
EC,mp,BYIBESHO SAM,KISORO,KISORO MUNICIPALITY,NRM,4834,has_article,Byibesho Sam
EC,mp,HABYARA FORTUNATE,KISORO,BUFUMBIRA COUNTY NORTH,NRM,8374,no_article_found,
EC,mp,KWIZERA EDDIE WA-GAHUNGU,KISORO,BUKIMBIRI COUNTY,INDEPENDENT,14761,no_article_found,
EC,mp,NIYONSABA ALEX,KISORO,BUFUMBIRA COUNTY SOUTH,NRM,23897,no_article_found,
EC,mp,NKRUMAH ROLAND,KISORO,BUFUMBIRA COUNTY EAST,NRM,14708,no_article_found,
EC,mp,MUGABE ROBERT,KITAGWENDA,KITAGWENDA COUNTY,NRM,33249,no_article_found,
EC,mp,OKOYA JOHN CALVIN,KITGUM,CHUA EAST COUNTY,INDEPENDENT,14688,no_article_found,
EC,mp,ONEKA LIT AMERE DENIS,KITGUM,KITGUM MUNICIPALITY,FDC,6176,no_article_found,
EC,mp,ORYEMA SIMON PETER ADUM,KITGUM,CHUA WEST COUNTY,NRM,9024,no_article_found,
EC,mp,BANYA EMMANUEL NATAL,KOBOKO,KOBOKO COUNTY,NRM,66,has_article,Banya Emmanuel Natal
EC,mp,DUUKI BRAN,KOBOKO,KOBOKO MUNICIPALITY,NUP,2362,no_article_found,
EC,mp,MUSANOAH,KOBOKO,KOBOKO NORTH COUNTY,NRM,7720,no_article_found,
EC,mp,OKOT BONIFACE HENRY,KOLE,KOLE SOUTH COUNTY,NRM,16447,no_article_found,
EC,mp,OPIO SAMUEL ACUTI,KOLE,KOLE NORTH COUNTY,NRM,26933,no_article_found,
EC,mp,ACHIA LOKIRU GABRIEL,KOTIDO,JIE COUNTY,NRM,28972,no_article_found,
EC,mp,ISMAIL MUHAMMAD LOMWAR,KOTIDO,KOTIDO MUNICIPALITY,NRM,8320,no_article_found,
EC,mp,AOGON SILAS,KUMI,KUMI MUNICIPALITY,INDEPENDENT,6152,has_article,Aogon Silas
EC,mp,OKAASAI SIDRONIUS OPOLOT,KUMI,KUMI COUNTY,NRM,20095,has_article,Okaasai Sidronius Opolot
EC,mp,OPOLOT-OKWALINGA SIMON PETER,KUMI,KANYUM COUNTY,NRM,11558,has_article,Opolot-okwalinga Simon Peter
