qitem,label,sitelink_count,local_title,local_bytes,ref_bytes,views,completeness,is_stub
Q501709,Jinja,55,Jinja,586,35824.0,15815,1.6,True
Q5069763,Jose Chameleone,8,Jose Chameleone,6281,17576.0,15647,35.7,False
Q500397,Bwindi Impenetrable National Park,47,Hifadhi ya Taifa ya Bwindi,1317,24264.0,15451,5.4,True
Q500107,Fort Portal,32,Fort Portal,3747,15476.0,14891,24.2,False
Q1740785,Kibale National Park,26,Hifadhi ya Taifa ya Kibale,1076,15154.0,14683,7.1,True
Q153557,Kakwa people,11,Wakakwa,948,13567.0,14225,7.0,True
Q24250414,Esteri Tebandeke,12,Esteri Tebandeke,4028,12287.0,14070,32.8,False
Q538636,Ankole,26,Wanyankole,2384,22084.0,13782,10.8,False
Q336564,John Sentamu,21,John Sentamu,2051,50891.0,13673,4.0,False
Q732838,Mount Elgon,44,Elgon (mlima),5451,10466.0,13612,52.1,False
Q1363002,John Okello,12,John Okello,8814,15332.0,13385,57.5,False
Q102320873,Hamis Kiggundu,13,Hamis Kiggundu,868,44056.0,13015,2.0,True
Q4118193,Mandela National Stadium,24,Uwanja wa michezo wa Mandela,1688,13696.0,12785,12.3,True
Q975894,Lugbara people,13,Walugbara,1451,8573.0,12458,16.9,True
Q180261,list of cities and towns in Uganda,29,Orodha ya miji ya Uganda,10492,9741.0,12025,107.7,False
Q242051,Irshad Manji,39,Irshad Manji,4524,48384.0,11854,9.4,False
Q125888,Lake Albert,88,Ziwa Albert (Afrika),7820,17182.0,11227,45.5,False
Q1512041,history of Uganda,28,Historia ya Uganda,5984,29849.0,11030,20.0,False
Q691037,Busoga,16,Wasoga,1697,40001.0,10716,4.2,True
Q16728749,Eddy Kenzo,11,Eddy Kenzo,2820,42955.0,10605,6.6,False
Q1711917,Julia Sebutinde,19,Julia Sebutinde,2480,25753.0,10564,9.6,False
Q823946,Northwest,48,"Mkoa wa Kaskazini-Magharibi, Kamerun",428,18043.0,10501,2.4,True
Q1026465,Kadaga Rebecca Alitwala,27,Rebecca Kadaga,808,20151.0,10265,4.0,True
Q309426,Kasubi Tombs,57,Kasubi,2017,16877.0,10138,12.0,False
Q6873258,Miria Matembe,11,Miria Matembe,2250,10557.0,10120,21.3,False
Q2750140,Kagera River,65,Mto Kagera,7152,11500.0,9999,62.2,False
Q82373,Islam in Uganda,11,Uislamu nchini Uganda,2224,15405.0,9764,14.4,False
Q1908107,matatu,13,Matatu,1750,24994.0,9733,7.0,True
Q731039,Mbarara City,44,Mbarara,1151,30796.0,9416,3.7,True
Q3335223,Nairobi City County,22,Kaunti ya Nairobi,5549,22325.0,9311,24.9,False
Q740847,Denis Onyango,19,Denis Onyango,3330,20243.0,9029,16.5,False
Q15999159,Muljibhai Madhvani,5,Muljibhai Madhvani,993,9820.0,8611,10.1,True
Q3076685,region of Uganda,17,Mikoa ya Uganda,1245,5284.0,8433,23.6,True
Q108570,Coat of arms of Uganda,37,Nembo ya Uganda,1581,5737.0,8323,27.6,True
Q6644405,list of universities in Uganda,6,Orodha ya Vyuo Vikuu nchini Uganda,2499,25271.0,8163,9.9,False
Q1395043,Janani Luwum,16,Janani Luwum,4982,12362.0,8127,40.3,False
Q1154617,politics of Uganda,14,Siasa ya Uganda,5203,20504.0,8102,25.4,False
Q581379,Gulu City,48,Gulu,795,21328.0,8097,3.7,True
Q21759,Winnie Byanyima,28,Winnie Byanyima,10809,16974.0,7997,63.7,False
Q15060544,Pione Sisto,39,Pione Sisto,468,27813.0,7948,1.7,True
Q2597300,Bundibugyo,13,Bundibugyo,1076,11317.0,7745,9.5,True
Q3295164,Martha Karua,18,Martha Karua,8985,26127.0,7628,34.4,False
Q30061488,boda boda,15,Boda boda,6461,13040.0,7522,49.5,False
Q1273334,Langi people,17,Walango,2311,15891.0,7518,14.5,False
Q25226975,East African Crude Oil Pipeline,7,Bomba la mafuta ghafi la Uganda –Tanzania,10465,49657.0,7426,21.1,False
Q24572616,Aceng Jane Ruth Ocero,14,Jane Aceng,3142,26581.0,7280,11.8,False
Q530084,Queen Elizabeth National Park,33,Hifadhi ya Taifa ya Malkia Elizabeth,2757,14872.0,7208,18.5,False
Q6378429,Katumba Wamala Edward,6,Katumba Wamala,2441,18438.0,6972,13.2,False
Q202353,Alur people,16,Waalur,929,20879.0,6822,4.4,True
Q2575594,Kiambu County,22,Kaunti ya Kiambu,9683,27961.0,6790,34.6,False
Q539807,Juliana Kanyomozi,16,Juliana Kanyomozi,6492,23608.0,6686,27.5,False
Q7973731,Water scarcity in Africa,14,Uhaba wa maji barani Afrika,2178,65195.0,6684,3.3,False
Q486016,Benedicto Kiwanuka,18,Benedicto Kiwanuka,4034,8705.0,6510,46.3,False
Q125211,Lake Edward,75,Ziwa Edward,7505,16922.0,6509,44.4,False
Q1281344,Teso people,20,Wateso,436,16023.0,6462,2.7,True
Q3637341,Bebe Cool,10,Bebe Cool,4091,21071.0,6434,19.4,False
Q115110885,Rebecca Cheptegei,32,Rebecca Cheptegei,1100,21083.0,6419,5.2,True
Q1060862,Ssese Islands,23,Visiwa vya Ssese,556,9037.0,6385,6.2,True
Q1362129,Bundibugyo District,19,Wilaya ya Bundibugyo,1388,6393.0,6355,21.7,True
Q976848,Wakiso District,25,Wilaya ya Wakiso,1374,9132.0,6349,15.0,True
Q185549,Karamojong people,17,Wakaramojong,4985,12731.0,6328,39.2,False
Q15045704,Meru County,24,Kaunti ya Meru,7965,17956.0,6278,44.4,False
Q1852202,Nakuru County,22,Kaunti ya Nakuru,3492,18818.0,6141,18.6,False
Q96270510,John Blaq,6,John Blaq,5141,14822.0,6081,34.7,False
Q500111,Arua,30,Arua,1003,19652.0,6030,5.1,True
Q1015727,Mbale City,33,"Mbale, Uganda",729,15341.0,5997,4.8,True
Q124978,Lake Kyoga,51,Ziwa Kyoga,4236,9059.0,5917,46.8,False
Q2559188,Western Region,38,Mkoa wa Magharibi (Uganda),532,15449.0,5916,3.4,True
Q455244,Alice Auma Lakwena,16,Alice Lakwena,2441,8955.0,5848,27.3,False
Q110193,"Oh Uganda, Land of Beauty",47,"Oh Uganda, Land of Beauty",1184,12446.0,5505,9.5,True
Q4591759,Andrew Mwenda,9,Andrew Mwenda,6768,17288.0,5294,39.1,False
Q3463928,Saint Kizito,12,Kizito,3410,3728.0,5188,91.5,False
Q429685,Central Region,37,Mkoa wa Kati (Uganda),4276,7134.0,5138,59.9,False
Q351514,Adamawa,53,Mkoa wa Adamawa,454,40054.0,5117,1.1,True
Q18719341,Cindy Sanyu,9,Cindy Sanyu,1565,12988.0,5097,12.0,True
Q7877679,Ugandan cuisine,14,Vyakula vya Uganda,1314,9174.0,5081,14.3,True
Q2559686,Northern Region,37,"Mkoa wa Kaskazini, Uganda",5761,7181.0,5057,80.2,False
Q24577229,Madina Nalwanga,14,Madina Nalwanga,5925,6965.0,5036,85.1,False
Q956659,Masaka,25,Masaka (Uganda),1083,21454.0,5024,5.0,True
Q913737,Geoffrey Oryema,22,Geoffrey Oryema,2064,9857.0,5018,20.9,False
Q83614709,Vanessa Nakate,41,Vanessa Nakate,2017,29420.0,5016,6.9,False
Q3052823,Emmanuel Okwi,17,Emmanuel Okwi,989,21458.0,5000,4.6,True
Q976859,Nakasongola District,20,Wilaya ya Nakasongola,1386,4840.0,4888,28.6,True
Q918295,Emmanuel Wamala,26,Emmanuel Wamala,678,10732.0,4883,6.3,True
