feature_class,class_label,name,osm_type,osm_id,segments,wikidata_qid,wikipedia_tag,link_state,osm_url
school,Schools,Agwok Primary School,node,4010736314,1,Q22811419,,wikidata_only,https://www.openstreetmap.org/node/4010736314
school,Schools,Agwok primary,node,8251674752,1,,,untagged,https://www.openstreetmap.org/node/8251674752
school,Schools,Ahamadiya Primary School,node,4035696735,1,Q23034656,,wikidata_only,https://www.openstreetmap.org/node/4035696735
school,Schools,Aharubanga Church Primary School,node,4019766936,1,Q23016084,,wikidata_only,https://www.openstreetmap.org/node/4019766936
school,Schools,Ahlul Baiti Primary School,node,4031523777,1,Q23053489,,wikidata_only,https://www.openstreetmap.org/node/4031523777
school,Schools,Ahmadia Muslim High School,way,946123743,1,,,untagged,https://www.openstreetmap.org/way/946123743
school,Schools,Ahmadiya Muslim Primary School,node,4030731251,1,Q22984633,,wikidata_only,https://www.openstreetmap.org/node/4030731251
school,Schools,Ahmadiya Primary School,node,4066659067,1,Q23206988,,wikidata_only,https://www.openstreetmap.org/node/4066659067
school,Schools,Ahmed Islamic Education Centre,node,4032525173,1,Q22977301,,wikidata_only,https://www.openstreetmap.org/node/4032525173
school,Schools,Aibilonino Primary School,node,4027531797,1,Q22954767,,wikidata_only,https://www.openstreetmap.org/node/4027531797
school,Schools,Aid Child Non Government Organisation,node,4055560822,1,,,untagged,https://www.openstreetmap.org/node/4055560822
school,Schools,Aidah And Toper Primary School,node,4032724089,1,,,untagged,https://www.openstreetmap.org/node/4032724089
school,Schools,Aidah and Topher Primary School,node,4032723405,1,Q22978545,,wikidata_only,https://www.openstreetmap.org/node/4032723405
school,Schools,Aidan Primary School,node,4099298465,1,,,untagged,https://www.openstreetmap.org/node/4099298465
school,Schools,Aidan Primary School,way,1303473469,1,Q23308073,,wikidata_only,https://www.openstreetmap.org/way/1303473469
school,Schools,Aiibu Primary School,node,3999144363,1,Q22680090,,wikidata_only,https://www.openstreetmap.org/node/3999144363
school,Schools,Ainembabazi Primary School,node,1679541714,1,Q22672715,,wikidata_only,https://www.openstreetmap.org/node/1679541714
school,Schools,Ainembabazi Primary School,node,4029331256,1,Q22983921,,wikidata_only,https://www.openstreetmap.org/node/4029331256
school,Schools,Air Base Nursery and Primary School,node,4030665273,1,Q23019431,,wikidata_only,https://www.openstreetmap.org/node/4030665273
school,Schools,Air Field Model Academy,node,5336485583,1,,,untagged,https://www.openstreetmap.org/node/5336485583
school,Schools,Airabet Primary School,node,3967315495,1,Q22807572,,wikidata_only,https://www.openstreetmap.org/node/3967315495
school,Schools,Airat Islamic Primary School,node,4030631099,1,,,untagged,https://www.openstreetmap.org/node/4030631099
school,Schools,Aisha Secondary School,node,4029231699,1,,,untagged,https://www.openstreetmap.org/node/4029231699
school,Schools,Aivu Community School,node,4012247257,1,,,untagged,https://www.openstreetmap.org/node/4012247257
school,Schools,Ajaga Primary School,node,4011877280,1,Q22813613,,wikidata_only,https://www.openstreetmap.org/node/4011877280
school,Schools,Ajago Primary School,node,4013663033,1,Q23198832,,wikidata_only,https://www.openstreetmap.org/node/4013663033
school,Schools,Ajagoro primary School,node,4011994075,1,Q22910435,,wikidata_only,https://www.openstreetmap.org/node/4011994075
school,Schools,Ajaki - Asinge Primary School,node,3958457794,1,,,untagged,https://www.openstreetmap.org/node/3958457794
school,Schools,Ajal-Atede Primary School,node,4012527889,1,Q22814477,,wikidata_only,https://www.openstreetmap.org/node/4012527889
school,Schools,Ajal-lajuwa Primary School,node,4010787807,1,Q22811781,,wikidata_only,https://www.openstreetmap.org/node/4010787807
school,Schools,Ajali Anyena Primary School,node,4010787808,1,Q22811779,,wikidata_only,https://www.openstreetmap.org/node/4010787808
school,Schools,Ajalia Primary School,node,4012527890,1,Q22814478,,wikidata_only,https://www.openstreetmap.org/node/4012527890
school,Schools,Ajei Primary School,node,3999164360,1,Q22811952,,wikidata_only,https://www.openstreetmap.org/node/3999164360
school,Schools,Ajeleik Primary School,node,4016895724,1,Q22941977,,wikidata_only,https://www.openstreetmap.org/node/4016895724
