qitem,label,description,tier,positions_held,sitelink_count,statements,en_title,lg_title,ugandan_citizen
Q100308123,Mirjam Blaak,Ugandan politician and diplomat,Diplomatic service,ambassador of Uganda,2,26,Mirjam Blaak,,yes
Q111420850,Lematia Ruth Molly Ondoru,Ugandan Politician,Parliament,council member; member of parliament,1,14,Lematia Ruth Molly Ondoru,,yes
Q96758100,Salma Lakhani,Ugandan Lieutenant Governor of Alberta since 2020,Public service,Lieutenant Governor of Alberta,9,21,Salma Lakhani,,yes
