title,depth,parent,files,subcats,theme,campaign,truncated
Category:Images from Wiki Loves Folklore 2026 in Uganda,4,Category:Wiki Loves Folklore 2026 in Uganda,3695,0,Culture,Wiki Loves Folklore,1
Category:Images from Wiki Loves Africa 2025 in Uganda,4,Category:Wiki Loves Africa 2025 in Uganda,2409,1,History,Wiki Loves Africa,1
Category:Images from Wiki Loves Folklore 2025 in Uganda,3,Category:Folklore of Uganda,2223,1,Culture,Wiki Loves Folklore,0
Category:Food of Uganda,2,Category:Culture of Uganda,1503,24,Culture,,0
Category:Our World in Data graphs of Uganda,3,Category:Statistics of Uganda,1362,0,Charts and data,,0
Category:Culture of Uganda,1,Category:Uganda,1320,52,Culture,,0
Category:Wiki Loves Sport 2025 in Uganda,3,Category:Wikimedia Community User Group Uganda,1288,3,Sports,,0
Category:Images from Wiki Loves Earth 2025 in Uganda,4,Category:Wiki Loves Earth 2025 in Uganda,1213,0,History,Wiki Loves Earth,1
Category:Images from Wiki Loves Africa 2023 in Uganda,4,Category:Wiki Loves Africa 2023 in Uganda,1084,0,History,Wiki Loves Africa,1
Category:Wiki Soccerthons 2024 in Uganda,3,Category:2024 Wikimedia movement in Uganda,1040,0,History,,0
Category:Images from Wiki Loves Earth 2024 in Uganda,4,Category:Wiki Loves Earth 2024 in Uganda,939,3,History,Wiki Loves Earth,1
Category:Protected areas of Uganda,3,Category:Nature of Uganda,832,15,Other,,0
Category:National Cultural Sites in Uganda,2,Category:History of Uganda,770,3,Culture,,0
Category:People of Uganda,2,Category:Society of Uganda,752,48,People,,0
Category:Images from Wiki Loves Monuments 2024 in Uganda,4,Category:Wiki Loves Monuments 2024 in Uganda,731,0,Buildings,Wiki Loves Monuments,1
Category:Images from Wiki Loves Africa 2022 in Uganda,4,Category:Wiki Loves Africa 2022 in Uganda,725,0,History,Wiki Loves Africa,1
Category:Cuisine of Uganda,3,Category:Food of Uganda,711,37,Culture,,0
Category:Dance of Uganda,2,Category:Culture of Uganda,690,10,Culture,,0
Category:National Cultural Sites in Uganda with known IDs,3,Category:National Cultural Sites in Uganda,690,0,Culture,,0
Category:Images from Wiki Loves Earth 2026 in Uganda,4,Category:Wiki Loves Earth 2026 in Uganda,672,0,History,Wiki Loves Earth,1
Category:Transport in Uganda,2,Category:Uganda by topic,638,17,Buildings,,0
Category:Uganda People's Defence Force contingent of the African Union Mission to Somalia,3,Category:Military of Uganda,631,0,People,,0
Category:Images from Wiki Loves Africa 2020 in Uganda,4,Category:Wiki Loves Africa 2020 in Uganda,578,0,History,Wiki Loves Africa,1
Category:Images from Wiki Loves Earth 2023 in Uganda,4,Category:Wiki Loves Earth 2023 in Uganda,576,2,History,Wiki Loves Earth,1
Category:Clothing of Uganda,2,Category:Culture of Uganda,574,9,Culture,,0
Category:Kanzu,4,Category:Fashion of Uganda,574,0,Other,,1
Category:Music of Uganda,2,Category:Culture of Uganda,528,3,Culture,,0
Category:Liberation Day anniversary celebrations in Uganda,1,Category:Uganda,515,0,Culture,,0
Category:Health in Uganda,1,Category:Uganda,510,21,Health,,0
Category:Images from Wiki Loves Africa 2021 in Uganda,4,Category:Wiki Loves Africa 2021 in Uganda,502,0,History,Wiki Loves Africa,1
Category:Weather and climate of Uganda,2,Category:Geography of Uganda,444,4,Other,,0
Category:Kwanjula Ceremony,4,Category:Introduction ceremonies in Uganda,436,0,Other,,1
Category:Images from Wiki Loves Africa 2024 in Uganda,4,Category:Wiki Loves Africa 2024 in Uganda,420,0,History,Wiki Loves Africa,1
Category:Images from Wiki Loves Folklore 2024 in Uganda,3,Category:Folklore of Uganda,408,0,Culture,Wiki Loves Folklore,0
Category:Landscapes of Uganda,2,Category:Geography of Uganda,408,4,Other,,0
Category:Images from Wiki Loves Earth 2022 in Uganda,4,Category:Wiki Loves Earth 2022 in Uganda,401,0,History,Wiki Loves Earth,1
Category:Graves in Uganda,3,Category:Monuments and memorials in Uganda,399,6,Culture,,0
Category:Images from Wiki Loves Monuments 2018 in Uganda,4,Category:Wiki Loves Monuments 2018 in Uganda,397,0,Buildings,Wiki Loves Monuments,1
Category:GLAM in Uganda,3,Category:Wikimedia Community User Group Uganda,378,9,Other,,0
Category:Children of Uganda,2,Category:Uganda by topic,376,10,People,,0
Category:Male members of the Parliament of Uganda,4,Category:Members of the 11th Parliament of Uganda,376,3,Government,,1
Category:Images from Wiki Loves Sport 2026 in Uganda,4,Category:Wiki Loves Sport 2026 in Uganda,367,0,Sports,,1
Category:Images from Wiki Loves Earth 2020 in Uganda,4,Category:Wiki Loves Earth 2020 in Uganda,354,0,History,Wiki Loves Earth,1
Category:Sports in Uganda,2,Category:Culture of Uganda,348,18,Sports,,0
Category:Igongo Cultural Centre Museum,3,Category:Igongo Cultural Centre,337,0,Culture,,0
Category:Images from Wiki Loves Monuments 2020 in Uganda,4,Category:Wiki Loves Monuments 2020 in Uganda,334,0,Buildings,Wiki Loves Monuments,1
Category:Images from Wiki Loves Monuments 2021 in Uganda,4,Category:Wiki Loves Monuments 2021 in Uganda,334,0,Buildings,Wiki Loves Monuments,1
Category:Wikimedia Community User Group Uganda,2,Category:Wikimedia movement in Uganda,303,22,Wikimedia community,,0
Category:Association football in Uganda,4,Category:Sports in Uganda by sport,300,11,Sports,,1
Category:Men at work in Uganda,4,Category:Men of Uganda,298,0,People,,1
Category:Images from Luganda Wikipedia mentorship program 2025,3,Category:2025 Wikimedia movement in Uganda,281,1,Wikimedia community,,0
Category:Women of Uganda,3,Category:People of Uganda,274,22,People,,0
Category:Drums of Uganda,3,Category:Musical instruments of Uganda,272,3,Culture,,0
Category:Images from Wiki Loves Earth 2021 in Uganda,4,Category:Wiki Loves Earth 2021 in Uganda,264,0,History,Wiki Loves Earth,1
"Category:Virunga, Uganda: Conservation Enterprises",4,Category:Conservation in Uganda,259,0,Environment,,1
Category:Food preparation in Uganda,3,Category:Food of Uganda,244,5,Culture,,0
Category:WikiED Uganda,2,Category:Wikimedia movement in Uganda,244,0,Wikimedia community,,0
Category:Images from Wiki Loves Monuments 2022 in Uganda,4,Category:Wiki Loves Monuments 2022 in Uganda,234,0,Buildings,Wiki Loves Monuments,1
Category:2012 in Uganda,3,Category:Uganda by year,225,6,History,,0
Category:Bidibidi Refugee Settlement,3,Category:Refugee camps in Uganda,224,0,Geography,,0
Category:Images from Wiki Loves Monuments 2023 in Uganda,4,Category:Wiki Loves Monuments 2023 in Uganda,224,0,Buildings,Wiki Loves Monuments,1
Category:Buganda Masaza Cup,4,Category:Sports in Buganda,222,0,Sports,,1
Category:Male politicians of Uganda,3,Category:Politicians of Uganda,219,24,People,,0
Category:Uganda,0,,218,32,Other,,0
Category:Event Images from Wiki for Minorities in Uganda 2026,4,Category:Wiki for Minorities 2026 in Uganda,216,0,Wikimedia community,,1
Category:2011 Horn of Africa famine,3,Category:Disasters and accidents in Uganda,214,1,Health,,0
Category:Women at work in Uganda,4,Category:Women of Uganda,213,0,People,,1
Category:Female Members of the Parliament of Uganda,4,Category:Members of the 11th Parliament of Uganda,207,12,Government,,1
Category:Images from Wiki Loves Africa 2019 in Uganda,4,Category:Wiki Loves Africa 2019 in Uganda,202,0,History,Wiki Loves Africa,1
Category:Bwindi Impenetrable National Park in the 2010s,4,Category:Uganda in the 2010s,201,0,Environment,,1
Category:Murchison Falls National Park,4,Category:National parks of Uganda,199,5,Environment,,1
Category:Ruwenzori Range,4,Category:Mountains of Uganda,195,12,Geography,,1
Category:Photo essays from Wiki Loves Africa 2025 in Uganda,4,Category:Wiki Loves Africa 2025 in Uganda,194,0,History,Wiki Loves Africa,1
Category:Images from Wiki Loves Earth 2019 in Uganda,4,Category:Wiki Loves Earth 2019 in Uganda,192,0,History,Wiki Loves Earth,1
Category:Tourism in Uganda,2,Category:Economy of Uganda,191,6,Economy,,0
Category:History of Uganda,1,Category:Uganda,188,44,History,,0
Category:Military of Uganda,2,Category:Uganda by topic,186,17,Government,,0
Category:Agriculture in Uganda,2,Category:Economy of Uganda,184,31,Economy,,0
Category:Fruit of Uganda,3,Category:Food of Uganda,184,14,Environment,,0
Category:Buildings in Uganda,4,Category:Structures in Uganda,180,15,Buildings,,1
Category:1936 in Uganda,3,Category:Uganda by year,179,1,History,,0
Category:Rwenzori Mountains National Park,3,Category:World Heritage Sites in Uganda,176,9,Geography,,0
Category:Photos of Uganda from ISS,3,Category:Satellite pictures of Uganda,173,12,Other,,0
Category:Men of Uganda,3,Category:People of Uganda,172,11,People,,0
Category:2015 in Uganda,3,Category:Uganda by year,170,6,History,,0
Category:People wearing barkcloth in Uganda,3,Category:Clothing of Uganda,165,0,People,,0
Category:Clans of Buganda,4,Category:Bugandan monarchy,164,5,People,,1
Category:Wakiso District,4,"Category:Central Region, Uganda",164,17,Geography,,1
Category:Bananas in Uganda,4,Category:Fruit of Uganda,163,2,Environment,,1
Category:Football in Uganda,3,Category:Sports in Uganda,158,7,Sports,,0
Category:Images of Uganda by User:Poco a poco,4,Category:Images of Uganda by user,158,2,Other,,1
Category:Interiors of religious buildings in Uganda,4,Category:Building interiors in Uganda,156,1,Buildings,,1
Category:Fashion of Uganda,3,Category:Clothing of Uganda,155,1,Other,,0
Category:Images from WikiForHumanRights 2024 in Uganda,4,Category:WikiForHumanRights 2024 in Uganda,155,0,History,,1
Category:Lake Victoria in Uganda,4,Category:Lakes of Uganda,153,3,Geography,,1
Category:Views of Kampala,2,Category:Views of Uganda,152,3,Other,,0
Category:Murchison Falls,4,Category:Waterfalls in Uganda,150,0,Other,,1
Category:Sunrises of Uganda,3,Category:Landscapes of Uganda,150,3,Other,,0
Category:Images from Wiki Loves Monuments 2017 in Uganda,4,Category:Wiki Loves Monuments 2017 in Uganda,148,0,Buildings,Wiki Loves Monuments,1
Category:ArtAndFeminism 2024 in Uganda,3,Category:2024 Wikimedia movement in Uganda,147,1,History,,0
Category:Basilica of the Uganda Martyrs,3,"Category:National Cultural Sites in Central Region, Uganda",146,0,Culture,,0
Category:Sunsets of Uganda,4,Category:Sky over Uganda,143,6,Other,,1
Category:Community Museums in Uganda,3,Category:Museums in Uganda,141,20,Buildings,,0
Category:2025 in Uganda,3,Category:Uganda by year,139,10,History,,0
Category:Kasubi Tombs,2,Category:Culture of Uganda,138,0,Other,,0
Category:Museums in Uganda,2,Category:Education in Uganda,136,6,Buildings,,0
Category:Uganda Police Force contingent of the African Union Mission to Somalia,3,Category:Police of Uganda,136,1,Government,,0
Category:Karamojong people,3,Category:Ethnic groups in Uganda,135,1,People,,0
Category:Female politicians of Uganda,3,Category:Politicians of Uganda,134,26,People,,0
Category:COVID-19 pandemic in Uganda,2,Category:Uganda by topic,133,2,Health,,0
Category:Transport in Kampala,4,Category:Transport in Uganda by city,133,7,Buildings,,1
Category:Kampala,4,"Category:Central Region, Uganda",132,28,Other,,1
Category:Malaria in Uganda,3,Category:Diseases and disorders in Uganda,132,0,Health,,0
Category:Nile in Uganda,4,Category:Rivers of Uganda,132,5,Other,,1
Category:People of Kampala,4,Category:People of Uganda by city,132,9,People,,1
Category:Military parades of Uganda,3,Category:Military of Uganda,131,0,Government,,0
Category:Lake Bunyonyi,4,Category:National parks of Uganda,130,4,Geography,,1
Category:Sustainable Sanitation Alliance in Uganda,2,Category:Health in Uganda,128,2,Other,,0
Category:Children playing in Uganda,3,Category:Children of Uganda,123,0,People,,0
Category:Trees in Uganda,4,Category:Flora of Uganda,122,12,Environment,,1
Category:Boats in Uganda,4,Category:Water transport in Uganda,120,4,Other,,1
Category:Community Libraries in Uganda,4,Category:Libraries in Uganda,118,5,Education,,1
Category:Images from WikiGap 2026 in Uganda,4,Category:WikiGap 2026 in Uganda,118,0,History,,1
Category:Maps of districts of Uganda,4,Category:Locator maps of Uganda,118,1,Geography,,1
Category:Markets in Uganda,3,Category:Commerce in Uganda,117,7,Economy,,0
Category:Images from Wiki Loves Monuments 2019 in Uganda,4,Category:Wiki Loves Monuments 2019 in Uganda,115,0,Buildings,Wiki Loves Monuments,1
Category:Coffee in Uganda,3,Category:Agriculture in Uganda,113,3,Other,,0
Category:Kidepo Valley National Park,4,Category:National parks of Uganda,113,1,Environment,,1
Category:Cooking in Uganda,3,Category:Food of Uganda,112,2,Other,,0
Category:Tilapia of Uganda,4,Category:Fish of Uganda,111,0,Other,,1
Category:William Frederick Blick,4,Category:Men of Uganda by name,111,0,Other,,1
Category:Lydia Wanyoto Mutende,4,Category:Women of Uganda by name,110,1,Other,,1
Category:Unidentified Lepidoptera of Uganda,4,Category:Unidentified insects of Uganda,110,0,Other,,1
Category:Unidentified subjects in Uganda,1,Category:Uganda,109,5,Other,,0
Category:Wiki for Refugees 2024 in Uganda,3,Category:2024 Wikimedia movement in Uganda,109,1,Wikimedia community,,0
Category:Fort Portal,4,"Category:Western Region, Uganda",108,9,Other,,1
Category:Flacourtia indica,4,Category:Flora of Uganda,103,7,Other,,1
Category:Schools in Uganda,2,Category:Education in Uganda,103,24,Buildings,,0
Category:Education in Uganda,1,Category:Uganda,102,13,Education,,0
Category:Mountains of Uganda,3,Category:Landforms of Uganda,102,9,Geography,,0
Category:Signs in Uganda,3,Category:Communication in Uganda,102,12,Other,,0
Category:Wiki Loves Ramadan 2025 in Uganda,4,Category:Images from Wiki Loves Folklore 2025 in Uganda,100,0,History,,1
Category:Wiki Loves Sport 2026 in Uganda,3,Category:Wikimedia Community User Group Uganda,100,2,Sports,,0
Category:Yoweri Museveni,4,Category:Presidents of Uganda,100,2,Other,,1
Category:Libraries in Uganda,3,Category:Cultural buildings in Uganda,99,9,Education,,0
Category:GLAM on Tour Uganda,3,Category:Wikimedia Community User Group Uganda,98,0,Other,,0
Category:Coffee plantations in Uganda,4,Category:Coffee in Uganda,97,0,Other,,1
Category:Flora of Uganda,3,Category:Biology in Uganda,97,36,Environment,,0
Category:Images from Wiki for Minorities 2026 in Uganda,4,Category:Wiki for Minorities 2026 in Uganda,96,0,Wikimedia community,,1
Category:Basketball in Uganda,4,Category:Sports in Uganda by sport,95,5,Other,,1
Category:Katumba Wamala,4,Category:Men of Uganda by name,95,0,Other,,1
Category:ArtAndFeminism 2025 in Uganda,4,Category:Art & Feminism in Uganda,93,1,History,,1
Category:Ekitaguriro dance,3,Category:Dance of Uganda,92,0,Culture,,0
Category:Sipi falls,4,Category:Waterfalls in Uganda,92,0,Other,,1
Category:Banana plantations in Uganda,4,Category:Plantations in Uganda,91,0,Environment,,1
Category:Semliki Wildlife Reserve,4,Category:Protected areas of Uganda,90,0,Environment,,1
Category:Sempaya hot springs,3,"Category:National Cultural Sites in Western Region, Uganda",90,0,Other,,0
Category:Street vendors in Uganda,3,Category:Commerce in Uganda,90,1,Other,,0
Category:Type 56 assault rifle in Ugandan service,3,Category:Military equipment of Uganda,90,0,Other,,0
Category:Cattle in Uganda,4,Category:Animal husbandry in Uganda,89,2,Other,,1
Category:Images from Wiki Loves Folklore 2023 in Uganda,4,Category:Images from Wiki Loves Folklore in Uganda,89,0,Culture,Wiki Loves Folklore,1
Category:Entebbe European Cemetery,3,Category:History of Entebbe,88,0,Other,,0
Category:Wikipedia 25th Anniversary Event in Uganda,3,Category:Wikimedia Community User Group Uganda,88,0,Other,,0
Category:2022 in Uganda,3,Category:Uganda by year,86,8,History,,0
Category:Mandela National Stadium,4,Category:Sports in Kampala,85,1,Sports,,1
Category:Queen Elizabeth National Park,4,Category:National parks of Uganda,85,8,Environment,,1
Category:Uganda Protectorate,2,Category:History of Uganda,83,6,Other,,0
Category:Bodies of water in Uganda,2,Category:Geography of Uganda,82,12,Other,,0
Category:Construction in Uganda,2,Category:Uganda by topic,82,2,Other,,0
Category:Logos of Uganda,3,Category:Symbols of Uganda,82,7,Other,,0
Category:Jinja Road Cemetery,3,Category:History of Kampala,81,0,Buildings,,0
Category:Ndere Centre,3,Category:Culture of Kampala,81,0,Other,,0
Category:2007 in Uganda,3,Category:Uganda by year,80,6,History,,0
Category:Rafting in Uganda,4,Category:Sports in Uganda by sport,80,1,Other,,1
"Category:2025 Annual General Meeting, WCUGU",4,Category:WCUGU Annual general meetings,79,0,Other,,1
Category:Sanitation in Uganda,4,Category:Water supply and sanitation in Uganda,79,5,Other,,1
Category:Nicholas Opiyo,4,Category:Men of Uganda by name,78,0,Other,,1
Category:Christian Weddings in Uganda,4,Category:Weddings in Uganda,77,0,Other,,1
Category:Rwizi River,4,Category:Rivers of Uganda,77,0,Geography,,1
Category:Wikipedia Pages Wanting Photos 2024 in Uganda,4,Category:2024 in Uganda,77,0,History,,1
Category:Sustainable Sanitation Alliance in Kampala,3,Category:Sustainable Sanitation Alliance in Uganda,76,1,Other,,0
Category:Bicycles in Uganda,4,Category:Cycling in Uganda,73,3,Other,,1
Category:Ewaffe Cultural Village,2,Category:Culture of Uganda,73,0,Culture,,0
Category:Gaddafi National Mosque,3,"Category:National Cultural Sites in Central Region, Uganda",73,3,Other,,0
Category:Nkokonjeru Tombs,3,"Category:National Cultural Sites in Western Region, Uganda",73,0,Other,,0
Category:Road transport in Uganda,4,Category:Land transport in Uganda,73,9,Buildings,,1
Category:Waterfalls in Uganda,3,Category:Bodies of water in Uganda,73,11,Other,,0
Category:Lake Mutanda,4,Category:Lakes of Uganda,72,0,Geography,,1
Category:Tarehe Sita,2,Category:History of Uganda,72,0,Other,,0
Category:Fishing in Uganda,2,Category:Economy of Uganda,71,4,Other,,0
Category:Maps of Uganda,2,Category:Geography of Uganda,71,33,Geography,,0
Category:Uganda Wildlife Conservation Education Center,4,Category:Nature of Entebbe,70,1,Environment,,1
Category:Amabere ga Nyina mwiru,3,"Category:National Cultural Sites in Western Region, Uganda",69,0,Other,,0
Category:Male musicians from Uganda,4,Category:Men of Uganda by occupation,69,17,People,,1
Category:Monuments and memorials in Uganda,2,Category:Culture of Uganda,69,31,Buildings,,0
Category:Rhino camp refugee settlement,3,Category:Refugee camps in Uganda,68,0,Geography,,0
Category:ECHO Daily Maps of Uganda,3,Category:Maps of Uganda,67,0,Geography,,0
Category:Wikimedia movement in Uganda,1,Category:Uganda,67,19,Wikimedia community,,0
Category:Books about Uganda,2,Category:History of Uganda,66,11,Other,,0
Category:Gomesi,2,Category:Culture of Uganda,66,0,Other,,0
Category:Boys of Uganda,2,Category:Uganda by topic,65,0,Other,,0
Category:Pearl of Africa tourism expo 2024,4,Category:Pearl of Africa Tourism Expo,65,0,Economy,,1
Category:Society of Uganda,1,Category:Uganda,65,16,Other,,0
Category:Uganda ADAPT 2010,3,Category:Military of Uganda,65,0,Other,,0
Category:Uganda Martyrs Museum Namugongo,3,"Category:National Cultural Sites in Central Region, Uganda",65,0,Buildings,,0
Category:Acholi people,3,Category:Ethnic groups in Uganda,64,4,People,,0
Category:Forests in Uganda,3,Category:Nature of Uganda,64,12,Environment,,0
Category:Nature of Uganda,2,Category:Uganda by topic,64,24,Environment,,0
Category:Toilets in Uganda,3,Category:Architectural elements in Uganda,64,4,Other,,0
Category:Wikimedians of Uganda,3,Category:Wikimedia Community User Group Uganda,64,0,Other,,0
Category:Aerial photographs of Uganda,4,Category:Photographs of Uganda,63,4,Other,,1
Category:Mbale,3,Category:Mbale District,63,4,Other,,0
Category:Idi Amin,4,Category:Presidents of Uganda,62,0,Other,,1
"Category:National Cultural Sites in Central Region, Uganda",2,Category:Cultural heritage of Uganda,62,90,Culture,,0
Category:Goats in Uganda,4,Category:Animal husbandry in Uganda,61,0,Other,,1
Category:Wiki For Refugees 2024 Editathon in Bidibidi Refugee Settlement,4,Category:Wiki for Refugees 2024 in Uganda,61,0,Wikimedia community,,1
"Category:Northern Region, Uganda",3,Category:Regions of Uganda,60,30,Geography,,0
Category:Videos from Wiki Loves Africa 2024 in Uganda,4,Category:Wiki Loves Africa 2024 in Uganda,60,0,History,Wiki Loves Africa,1
Category:Cassava in Uganda,4,Category:Vegetables of Uganda,59,2,Other,,1
Category:Ferries in Uganda,4,Category:Water transport in Uganda,59,0,Other,,1
Category:Kazinga Channel,4,Category:Rivers of Uganda,59,2,Other,,1
Category:Kabale District,4,"Category:Western Region, Uganda",58,8,Geography,,1
Category:Lira University,4,Category:Universities in Uganda,58,1,Other,,1
Category:Pineapples in Uganda,4,Category:Fruit of Uganda,58,0,Other,,1
Category:Unidentified locations in Uganda,2,Category:Unidentified subjects in Uganda,58,2,Other,,0
Category:Zika Forest,3,Category:Uganda Virus Research Institute,58,0,Environment,,0
Category:Casspir in Ugandan service,4,Category:Armored fighting vehicles of Uganda,57,0,Other,,1
Category:Kasese District,4,"Category:Western Region, Uganda",57,18,Geography,,1
Category:People of Buganda,3,Category:Buganda,57,1,People,,0
Category:Photos of Uganda by ISS Expedition 30 Crew Earth Observations,4,Category:Photos of Uganda from ISS,57,0,Other,,1
Category:Camp Singo,3,Category:Military of Uganda,56,1,Other,,0
Category:Construction workers in Uganda,3,Category:Construction in Uganda,56,0,Other,,0
Category:Fish of Uganda,3,Category:Food of Uganda,56,7,Other,,0
Category:Ganda people,3,Category:Ethnic groups in Uganda,56,6,People,,0
Category:Rail transport in Kampala,3,Category:Rail transport in Uganda,56,1,Buildings,,0
Category:Videos from Wiki Loves Folklore 2025 in Uganda,4,Category:Wiki Loves Folklore 2025 in Uganda,56,0,Culture,Wiki Loves Folklore,1
Category:American football in Uganda,4,Category:Sports in Uganda by sport,55,0,Sports,,1
Category:Bushenyi District,4,"Category:Western Region, Uganda",55,5,Geography,,1
Category:Relations of Uganda and the United Kingdom,4,Category:Bilateral relations of Uganda,55,6,Other,,1
Category:Saint Mary's Cathedral Rubaga,3,"Category:National Cultural Sites in Central Region, Uganda",55,1,Other,,0
Category:Searching for mountain gorillas in Bwindi Impenetrable National Park,4,Category:Bwindi Impenetrable National Park,55,0,Geography,,1
Category:Sports competitions in Uganda,4,Category:Sports events in Uganda,55,1,Sports,,1
Category:Unidentified Angiosperms in Uganda,3,Category:Unidentified plants in Uganda,55,1,Other,,0
Category:Impatiens niamniamensis,4,Category:Flora of Uganda,54,0,Other,,1
Category:Hospitals in Uganda,4,Category:Medical buildings in Uganda,53,6,Buildings,,1
Category:Katwe Salt lake,4,Category:Salt mining in Uganda,53,0,Geography,,1
Category:Kiganda dance,3,Category:Dance of Uganda,53,0,Culture,,0
Category:Papaya in Uganda,4,Category:Fruit of Uganda,53,1,Other,,1
Category:Rugby union in Uganda,4,Category:Sports in Uganda by sport,53,0,Sports,,1
Category:2026 in Uganda,3,Category:Uganda by year,52,8,History,,0
Category:Bilateral maps of Uganda,4,Category:Bilateral relations of Uganda,52,0,Geography,,1
Category:Campus of African College of Commerce and Technology,4,Category:African College of Commerce and Technology,52,0,Education,,1
Category:Kuhingira Ceremony,4,Category:Introduction ceremonies in Uganda,52,0,Other,,1
Category:Nakivubo Stadium,4,Category:Cultural buildings in Kampala,52,0,Sports,,1
Category:Rubirizi District,4,"Category:Western Region, Uganda",52,3,Geography,,1
Category:Wikidata @13 Birthday Celebrations (2025),4,Category:Wikidata Birthdays in Uganda,52,0,Culture,,1
Category:Bird nests in Uganda,4,Category:Animal-built objects in Uganda,51,0,Other,,1
Category:Blue sky in Uganda,4,Category:Sky over Uganda by colour,51,0,Other,,1
Category:Elizabeth II of the United Kingdom,4,Category:Monarchs of Uganda,51,30,Other,,1
Category:Kibale National Park,4,Category:Forests in Uganda,51,3,Environment,,1
Category:Mount Elgon National Park,4,Category:National parks of Uganda,51,3,Environment,,1
Category:People at work in Uganda,3,Category:Labour in Uganda,51,1,People,,0
Category:Uganda Railway,3,Category:Rail transport in Uganda,51,6,Buildings,,0
Category:Animals of Entebbe,4,Category:Animals of Uganda,50,1,Environment,,1
Category:Bridges in Uganda,4,Category:Transport infrastructure in Uganda,50,3,Buildings,,1
Category:Cooking fires in Uganda,4,Category:Firewood in Uganda,50,0,Other,,1
Category:Cycling in Uganda,3,Category:Transport in Uganda,50,1,Other,,0
Category:Entongooli,3,Category:Musical instruments of Uganda,50,0,Other,,0
Category:Luo people,3,Category:Ethnic groups in Uganda,50,8,People,,0
Category:Matoke Cooking Plantains,4,Category:Cuisine of Uganda,50,1,Other,,1
Category:Muwenda Mutebi II of Buganda,4,Category:Men of Uganda by name,50,0,Other,,1
Category:Old maps of Uganda,2,Category:History of Uganda,50,4,Geography,,0
Category:Swahili Wikipedia,4,Category:Swahili language,50,1,Other,,1
Category:Wedding ceremonies in Uganda,3,Category:Traditions of Uganda,50,0,Other,,0
Category:Bwindi Impenetrable National Park in the 2000s,4,Category:Uganda in the 2000s,49,0,Environment,,1
Category:Entebbe Raid,4,Category:Aviation accidents and incidents in Uganda,49,3,Other,,1
Category:Luwombo,4,Category:Cuisine of Uganda,49,0,Other,,1
Category:Motorcycles in Uganda,4,Category:Vehicles in Uganda by type,49,3,Other,,1
Category:Uganda Police FC,3,Category:Police of Uganda,49,0,Government,,0
Category:WikiForHumanRights 2020 in Uganda,3,Category:2020 Wikimedia movement in Uganda,49,0,History,,0
Category:Owen Falls Dam,3,Category:Dams in Uganda,48,0,Other,,0
Category:Pit latrines in Uganda,4,Category:Toilets in Uganda,48,1,Other,,1
Category:Uganda national rugby sevens team,4,Category:National sports teams of Uganda,48,1,Sports,,1
Category:Entebbe Botanical Gardens,3,"Category:National Cultural Sites in Central Region, Uganda",47,0,Other,,0
Category:Fishing boats of Uganda,3,Category:Commercial fishing in Uganda,47,0,Other,,0
Category:Kabaka Coronation rugby competitions,4,Category:Sports in Buganda,47,0,Sports,,1
Category:Kisoro District,4,"Category:Western Region, Uganda",47,8,Geography,,1
Category:Makerere University,4,Category:Universities in Uganda,47,11,Other,,1
Category:Mbarara District,4,"Category:Western Region, Uganda",47,3,Geography,,1
Category:Musicians from Uganda,3,Category:Music of Uganda,47,10,People,,0
Category:Old maps of Lake Victoria,3,Category:Old maps of Uganda,47,1,Geography,,0
Category:Wetlands of Uganda,3,Category:Bodies of water in Uganda,47,9,Other,,0
Category:Army of Uganda,3,Category:Military of Uganda,46,3,Other,,0
Category:Education in Kampala,3,Category:Education in Uganda by city,46,4,Education,,0
Category:Handicrafts of Uganda,2,Category:Culture of Uganda,46,1,Other,,0
Category:Mabamba Bay Wetland System,4,Category:Wetlands of Uganda,46,0,Other,,1
Category:Mangoes of Uganda,4,Category:Fruit of Uganda,46,1,Other,,1
Category:Royal Palace of Nkore,2,Category:History of Uganda,46,0,Other,,0
"Category:Wiki University Club, Kabale University",4,Category:Wiki University Clubs,46,0,Other,,1
Category:Events for WikiForHumanRights 2024 in Uganda,4,Category:WikiForHumanRights 2024 in Uganda,45,0,History,,1
Category:Headcarrying in Uganda,4,Category:Human-powered transport in Uganda,45,0,Other,,1
Category:Lake Victoria,4,Category:Lakes of Uganda,45,22,Geography,,1
Category:Military people of Uganda,3,Category:Military of Uganda,45,5,People,,0
Category:Photographs of flags of Uganda,3,Category:Flags of Uganda by type of image,45,4,Other,,0
Category:2014 in Uganda,3,Category:Uganda by year,44,6,History,,0
Category:Lakes of Uganda,3,Category:Bodies of water in Uganda,44,35,Geography,,0
Category:Nature of Kampala,3,Category:Nature of Uganda,44,3,Environment,,0
Category:Nile perch of Uganda,4,Category:Fish of Uganda,44,0,Other,,1
Category:PK machine gun in Ugandan service,3,Category:Military equipment of Uganda,44,0,Other,,0
Category:Photographs of flags of Uganda in Kampala,3,Category:Culture of Kampala,44,0,Other,,0
Category:Unidentified fungi in Uganda,2,Category:Unidentified subjects in Uganda,44,0,Other,,0
"Category:Wikisource @22 birthday,2025 in Uganda",4,Category:GLAM in Uganda,44,0,History,,1
Category:Karamoja,4,"Category:Northern Region, Uganda",43,2,Other,,1
Category:Natural Fire 10,4,Category:Military exercises of Uganda,43,0,Other,,1
Category:Chapati making in Uganda,4,Category:Food preparation in Uganda,42,0,Other,,1
Category:Folklore culture of Uganda,3,Category:Folklore of Uganda,42,0,Culture,,0
