feature_class,class_label,name,osm_type,osm_id,segments,wikidata_qid,wikipedia_tag,link_state,osm_url
clinic,Clinics and health centres,Aga Khan School Clinic,way,389189603,1,,,untagged,https://www.openstreetmap.org/way/389189603
clinic,Clinics and health centres,Agape Doctors Medical Center,node,9147833041,1,,,untagged,https://www.openstreetmap.org/node/9147833041
clinic,Clinics and health centres,Agape Medical Centre,node,8591761718,1,,,untagged,https://www.openstreetmap.org/node/8591761718
clinic,Clinics and health centres,Agha Khan University Hospital,node,4114252266,1,,,untagged,https://www.openstreetmap.org/node/4114252266
clinic,Clinics and health centres,Agiermach,node,8632128772,1,,,untagged,https://www.openstreetmap.org/node/8632128772
clinic,Clinics and health centres,Agojo Health Center II,node,5789318229,1,,,untagged,https://www.openstreetmap.org/node/5789318229
clinic,Clinics and health centres,Agule Health Centre III,node,3968727711,1,,,untagged,https://www.openstreetmap.org/node/3968727711
clinic,Clinics and health centres,Aiia,node,5332973061,1,,,untagged,https://www.openstreetmap.org/node/5332973061
clinic,Clinics and health centres,Ainamani vet clinic,node,5261975721,1,,,untagged,https://www.openstreetmap.org/node/5261975721
clinic,Clinics and health centres,Akisyon A Yesu Presbyterian Clinic,way,1171545245,1,,,untagged,https://www.openstreetmap.org/way/1171545245
clinic,Clinics and health centres,Akugoba medical clinic,node,8512569520,1,,,untagged,https://www.openstreetmap.org/node/8512569520
clinic,Clinics and health centres,Al-noor Health Centre II,node,5594324677,1,,,untagged,https://www.openstreetmap.org/node/5594324677
clinic,Clinics and health centres,Alangi Health Centre,node,8632128787,1,,,untagged,https://www.openstreetmap.org/node/8632128787
clinic,Clinics and health centres,Alere Health Center II,node,5789318226,1,,,untagged,https://www.openstreetmap.org/node/5789318226
clinic,Clinics and health centres,Aliapi Health Centre II,node,5573437706,1,,,untagged,https://www.openstreetmap.org/node/5573437706
clinic,Clinics and health centres,Alinda Family Clinic,node,4105119512,1,,,untagged,https://www.openstreetmap.org/node/4105119512
clinic,Clinics and health centres,All Saint's Medical Centre,node,4102724054,1,,,untagged,https://www.openstreetmap.org/node/4102724054
clinic,Clinics and health centres,All Saints Clinic,node,4102724055,1,,,untagged,https://www.openstreetmap.org/node/4102724055
clinic,Clinics and health centres,Alliance Medical Centre,node,8591781819,1,,,untagged,https://www.openstreetmap.org/node/8591781819
clinic,Clinics and health centres,Alliance Medical Clinic,node,3946157694,1,,,untagged,https://www.openstreetmap.org/node/3946157694
clinic,Clinics and health centres,Allied Clinic,node,4102724056,1,,,untagged,https://www.openstreetmap.org/node/4102724056
clinic,Clinics and health centres,Allied Consultancy,node,8963738639,1,,,untagged,https://www.openstreetmap.org/node/8963738639
clinic,Clinics and health centres,Alpha & Omega Medical Center Clinic,node,4102724057,1,,,untagged,https://www.openstreetmap.org/node/4102724057
clinic,Clinics and health centres,Alpha Medical Clinic,node,10583475436,1,,,untagged,https://www.openstreetmap.org/node/10583475436
clinic,Clinics and health centres,Alpha Treatment Center,node,7060880748,1,,,untagged,https://www.openstreetmap.org/node/7060880748
clinic,Clinics and health centres,Alpha and Omega Maternity Clinic,node,8963716786,1,,,untagged,https://www.openstreetmap.org/node/8963716786
clinic,Clinics and health centres,Alpha clinic,node,8513158619,1,,,untagged,https://www.openstreetmap.org/node/8513158619
