qitem,label,sitelink_count,occupation_qid,en_title,views,occupation,in_lgwiki
Q111530895,Kanushu Laura,5,Q82955,Laura Kanushu,288,politician,True
Q105944681,Mary Begumisa,8,Q82955,Mary Begumisa,287,politician,True
Q102073069,Rosebell Kagumire,10,Q36180,Rosebell Kagumire,286,writer,True
Q116923278,Husina Kobugabe,5,Q13141064,Husina Kobugabe,281,badminton player,True
Q42899070,Jolly Kaguhangire,5,Q484876,Jolly Kaguhangire,281,chief executive officer,True
Q106312357,Monicah Amoding,6,Q82955,Monicah Amoding,280,politician,True
Q105966758,Zawedde Victorious,5,Q82955,Victorious Zawedde,280,politician,True
Q32538609,Rwakimari Beatrice,6,Q82955,Beatrice Rwakimari,279,politician,True
Q106401908,Apolot Christine,7,Q82955,Christine Apolot,278,politician,True
Q21130799,Yasmin Shariff,7,Q42973,Yasmin Shariff,278,architect,True
Q4877205,Beatrice Wabudeya,7,Q82955,Beatrice Wabudeya,276,politician,True
Q24572652,Kwiyucwiny Grace Freedom,6,Q82955,Grace Kwiyucwiny,273,politician,True
Q19665925,Leila Kayondo,6,Q177220,Leila Kayondo,270,singer,True
Q58003275,Evarlyne Buregyeya Asiimwe,6,Q47064,Asiimwe Evarlyne Buregyeya,269,military personnel,True
Q105944500,Florence Nambozo Wamala,6,Q82955,Florence Nambozo Wamala,268,politician,True
Q111551708,Tezira Jamwa,8,Q37226,Tezira Jamwa,267,teacher,True
Q61052063,Nisha Kalema,11,Q28389,Nisha Kalema,266,screenwriter,True
Q21606718,Pumla Kisosonkole,10,Q82955,Pumla Kisosonkole,266,politician,True
Q16727413,Jackee Budesta Batanda,7,Q36180,Jackee Budesta Batanda,264,writer,True
Q105666074,Rosemary Nyakikongoro,8,Q82955,Rosemary Nyakikongoro,263,politician,True
Q44231567,Lillian Nakate,7,Q81096,Lillian Nakate,262,engineer,True
Q50346875,Sarah Waiswa,11,Q33231,Sarah Waiswa,259,photographer,True
Q83611984,Margaret Sekaggya,9,Q185351,Margaret Sekaggya,258,jurist,True
Q1681432,Jamila Lunkuse,8,Q10843402,Jamila Lunkuse,256,swimmer,True
Q105906038,Avako Melsa Naima Gule,7,Q82955,Naima Melsa Gule Avako,256,politician,True
Q42866156,Etheldreda Nakimuli-Mpungu,14,Q317309,Etheldreda Nakimuli-Mpungu,254,mental health,True
Q455113,Ruth Kasirye,9,Q11974939,Ruth Kasirye,253,health professional,False
Q5110904,Christine Amongin Aporu,7,Q82955,Christine Amongin Aporu,253,politician,True
Q116547881,Beatrice Kiraso,5,Q36180,Beatrice Kiraso,253,writer,True
Q16745180,Beatrice Lamwaka,9,Q36180,Beatrice Lamwaka,252,writer,True
Q7368409,Rosemary Najjemba,6,Q82955,Mariam Najjemba,252,politician,True
Q105631664,Florence Kabugho,5,Q1930187,Florence Kabugho,249,journalist,True
Q6187188,Jessica Eriyo,7,Q37226,Jessica Eriyo,248,teacher,True
Q4693003,Agnes Akiror,7,Q82955,Agnes Akiror,247,politician,True
Q17003268,Barbara Birungi,9,Q81096,Barbara Birungi,246,engineer,True
Q43235048,Florence Nsubuga,7,Q2961975,Florence Nsubuga,246,business executive,True
Q7933219,Violet Barungi,6,Q36180,Violet Barungi,244,writer,True
Q111436289,Ruth Molly Lematia,5,Q82955,Ruth Molly Lematia,243,politician,True
Q111384398,Sugra Visram,6,Q974144,Sugra Visram,241,educator,True
Q111536223,Aisa Black Agaba,6,Q82955,Aisa Black Agaba,241,politician,True
Q37923032,Oyenbot,11,Q33999,Oyenbot,239,actor,True
Q111418134,Jane Frances Kuka,9,Q212238,Jane Frances Kuka,239,civil servant,True
Q16233036,Monica Jacobs Birwinyo,12,Q33999,Monica Birwinyo,238,actor,True
Q18683810,Judith Adong,5,Q36180,Judith Adong,237,writer,True
Q18045197,Barbara Ntambirweki,7,Q40348,Barbara Ntambirweki,236,lawyer,True
Q33103054,Nimisha Jayant Madhvani,5,Q82955,Nimisha Jayant Madhvani,235,politician,True
Q27063997,Assumpta Nnaggenda-Musana,10,Q42973,Assumpta Nnaggenda-Musana,234,architect,True
Q107711228,Prisca Chesang,7,Q11513337,Prisca Chesang,233,athletics competitor,True
Q49846890,Jane Kiggundu,5,Q16533,Jane Kiggundu,233,judge,True
Q99681749,Aisha Kyomuhangi,8,Q33999,Aisha Kyomuhangi,232,actor,True
Q118398884,Godiva Akullo,8,Q36180,Godiva Akullo,230,writer,True
Q57825456,Nakayenze Connie Galiwango,6,Q82955,Connie Galiwango Nakayenze,230,politician,True
Q111353679,Victoria Kakoko Sebagereka,5,Q80687,Victoria Kakoko Sebagereka,230,secretary,True
Q16146167,Janet Achola,8,Q11513337,Janet Achola,229,athletics competitor,True
Q43267627,Joy Atim,8,Q43845,Joy Atim,229,businessperson,True
Q30458487,Proscovia Margaret Njuki,6,Q901,Proscovia Margaret Njuki,229,scientist,True
Q51337190,Varsha Nair,10,Q483501,Varsha Nair,228,artist,True
Q19508645,Caroline Kamya,8,Q2526255,Caroline Kamya,228,film director,True
Q84595639,Irene Sewankambo,6,Q81096,Irene Sewankambo,227,engineer,True
Q24572755,Benna Namugwanya,6,Q82955,Benna Namugwanya,226,politician,True
Q137988692,Arinaitwe Jeniva,5,Q82955,Jeniva Arinaitwe,224,politician,True
Q42888151,Akaliza Keza Gara,10,Q131524,Akaliza Keza Gara,223,entrepreneur,False
Q113626201,Val Kalende,6,Q1476215,Val Kalende,223,human rights defender,True
Q20677143,Jemimah Sanyu,5,Q177220,Jemimah Sanyu,223,singer,True
Q7088025,Olivia Aya Nakitanda,6,Q10843402,Olivia Aya Nakitanda,222,swimmer,True
Q106835848,Oliva Amani,7,Q628099,Oliver Mbekeka,220,association football coach,True
Q105962720,JulietBashiishaAgasha,6,Q82955,Juliet Bashiisha Agasha,219,politician,True
Q47006461,Anita Asiimwe,10,Q82955,Anita Asiimwe,216,politician,False
Q36174745,Dorcus Ajok,8,Q11513337,Dorcus Ajok,215,athletics competitor,True
Q9256514,Evelyn Adiru,9,Q11513337,Evelyn Adiru,214,athletics competitor,True
Q111661101,Evelyn Acham,18,Q1291678,Evelyn Acham,213,climate justice,True
Q5338069,Edigold Monday,8,Q188094,Edigold Monday,213,economist,True
Q24851770,Sarah Kanyike,7,Q82955,Sarah Kanyike,211,politician,True
Q2224462,Sarah Nambawa,8,Q11513337,Sarah Nambawa,210,athletics competitor,True
Q105627879,Nandagire Christine Ndiwalana,5,Q82955,Nandagire Christine Ndiwalana,209,politician,True
Q20962343,Juliet Chekwel,11,Q11513337,Juliet Chekwel,208,athletics competitor,True
Q58042010,Margaret Baba Diri,9,Q37226,Margaret Baba Diri,207,teacher,True
Q127688024,Belinda Chemutai,7,Q11513337,Belinda Chemutai,206,athletics competitor,True
Q24852450,Sarah Kiguli,5,Q39631,Sarah Kiguli,206,physician,True
Q62481961,Jane Nabulindo Kwoba,7,Q37226,Jane Nabulindo Kwoba,202,teacher,True
Q111333689,Diana Angwech,6,Q40348,Diana Angwech,201,lawyer,True
Q61820210,Jacqueline Musiitwa,6,Q40348,Jacqueline Musiitwa,199,lawyer,True
Q111649859,Kayaga Baroda Watongola,7,Q82955,Kayanga Baroda Watongola,198,politician,True
Q24251159,Judy Obitre–Gama,5,Q901,Judy Obitre–Gama,198,scientist,True
Q42759362,Angelline Osegge,5,Q82955,Angelline Osegge,198,politician,True
Q105966150,Judith Peace Achan,8,Q82955,Judith Peace Achan,197,politician,True
Q83613987,Rita Aciro,9,Q1476215,Rita Aciro,196,human rights defender,True
Q57829968,Faith Alupo,9,Q82955,Faith Alupo,194,politician,True
Q16727764,Loyce Biira Bwambale,7,Q82955,Loyce Biira Bwambale,194,politician,True
Q46999139,Rose Kirumira,5,Q1281618,Rose Kirumira,193,sculptor,True
Q105964879,Annet Nyakecho,6,Q82955,Annet Nyakecho,189,politician,True
Q115633121,Loice Chekwemoi,6,Q11513337,Loice Chekwemoi,189,athletics competitor,True
Q110977893,Sumaya Komuntale,5,Q937857,Sumaya Komuntale,189,association football player,True
Q55433698,Janet Mbabazi,7,Q12299841,Janet Mbabazi,188,cricketer,True
Q105759689,Dorcus Acen,8,Q82955,Dorcus Acen,187,politician,True
Q105962523,Rita Atukwasa,6,Q82955,Rita Atukwasa,186,politician,True
Q56875897,Ruth Doreen Mutebe,6,Q326653,Ruth Doreen Mutebe,184,accountant,True
Q37122067,Emma Boona,8,Q82955,Emma Boona,183,politician,True
Q19667760,Evangeline Barongo,7,Q36180,Evangeline Barongo,183,writer,True
Q5221774,Daphrose Gahakwa,7,Q82955,Daphrose Gahakwa,183,politician,False
Q105955382,Rose Emma Cherukut,6,Q82955,Rose Emma Cherukut,183,politician,True
Q111081529,Christine Abia Bako,5,Q82955,Bako Christine Abia,183,politician,True
Q4831217,Ayeta Anne Wangusa,8,Q36180,Ayeta Anne Wangusa,182,writer,True
Q42868219,Grace Tubwita,6,Q82955,Grace Tubwita,182,politician,True
Q28478781,Goretti Angolikin,6,Q10873124,Goretti Angolikin,181,chess player,True
Q7459446,Sezi Mbaguta,7,Q82955,Sezi Mbaguta,180,politician,True
Q105966519,Agnes Acibu,7,Q82955,Agnes Acibu,179,politician,True
Q19666505,Mariam Nalubega,6,Q82955,Mariam Nalubega,179,politician,True
Q111317423,Rose Mwebaza,6,Q40348,Rose Mwebaza,176,lawyer,True
Q108117638,Goretti Masadde,5,Q2961975,Goretti Masadde,176,business executive,True
Q108703410,Neema Iyer,5,Q43845,Neema Iyer,176,businessperson,False
Q100449863,Grace Ndeezi,5,Q121594,Grace Ndeezi,175,professor,True
Q17308883,Tete Chelangat,7,Q82955,Tete Chelangat,174,politician,True
Q29019684,Philippa Namutebi Kabali-Kagwa,6,Q49757,Philippa Namutebi Kabali-Kagwa,173,poet,True
Q106263496,Christine Ayo Achen,5,Q82955,Christine Ayo Achen,173,politician,True
Q111179575,Eudia Kwizera,5,Q82955,Kwizera Eudia,171,politician,True
Q111162702,Victoria Namusisi,7,Q82955,Victoria Nalongo Namusisi,168,politician,True
Q124670638,Priscilla Abey,5,Q3665646,Priscilla Abey,168,basketball player,True
Q111014610,Barbara Kasekende,6,Q2961975,Barbara Kasekende,167,business executive,True
Q19609645,Lillian Aujo,7,Q36180,Lillian Aujo,166,writer,True
Q18205099,Angella Emurwon,7,Q36180,Angella Emurwon,165,writer,True
Q35999816,Stella Ford Mugabo,7,Q82955,Stella Ford Mugabo,165,politician,False
Q111512355,Prudence Ukkonika,6,Q131524,Prudence Ukkonika,164,entrepreneur,True
Q24851772,Judith Tukahirwa,5,Q864503,Judith Tukahirwa,164,biologist,True
Q5045178,Caroline Okao Amali,7,Q82955,Caroline Amali Okao,163,politician,True
Q57828013,Lilly Adong,8,Q82955,Lilly Adong,162,politician,True
Q106095223,Agnes Namyalo,5,Q2961975,Agnes Namyalo,161,business executive,True
Q55433704,Rita Musamali,6,Q12299841,Rita Musamali,160,cricketer,True
Q97155765,Catherine Apalat,9,Q33231,Catherine Apalat,159,photographer,True
Q5591011,Grace Birungi,8,Q11513337,Grace Birungi,159,athletics competitor,True
Q111017137,Julia Clare Oyet,5,Q2961975,Julia Clare Oyet,159,business executive,True
Q17580312,Maud Kamatenesi Mugisha,8,Q18805,Maud Kamatenesi Mugisha,156,naturalist,True
Q105904450,Atuto Jacinta,6,Q82955,Jacinta Atuto,156,politician,True
Q61996991,Josephine Lalam,7,Q11513337,Josephine Joyce Lalam,155,athletics competitor,True
Q105956578,Driwaru Jennifer,5,Q82955,Jennifer Driwaru,153,politician,True
Q105903344,Jennifer Ayoo,6,Q82955,Jennifer Ayoo,150,politician,True
Q113960932,Caroline Adoch,8,Q40348,Caroline Adoch,149,lawyer,True
Q42701026,Josephine Okot,7,Q2961975,Josephine Okot,149,business executive,True
Q26268006,Nyakisi Adero,11,Q11513337,Nyakisi Adero,147,athletics competitor,True
Q57825270,Molly Lanyero,7,Q82955,Molly Lanyero,147,politician,True
Q7378868,Rukiya Chekamondo,7,Q82955,Rukiya Chekamondo,146,politician,True
Q7279324,Rachel Mayanja,6,Q40348,Rachel Mayanja,146,lawyer,True
Q9324189,Ruth Kyalisima,10,Q11513337,Ruth Kyalisima,145,athletics competitor,True
Q22277677,Daisy Ejang,5,Q177220,Daisy Ejang,144,singer,True
Q101115022,Leila Nakabira,7,Q28389,Leila Nakabira,143,screenwriter,True
Q22083689,Edith Nakiyingi,7,Q13381753,Edith Nakiyingi,143,middle-distance runner,True
Q124736459,Milly Nassolo,6,Q40348,Milly Nassolo,143,lawyer,True
Q63228590,Beatrice Byenkya,6,Q82955,Beatrice Byenkya,143,politician,True
Q47816057,Maureen Nankya,6,Q10800557,Maureen Nankya,142,film actor,True
Q105760812,Resty Nanteza,5,Q82955,Resty Nanteza,142,politician,True
Q47014860,Betty Manyolo,8,Q1028181,Betty Manyolo,141,painter,True
Q15630989,Shamim Bangi,7,Q13141064,Bridget Shamim Bangi,141,badminton player,True
Q17305642,Deborah Asiimwe GKashugi,5,Q33999,Asiimwe Deborah GKashugi,141,actor,True
Q71184204,Judith Bakirya,12,Q131512,Judith Bakirya,140,farmer,True
Q65984578,Catheline Ndamira Atwakiire,9,Q43845,Ndamira Catherine Atwikiire,138,businessperson,True
Q6318331,Justine Bayigga,8,Q11513337,Justine Bayigga,137,athletics competitor,True
Q111434407,Iriama Rose,5,Q82955,Iriama Rose,137,politician,True
Q111507048,Sarah Kiyingi Kyama,5,Q82955,Sarah Kiyingi Musoke,134,politician,True
Q16196528,Evelyn Kaabule,5,Q82955,Evelyn Kaabule,134,politician,True
Q43054185,Christine Nyangoma,5,Q47064,Christine Nyangoma,134,military personnel,True
Q19666776,Nakisanze Segawa,7,Q36180,Nakisanze Segawa,133,writer,True
Q55433689,Concy Aweko,6,Q12299841,Concy Aweko,133,cricketer,True
Q6395592,Keturah Kamugasa,6,Q36180,Keturah Kamugasa,133,writer,True
Q48264226,Sarah Walusimbi,5,Q40348,Sarah Walusimbi,130,lawyer,True
Q105962932,Atyang Stella,5,Q82955,Stella Atyang,128,politician,True
Q61440306,Frances Akello,6,Q82955,Frances Akello,126,politician,True
Q19667662,Nyana Kakoma,6,Q36180,Nyana Kakoma,125,writer,True
Q42857831,Catherine Amusugut,5,Q212238,Catherine Amusugut,125,civil servant,True
Q55433679,Kevin Awino,6,Q12299841,Kevin Awino,124,cricketer,True
Q105966644,Sarah Kayaki Netalisile,5,Q37226,Sarah Kayaki Netalisile,124,teacher,True
Q111307347,Barumba Beatrice Rusaniya,5,Q82955,Barumba Beatrice Rusaniya,122,politician,True
Q51939713,Marie Solome Nassiwa,7,Q2961975,Marie Solome Nassiwa,121,business executive,True
Q43264869,Florence Mawejje,6,Q2961975,Florence Mawejje,121,business executive,True
Q56948405,Agnes Nalwanga,6,Q2961975,Agnes Nalwanga,120,business executive,True
Q96802587,Alice Boase,6,Q82955,Alice Boase,119,politician,True
Q43356759,Specioza Kimera Ndagire,6,Q484876,Specioza Kimera Ndagire,117,chief executive officer,True
Q105760249,Suzan Achola Engola,5,Q82955,Susan Achola Engola,117,politician,True
Q55433711,Stephanie Nampiina,6,Q12299841,Stephani Nampiina,116,cricketer,True
Q62099975,Loy Katali,6,Q326653,Loy Katali,116,accountant,True
Q106312282,Lydia Chekwel,6,Q82955,Lydia Chekwel,115,politician,True
Q125965768,Jesca Ruth Ataa,6,Q1476215,Jesca Ruth Ataa,115,human rights defender,True
Q17306325,Damalie Nagitta-Musoke,8,Q40348,Damalie Nagitta-Musoke,113,lawyer,True
Q15631294,Margaret Nankabirwa,7,Q13141064,Margaret Nankabirwa,113,badminton player,True
Q124675453,Evelyne Nakiyingi,5,Q3665646,Evelyne Nakiyingi,113,basketball player,True
Q110982406,Lilian Mutuuzo,5,Q937857,Lillian Mutuuzo,111,association football player,True
Q111434932,Iriama Margaret,5,Q82955,Iriama Margaret,110,politician,True
Q111449795,Mpiima Dorothy Christine,6,Q37226,Mpiima Dorothy Christine,109,teacher,True
Q100869668,Miriam Muwanga,5,Q81096,Miriam Muwanga,106,engineer,True
Q37764671,Grace Buzu,7,Q4009406,Grace Buzu,105,sprinter,True
Q27978724,Aisha Nakiyemba,6,Q13141064,Aisha Nakiyemba,104,badminton player,True
Q6152819,Jane Suuto,9,Q11513337,Jane Suuto,102,athletics competitor,True
Q105759825,Betty Luoke Chelain,7,Q82955,Betty Louke Chelain,102,politician,True
Q105942517,Jacinta Athieno Ayo,5,Q82955,Jacinta Athieno Ayo,101,politician,True
Q55433713,Immaculate Nakisuuyi,6,Q12299841,Immaculate Nakisuuyi,100,cricketer,True
Q58041847,Dorothy Azairwe Nshaija Kabaraitsya,6,Q82955,Dorothy Azairwe Nshaija Kabaraitsya,100,politician,True
Q133896110,Florence Nkalubo,6,Q37226,Florence Nkalubo,99,teacher,True
Q105106300,Janet Wesonga,6,Q82955,Janet Wesonga,98,politician,True
Q124670599,Maria Najjuma,5,Q3665646,Maria Najjuma,98,basketball player,True
Q18683782,Concy Aciro,6,Q82955,Concy Aciro,95,politician,True
Q111439705,Nakabira Gertrude,6,Q82955,Gertrude Nakabira,93,politician,True
Q4357104,Rose Musani,7,Q4009406,Rose Musani,91,sprinter,True
Q30945457,Irene Muyanga,6,Q4009406,Irene Muyanga,89,sprinter,True
Q32144773,Farida Kyakutewa,6,Q4009406,Farida Kyakutema,88,sprinter,True
Q5553347,Gertrude Kayaga Mulindwa,7,Q182436,Gertrude Kayaga Mulindwa,87,librarian,True
Q15838612,Daisy Nakalyango,6,Q13141064,Daisy Nakalyango,87,badminton player,True
Q24572836,Adrian Tibaleka,5,Q82955,Adrian Tibaleka,86,politician,True
Q71240652,Purity Wako,9,Q2576499,Purity Wako,82,nutritionist,True
Q27678776,Hellen Lukoma,8,Q33999,,0,actor,True
Q5052905,Catherine Samali Kavuma,5,Q6625963,Catherine Samali Kavuma,0,novelist,True
Q5111091,Christine Kitumba,5,Q16533,Christine Kitumba,0,judge,True
Q51844074,Hellen Kahunde,5,Q82955,Hellen Kahunde,0,politician,True
Q52433205,Emily Nanziri,5,Q2066131,Emily Nanziri,0,athlete,True
Q53707363,Jacqueline Amongin,5,Q82955,Jacqueline Amongin,0,politician,True
Q54224710,Ssebugwawo Joyce Juliet,5,Q82955,Joyce Nabbosa Ssebugwawo,0,politician,True
Q54233867,Victoria Mwaka,5,Q82955,Victoria Mwaka,0,politician,True
Q55310161,Jessica Naiga,5,Q40348,Jessica Naiga,0,lawyer,True
Q55433683,Joyce Apio,5,Q12299841,Joyce Apio,0,cricketer,True
Q55433688,Gertrude Candiru,5,Q12299841,Gertrude Candiru,0,cricketer,True
Q55433795,Racheal Ntono,5,Q12299841,Racheal Ntono,0,cricketer,True
Q56065160,Quiin Abenakyo,5,Q18581305,Quiin Abenakyo,0,beauty pageant contestant,True
Q56161726,Stellah Nantumbwe,5,Q33999,Stellah Nantumbwe,0,actor,True
Q56289673,Esta Nambayo,5,Q16533,Esta Nambayo,0,judge,True
Q56949745,Sylvia Nayebale,5,Q82955,Sylvia Nayebale,0,politician,True
Q57825400,Nabayiga Idah,5,Q37226,Idah Nabayiga,0,teacher,True
Q57825425,Tophace Kaahwa,5,Q37226,Tophace Kaahwa,0,teacher,True
Q57829781,Margaret Aachilla Aleper,5,Q37226,Margaret Aachilla Aleper,0,teacher,True
Q57830246,Alyek Judith,5,Q82955,Judith Alyek,0,politician,True
Q57883753,Annettee Nakimuli,5,Q901,Annettee Nakimuli,0,scientist,True
Q58041343,Rama Jacqueline Aol,5,Q82955,Rama Jacqueline Aol,0,politician,True
Q58198507,Faridah Nakazibwe,5,Q1930187,Faridah Nakazibwe,0,journalist,True
Q58494894,Theopista Sekitto Ntale,5,Q806798,Theopista Sekitto Ntale,0,banker,True
Q58756497,Sanyu Robinah Mweruka,5,Q1930187,Sanyu Robinah Mweruka,0,journalist,True
Q59379942,Nesta Rugumayo,5,Q2576499,Nesta Rugumayo,0,nutritionist,True
Q62099508,Susan Amero,5,Q82955,Susan Amero,0,politician,True
Q62100890,Grace Kesande Bataringaya,5,Q37226,Grace Kesande Bataringaya,0,teacher,True
Q62118399,Peninnah Kasule,5,Q40348,Peninnah Kasule,0,lawyer,True
Q62129175,Lowila Cd Oketayot,5,Q82955,Lowila CD Oketayot,0,politician,True
Q62129230,Margaret Mbeiza Kisira,5,Q82955,Margaret Mbeiza Kisira,0,politician,True
Q62129269,Mirembe Lydia Daphine,5,Q82955,Lydia Daphine Mirembe,0,politician,True
Q62519673,Mariam Luyombo,5,Q37226,Mariam Luyombo,0,teacher,True
Q62574878,Stella Atal,5,Q3501317,Stella Atal,0,fashion designer,True
Q64011514,Monica Chibita,5,Q1930187,Monica Chibita,0,journalist,True
Q64495988,Ameede Agnes,5,Q82955,Agnes Ameede,0,politician,True
Q6471047,Laeticia Kikonyogo,5,Q16533,Laeticia Kikonyogo,0,judge,True
Q66606322,Gudula Naiga Basaza,5,Q43845,Gudula Naiga Basaza,0,businessperson,True
Q67500811,Margaret Lamwaka,5,Q37226,Margaret Lamwaka Odwar,0,teacher,True
Q68980508,Rachael Zena Chebet,5,Q2066131,Rachael Zena Chebet,0,athlete,True
Q6933087,Muhumusa,5,,Muhumusa,0,,False
Q69990468,Asinisi Fina Opio,5,Q1622272,Asinisi Fina Opio,0,university teacher,True
Q7047359,Noerine Kaleeba,5,Q15253558,Noerine Kaleeba,0,activist,True
Q7087377,Oliver Acii,5,Q11513337,Oliver Acii,0,athletics competitor,True
Q7422470,Sarah Kataike,5,Q82955,Sarah Kataike,0,politician,True
Q7422653,Sarah Opendi Achieng,5,Q82955,Sarah Achieng Opendi,0,politician,True
Q80776096,Judith Heard,5,Q2722764,Judith Heard,0,radio personality,True
Q83610077,Eunice Musiime,5,Q40348,Eunice Musiime,0,lawyer,True
Q83614948,Primah Kwagala,5,Q40348,Primah Kwagala,0,lawyer,True
Q84004959,Maria Auma,5,Q61048378,,0,climate activist,False
Q86372390,Anne Juuko,5,Q806798,Anne Juuko,0,banker,True
Q87474492,Hellen Baleke,5,Q11338576,Hellen Baleke,0,boxer,True
Q89370497,Rose Kabagyeni,5,Q82955,Rose Kabagyenyi,0,politician,True
Q90926112,Christine Nakwang Tubo,5,Q82955,Christine Nakwang Tubo,0,politician,True
Q90932356,Anifa Bangirana,5,Q82955,Bangirana Kawooya Anifa,0,politician,True
Q96194971,Malende Shamim,5,Q40348,Shamim Malende,0,lawyer,True
Q97011424,Sheila Gashumba,5,Q947873,Sheilah Gashumba,0,television presenter,True
Q97109424,Dominica Dipio,5,Q191808,Dominica Dipio,0,nun,True
Q97826143,Anne Kabagambe,5,Q43845,Anne Kabagambe,0,businessperson,True
Q97958856,Nadine Byarugaba,5,Q806798,Nadine Byarugaba,0,banker,True
Q98637883,Husnah Kukundakwe,5,Q10843402,Husnah Kukundakwe,0,swimmer,True
Q98716518,Elizabeth Mwesigwa,5,Q13141064,Elizabeth Mwesigwa,0,badminton player,True
Q104904723,Mariya Nzigiyimana,4,Q185196,Mariya Nzigiyimana,0,midwife,False
Q105322566,Nancy Kalembe,4,Q82955,Nancy Kalembe,0,politician,True
Q105642336,Wanjiku Muhia,4,Q82955,Wanjiku Muhia,0,politician,False
Q105760963,Veronica Namaganda Nanyondo,4,Q37226,Veronica Namaganda Nanyondo,0,teacher,True
Q105825829,Katusiime Annet Mugisha,4,Q82955,Annet Katusiime Mugisha,0,politician,True
Q105825933,Namujju Cissy Dionizia,4,Q82955,Cissy Dionizia Namujju,0,politician,True
Q105839516,Susan Mugabi Nakaziba,4,Q82955,Susan Mugabi Nakaziba,0,politician,True
Q105839631,Mugisa Margaret Muhanga,4,Q82955,Margaret Annet Muhanga Mugisa,0,politician,True
Q105903749,Namukuta Brenda,4,Q82955,Brenda Namukuta,0,politician,True
Q105904215,Kinshaba Patience Nkunda,4,Q82955,Patience Nkunda Kinshaba,0,politician,True
Q105944722,Jenifer Abaho Muheesi,4,Q82955,Jenifer Abaho Muheesi,0,politician,True
Q105951002,Natumanya Flora,4,Q82955,Flora Natumanya,0,politician,True
Q105951016,Jovanice Twinobusingye,4,Q82955,Jovanice Twinobusingye,0,politician,True
Q105951100,Nyakato Dorothy,4,Q82955,Dorothy Nyakato,0,politician,True
Q105955461,Flavia Rwabuhoro Kabahenda,4,Q82955,Flavia Rwabuhoro Kabahenda,0,politician,True
Q105956412,Nabukenya Brenda,4,Q82955,Brenda Nabukenya,0,politician,True
Q105958189,Molly Musiime Asiimwe,4,Q82955,Molly Musiime Asiimwe,0,politician,True
Q105962464,Juliet Kyinyamatama Suubi,4,Q82955,Juliet Kyinyamatama Suubi,0,politician,True
Q105962661,Margret Rwebyambu,4,Q82955,Margaret Rwebyambu,0,politician,True
Q105963047,Nambooze Teddy,4,Q82955,Teddy Nambooze,0,politician,True
Q105965509,Kevin Ojinga Kaala,4,Q82955,Kevin Ojinga Kaala,0,politician,True
Q105966087,Zomura Manezo,4,Q82955,Zomura Manezo,0,politician,True
Q105966258,Josyline Kamateneti,4,Q82955,Josyline Kamateneti,0,politician,True
Q105966392,Anne Mary Kobugabe Tumwine,4,Q82955,Anne Mary Kobugabe Tumwine,0,politician,True
Q105966555,Faith Nakut,4,Q82955,Faith Nakut,0,politician,True
Q106029262,Hanifa Nabukeera,4,Q2961975,Hanifa Nabukeera,0,business executive,True
Q106139107,Aber Lillian,4,Q82955,Lillian Aber,0,politician,True
Q106265557,Akello Judith Franca,4,Q82955,Akello Judith Franca,0,politician,True
Q106271438,Cindy Magara,4,Q2526255,Cindy Magara,0,film director,False
Q106368084,Jalia Bintu,4,Q37226,Jalia Bintu,0,teacher,True
Q106647739,Sophie Kyagulanyi,4,Q40348,Sophie Kyagulanyi,0,lawyer,True
Q107289268,Freda Mubanda,4,Q82955,Freda Mubanda Kasse,0,politician,True
Q107484961,Grace Nambatya Kyeyune,4,Q901,Grace Nambatya Kyeyune,0,scientist,True
Q108933256,Hasifah Nassuna,4,Q937857,Hasifah Nassuna,0,association football player,True
Q109024300,Rehmah Kasule,4,Q131524,Rehmah Kasule,0,entrepreneur,True
Q110781877,Chosen Becky,4,Q488205,Chosen Becky,0,singer-songwriter,True
Q110836871,Gorretti Byomire,4,Q82594,Gorretti Byomire,0,computer scientist,True
Q110898055,Baby Gloria,4,Q63243029,Baby Gloria,0,gospel musician,True
Q110967333,Ruth Aturo,4,Q937857,Ruth Aturo,0,association football player,True
Q110974049,Daisy Nakaziro,4,Q937857,Daisy Nakaziro,0,association football player,True
Q110978844,Shamirah Nalugya,4,Q937857,Shamirah Nalugya,0,association football player,True
Q111023763,Annet Nakimbugwe,4,Q937857,Annet Nakimbugwe,0,association football player,True
Q111293515,Misi Kabanda,4,Q82955,Minsa Kabanda,0,politician,True
Q111319472,Diana Nankunda Mutasingwa,4,Q82955,Diana Nankunda Mutasingwa,0,politician,True
Q111362760,Juliet Rainer Kafiire,4,Q82955,Juliet Rainer Kafiire,0,politician,True
Q111363094,Esther Opoti Dhugira,4,Q37226,Esther Opoti Dhugira,0,teacher,True
Q111438956,Nakato Kyabangi Katusime,4,Q82955,Nakato Kyabangi Katusiime,0,politician,True
Q111439077,Manjeri Kyebakutika,4,Q82955,Manjeri Kyebakutika,0,politician,True
Q111443805,Mpabwa Sarah Patience,4,Q82955,Mpabwa Sarah Patience,0,politician,True
Q111444396,Auma Juliana Modest,4,Q37226,Juliana Modesta Auma,0,teacher,True
Q111458401,Christine Ntegamahe Mwebesa,4,Q39631,Christine Ntegamahe Mwebesa,0,physician,True
Q111487131,Jeninah Ntabgoba,4,Q36180,Jeninah Ntabgoba,0,writer,True
Q111524946,Victor Nekesa,4,Q39631,Victor Nekesa,0,physician,True
Q111524966,Charity Bainababo,4,Q82955,Charity Bainababo,0,politician,True
