qitem,label,en_title,sitelink_count,views,occupation_names
Q109529927,Suzan Mweheire Kitariko,Suzan Mweheire Kitariko,3,0,business executive
Q108314425,Grace Muliisa,Grace Muliisa,3,0,business executive
Q138800911,Evelyn Zalwango,Evelyn Zalwango,1,0,"businessperson, carpenter, interior designer, social entrepreneur"
