qitem,label,en_title,sitelink_count,views,occupation_names
Q139845233,Sanyu Penelope,Sanyu Penelope,2,0,"writer, lawyer, human rights defender, social entrepreneur"
Q96587189,Rukh-Shana Namuyimba,Rukh-Shana Namuyimba,2,0,journalist
Q111893827,Eseza Omuto,Esther Kazinda,2,0,journalist
Q109265406,Anna Talia Oze,Anna Talia Oze,2,0,journalist
Q116301523,Hope Keshubi,Hope Keshubi,1,0,"writer, teacher"
Q137819555,Anisa Nandaula,Anisa Nandaula,1,0,"poet, comedian"
Q139770272,Mercy Nalugo,Mercy Nalugo,1,0,"writer, editor, journalist"
