qitem,label,sitelink_count,local_title,local_bytes,ref_bytes,views,completeness,is_stub
Q21518474,Danny Keogh,9,Danny Keogh,5407,6096.0,17971,88.7,False
Q707775,Mwanga II of Buganda,16,Ssekabaka Mwanga II owa Buganda,19356,20541.0,17421,94.2,False
Q11990282,Mustafa Adrisi,11,Mustafa Adrisi,3220,18192.0,17326,17.7,False
Q123483135,Barugahara Balaam,5,Balaam Barugahara,13651,14228.0,17244,95.9,False
Q113004679,David Onama,5,David Onama,14198,16974.0,16423,83.6,False
Q433057,Godfrey Binaisa,28,Godfrey Binaisa,171,10583.0,15956,1.6,True
Q501709,Jinja,55,Jinja,297,35824.0,15815,0.8,True
Q5069763,Jose Chameleone,8,Jose Chameleone,12450,17576.0,15647,70.8,False
Q500397,Bwindi Impenetrable National Park,47,Ekkuumiro ly'ebisolo erya Bwindi,41513,24264.0,15451,171.1,False
Q3185163,Joseph Kibweteere,5,Joseph Kibweteere,6778,9590.0,15310,70.7,False
Q812677,Bazilio Olara-Okello,22,Bazilio Olara-Okello,2503,4357.0,14910,57.4,False
Q500107,Fort Portal,32,Fort Portal,200,15476.0,14891,1.3,True
Q2187095,Uganda People's Congress,14,Uganda People's Congress,14144,18969.0,14590,74.6,False
Q24250414,Esteri Tebandeke,12,Esteri Tebandeke,12252,12287.0,14070,99.7,False
Q553089,David Kato,24,David Kato,23325,30817.0,13913,75.7,False
Q16148206,Cabinet of Uganda,5,Cabinet of Uganda,16403,14134.0,13709,116.1,False
Q336564,John Sentamu,21,John Sentamu,34249,50891.0,13673,67.3,False
Q102320873,Hamis Kiggundu,13,Hamis Kiggundu,30543,44056.0,13015,69.3,False
Q4118193,Mandela National Stadium,24,Ekisaawe ky'eggwanga ekya Mandela,11378,13696.0,12785,83.1,False
Q137561637,James Bogere,8,James Bogere,2743,4628.0,12738,59.3,False
Q623206,Presidential Commission of Uganda,6,Presidential Commission of Uganda,6400,7166.0,12551,89.3,False
Q659324,SC Villa,20,Kilaabu ya SC Villa,31454,23673.0,12530,132.9,False
Q1536346,Victory at Entebbe,10,Victory at Entebbe,6383,9857.0,12201,64.8,False
Q923489,Credonia Mwerinde,7,Credonia Mwerinde,5338,10534.0,12093,50.7,False
Q180261,list of cities and towns in Uganda,29,Olukalala lw'ebibuga n'obubuga mu Uganda,9110,9741.0,12025,93.5,False
Q242051,Irshad Manji,39,Irshad Manji,29575,48384.0,11854,61.1,False
Q58304913,Shafiq Zia,6,Shafiq Zia,10946,10476.0,11614,104.5,False
Q125888,Lake Albert,88,Ennyanja Mwitanzige,1986,17182.0,11227,11.6,True
Q65087995,Ish Wainright,12,Ishmail Wainright,17301,24583.0,11063,70.4,False
Q1512041,history of Uganda,28,Ebyafaayo bya Uganda,24811,29849.0,11030,83.1,False
Q50316336,Elvis Bwomono,7,Elvis Bwomono,4115,9486.0,11013,43.4,False
Q16202368,Uche Ikpeazu,12,Uche Ikpeazu,49479,56128.0,10732,88.2,False
Q16728749,Eddy Kenzo,11,Eddy Kenzo,21909,42955.0,10605,51.0,False
Q1711917,Julia Sebutinde,19,Julia Sebutinde,7279,25753.0,10564,28.3,False
Q431624,Miria Obote,13,Miria Obote,2051,13831.0,10484,14.8,False
Q1026465,Kadaga Rebecca Alitwala,27,Rebecca Kadaga,14837,20151.0,10265,73.6,False
Q24872105,Sheebah Karungi,9,Sheebah Karungi,19334,22365.0,10186,86.4,False
Q309426,Kasubi Tombs,57,Kasubi Tombs,19372,16877.0,10138,114.8,False
Q6873258,Miria Matembe,11,Miria Matembe,8346,10557.0,10120,79.1,False
Q7877575,Commonwealth realm of Uganda,11,Uganda (1962–1963),1745,5891.0,9492,29.6,True
Q305721,Abayudaya,16,Abayudaaya,26301,24509.0,9367,107.3,False
Q20684444,Aamito Lagum,9,Aamito Lagum,10795,11959.0,9343,90.3,False
Q2462330,Prime Minister of Uganda,18,Ssaabaminisita wa Uganda,9765,15281.0,9175,63.9,False
Q111530547,Nyamutoro Phiona,7,Phiona Nyamutoro,3148,10279.0,9099,30.6,False
Q740847,Denis Onyango,19,Denis Onyango,7925,20243.0,9029,39.1,False
Q5434722,Farah Damji,7,Farah Damji,24540,29391.0,8697,83.5,False
Q15999159,Muljibhai Madhvani,5,Muljibhai Madhvani,8103,9820.0,8611,82.5,False
Q6787393,Kasaija Matia,6,Matia Kasaija,6971,9957.0,8257,70.0,False
Q1395043,Janani Luwum,16,Janani Luwum,8018,12362.0,8127,64.9,False
Q1154617,politics of Uganda,14,Category:Ebyobufuzi mu Uganda,165,20504.0,8102,0.8,True
Q581379,Gulu City,48,Gulu,179,21328.0,8097,0.8,True
Q21759,Winnie Byanyima,28,Winnie Byanyima,8059,16974.0,7997,47.5,False
Q113560811,Basil Tuma,6,Basil Tuma,8095,10903.0,7987,74.2,False
Q15060544,Pione Sisto,39,"Pione Sisto, musambi wa mupiira",26839,27813.0,7948,96.5,False
Q2597300,Bundibugyo,13,Bundibugyo,176,11317.0,7745,1.6,True
Q889311,Muteesa I of Buganda,12,Muteesa I of Buganda,8861,15326.0,7580,57.8,False
Q30061488,boda boda,15,Boda-boda,2690,13040.0,7522,20.6,False
Q24572616,Aceng Jane Ruth Ocero,14,Jane Aceng,10414,26581.0,7280,39.2,False
Q4280983,Mao Norbert,8,Norbert Mao,11174,12554.0,7257,89.0,False
Q530084,Queen Elizabeth National Park,33,Queen Elizabeth National Park,6783,14872.0,7208,45.6,False
