qitem,label,description,tier,positions_held,sitelink_count,statements,en_title,lg_title,ugandan_citizen
Q111444396,Auma Juliana Modest,Ugandan politician,Parliament,member of parliament,4,21,Juliana Modesta Auma,Auma Juliana Omwetoowaze,yes
Q58042319,Babirye Kityo Sarah,Ugandan politician,Parliament,Member of Parliament of Uganda,4,21,Sarah Babirye Kityo,Breeze Sarah Babirye Kityo,yes
Q105890715,Esther Afoyochan,Ugandan politician and woman member of parliament,Parliament,District Woman Representative; Member of Parliament of Uganda,8,21,Esther Afoyochan,Eseza Afoyochan,yes
Q20684950,Florence Nebanda,Ugandan politician and Legislator,Parliament,Member of Parliament of Uganda; Uganda,5,21,Florence Nebanda,Florence Nebanda,yes
Q62100890,Grace Kesande Bataringaya,Ugandan politician,Parliament,Member of Parliament of Uganda,5,21,Grace Kesande Bataringaya,Grace Kesande Bataringaya,yes
Q105825829,Katusiime Annet Mugisha,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,4,21,Annet Katusiime Mugisha,Annet Katusiime Mugisha,yes
Q58042010,Margaret Baba Diri,Ugandan politician,Parliament,Member of Parliament of Uganda,9,21,Margaret Baba Diri,Margaret Baba Diri,yes
Q90934802,Nankabirwa Ann Maria,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,3,21,Ann Maria Nankabirwa,Ann Maria Nankabirwa,yes
Q62067701,Pamela Nasiyo Kamugo,Ugandan politician,Parliament,Member of Parliament of Uganda,3,21,Pamela Nasiyo Kamugo,Pamela Nasiyo Kamugo,yes
Q58041487,Rose Atima Ayaka,Ugandan politician,Parliament,Member of Parliament of Uganda,4,21,Rose Atima Ayaka,Rose Atima Ayaka,yes
Q32538609,Rwakimari Beatrice,Ugandan politician,Parliament,Member of Parliament of Uganda; member of parliament,6,21,Beatrice Rwakimari,Beatrice Rwakimari,yes
Q116603765,Aguti Sarah,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,3,20,Sarah Aguti Nyangkori,Sarah Aguti Nyangkori,yes
Q105962932,Atyang Stella,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda; member of parliament,5,20,Stella Atyang,Stella Atyang,yes
Q105904398,Chemutai Phyllis,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,6,20,Phyllis Chemutai,Phyllis Chemutai,yes
Q90926112,Christine Nakwang Tubo,Ugandan politician who is the woman representative member of parliament for Kaabong District,Parliament,Member of Parliament of Uganda,5,20,Christine Nakwang Tubo,Christine Tubo Nakwang,yes
Q58003275,Evarlyne Buregyeya Asiimwe,Ugandan politician,Parliament,Member of Parliament of Uganda; member of parliament,6,20,Asiimwe Evarlyne Buregyeya,Asiimwe Evarlyne Buregyeya,yes
Q50146409,Florence Alice Lubega,Ugandan politician,Parliament,Member of Parliament of Uganda; member of parliament,11,20,Florence Alice Lubega,Florence Alice Lubega,yes
Q105883576,Jane Awich,Ugandan politician,Parliament,District Woman Representative; Member of Parliament of Uganda,2,20,Jane Awich,"Jane Awich, omuwandiisi w’ebitabo",yes
Q62101151,Justine Khainza,Ugandan politician and social worker,Parliament,member of parliament,3,20,Justine Khainza,Justine Khainza,yes
