qitem,label,statements,occupation_names,description
Q138003651,Monica Namukose Kamagu,6,politician,Ugandan Politician
Q119954197,Musamali Paul Mwasa,6,politician,Ugandan Member of Parliament representative at the East African Legislative Assembly
Q138012693,Nagasha Catherine,6,politician,Ugandan politician
Q139962646,Namanya Viola Buroko,6,politician,Ugandan politician
Q138001775,Nancy Atimango,6,politician,Ugandan politician
Q138001982,Omondi Flavia,6,politician,Ugandan Politician
Q138161332,Resty Nanyonga,6,politician,Ugandan Politician
Q138006502,Robinah Rwakojo,6,politician,Ugandan Politician
Q137996797,Rose Acayo,6,politician,Ugandan politician
Q138003561,Rosette Asiimwe,6,politician,Ugandan Politician
Q137993900,Tracy Ninsiima,6,politician,Ugandan politician
Q110397348,Winfred Nabisinde,6,judge,Ugandan judge
Q138161351,,6,politician,Ugandan Politician
Q137990958,Agnes Amede,5,politician,Ugandan politician
Q137999794,Annet Nakyanja Mawejje,5,politician,Ugandan Politician
Q111082562,Bakeine Mabel Lilian Komugisha,5,politician,Ugandan Politician
Q134959355,Betty Okwir,5,politician,Ugandan politician
Q110397345,Damalie Lwanga,5,judge,Ugandan judge
Q137997834,Daphine Draza,5,politician,Uganda Politician
Q137997991,Deborah Akiteng,5,politician,Ugandan Politician
Q137993602,Emily Kugonza,5,politician,Ugandan politician
Q110397359,Florence Nakachwa,5,judge,Ugandan judge
Q138456235,Grace Nakato Auma,5,politician,Ugandan politician
Q134959385,Hajat Farida Katerega,5,politician,Ugandan politician
Q110397352,Immaculate Busingye,5,judge,Ugandan judge
Q137999727,Irene Melinda Nantumbwe,5,politician,Ugandan Politician
Q137992781,Jacklyne Tukamushaba,5,politician,Ugandan politician
Q126845280,Janat Akorimoe Akech,5,politician,Ugandan politician
Q110397356,Jane Okuo,5,judge,Ugandan judge
Q110397357,Jeanne Rwakakooko,5,judge,Ugandan judge
Q116977186,Kibowa Faridah Hajjat,5,"politician, women's rights activist","Ugandan politician, Chairperson of the National Women Council"
Q137997793,Lina Bangi,5,politician,Ugandan Politician
Q110397361,Linda Tumusiime,5,judge,Ugandan judge
Q138002120,Marim Magumba,5,politician,Ugandan Politician
Q134959423,Mary Astles Senkatuka,5,politician,Ugandan politician
Q137997977,Mercy Gorreti Atemo,5,politician,Ugandan Politician
Q138132349,Nanteza Juliet,5,politician,Ugandan politician
Q137993735,Naziiwa Magret Rujumba,5,politician,Ugandan politician
Q110397351,Patricia Basaza Wasswa,5,judge,Ugandan judge
Q138456243,Ruth Nalwanga Nansubuga,5,politician,Ugandan politician
Q137997817,Sandra Ewaecabo,5,politician,Ugandan politician
Q138002081,Sauda Kawuma Alibawo,5,politician,Ugandan Politician
Q137999650,Sheilah Amanyiyo,5,politician,Ugandan Politician and Economist
Q121289237,Susan Abbo,5,politician,Ugandan guild president of Makerere University
Q110397355,Susan Abinyo,5,judge,Ugandan judge
Q136762063,Sylvia Alinaitwe,5,politician,Ugandan accountant and politician
Q136823110,Winifred Matsiko Kamuhangi,5,politician,Ugandan politician
Q134959497,Zoe Bakoko Bakoru,5,politician,Ugandan politician
Q139740963,nakato branda,5,politician,Ugandan politician
Q141363734,ಸ್ಸಿನಬುಲ್ಯ ಸಿಲ್ವಿಯಾ ನಾಮಬಿದ್ದೆ,5,politician,ಉಗಾಂಡಾದ ರಾಜಕಾರಣಿ
Q133460017,Betty Kamya,4,politician,Ugandan politician
Q137997952,Hannifah Nyangoma,4,politician,Ugandan Politician
Q138456237,Harriet Namubiru Kansiime,4,politician,Ugandan politician
Q137991089,Jackline Senge,4,politician,Ugandan politician
Q137991898,Joan Nabatanzi,4,politician,Ugandan politician
Q137997896,Joreen Najemba,4,politician,Ugandan Politician
Q137992355,Katembo Fatuma Kamama,4,politician,Ugandan politician
Q140089916,Margaret Mutembeya Otteskov,4,diplomat,Ugandan diplomat
Q137990901,Maria Gorreti Ajilo Elogu,4,politician,Ugandan politician
Q137991986,Milly Natembo,4,politician,Ugandan politician
Q138456239,Sarah Atim Amongin,4,politician,Ugandan politician
Q133825335,Sarah Kasadha,4,politician,Ugandan politician
