qitem,label,en_title,sitelink_count,views,priority,type_labels,num_strategies,strategies
Q57873,Amama Mbabazi,Amama Mbabazi,22,4740,98.9,human,2,birth_death_wd|citizenship_wd
Q2311898,KCCA FC,Kampala Capital City Authority FC,19,5176,98.9,association football club,2,country_wd|keyword_title
Q305721,Abayudaya,Abayudaya,16,9367,98.9,"ethnic group, Jewish community",2,country_wd|keyword_title
Q20002690,Wakaliwood,Wakaliwood,15,14054,98.9,film studio,1,country_wd
Q710806,Kizza Besigye Kifeefe,Kizza Besigye,14,18040,98.9,human,2,birth_death_wd|citizenship_wd
Q105199030,2026 Ugandan general election,2026 Ugandan general election,12,43443,98.9,Ugandan general election,3,country_wd|keyword_title|part_of_wd
Q60467181,Among Anita Annet,Anita Among,12,38854,98.9,human,2,birth_death_wd|citizenship_wd
Q487300,Bank of Uganda,Bank of Uganda,20,4721,98.8,central bank,2,country_wd|keyword_title
Q200453,Bari people,Bari people,18,5083,98.8,ethnic group,1,country_wd
Q1027090,Betty Okino,Betty Okino,17,5777,98.8,human,1,birth_death_wd
Q2187095,Uganda People's Congress,Uganda People's Congress,14,14590,98.8,political party,2,country_wd|keyword_title
Q3653895,1971 Ugandan coup d'état,1971 Ugandan coup d'état,12,26104,98.8,coup d'état,2,country_wd|keyword_title
Q1792727,Kunyaza,Kunyaza,11,80447,98.8,human sexual behavior,1,country_wd
Q4022677,Kampala Mosque,Uganda National Mosque,18,4366,98.7,mosque,2,country_wd|keyword_title
Q15056380,Melvyn Lorenzen,Melvyn Lorenzen,17,4603,98.7,human,1,citizenship_wd
Q267234,Shailesh Vara,Shailesh Vara,15,8256,98.7,human,1,birth_death_wd
Q7877661,Uganda national cricket team,Uganda national cricket team,15,7154,98.7,national cricket team,2,country_wd|keyword_title
Q3261029,Nkole people,Nkole people,14,9110,98.7,ethnic group,1,country_wd
Q56222379,Allan Okello,Allan Okello,12,18973,98.7,human,2,birth_death_wd|citizenship_wd
Q1949128,Moses Ali,Moses Ali,11,48356,98.7,human,2,birth_death_wd|citizenship_wd
Q3345980,Ntare Mwine,Ntare Guma Mbaho Mwine,11,50754,98.7,human,1,citizenship_wd
Q58240,Sam Kutesa,Sam Kutesa,15,5678,98.6,human,2,birth_death_wd|citizenship_wd
Q2928157,Vipers SC,Vipers SC,14,6893,98.6,"association football club, sports club",1,country_wd
Q431624,Miria Obote,Miria Obote,13,10484,98.6,human,2,birth_death_wd|citizenship_wd
Q3074760,religion in Uganda,Religion in Uganda,11,21713,98.6,religion of an area,2,country_wd|keyword_title
Q3086949,Fred Rwigyema,Fred Rwigyema,11,21201,98.6,human,1,citizenship_wd
Q65086967,,Uganda Airlines,11,24934,98.6,airline,2,country_wd|keyword_title
Q510152,Uganda at the Olympics,Uganda at the Olympics,33,2151,98.5,Olympic delegation,2,country_wd|keyword_title
Q511779,Mount Sabyinyo,Mount Sabyinyo,28,2292,98.5,"mountain, extinct volcano",1,country_wd
Q1277379,30th meridian east,30th meridian east,22,2470,98.5,meridian,1,country_wd
Q714662,Martin Mutumba,Martin Kayongo-Mutumba,19,2799,98.5,human,1,citizenship_wd
Q5329451,East Sudanian Savanna,East Sudanian savanna,17,3386,98.5,WWF ecoregion,1,country_wd
