admin_qid,admin_label,items
Q49298197,Kyamuswa County,1
Q49298180,Kinkiizi County,1
Q49298166,Kassanda County,1
Q49298163,Kashari County,1
Q49298038,Busiro County,1
Q49298009,Buhaguzi County,1
Q49297989,Aswa County,1
Q4875393,Bbaale County,1
Q4766092,Ankole sub-region,1
Q4690976,Agago,1
Q4667801,Abim,1
Q4305496,Mpondwe,1
Q3876,Lilongwe,1
Q3870,Nairobi,1
Q38249629,Bunyangabu District,1
Q38249567,Pakwach District,1
Q3565504,Kigezi District,1
Q3528929,Mubende,1
Q3335467,Namilyango,1
Q3321599,Bukomansimbi District,1
Q32530441,Rwamucucu,1
Q31979558,Obalanga,1
Q3193685,Kasenyi,1
Q31887036,Bweema,1
Q31880352,Biguli,1
Q28231516,Bukasa Inland Port,1
Q2795682,Rwenzururu Kingdom,1
Q25907262,Gulu,1
Q258780,Bungoma District,1
Q25227163,Masafu,1
Q2505963,Kotido,1
Q2488907,Yumbe,1
Q2463008,Bushenyi,1
Q24054203,Kisubi,1
Q2318123,Luweero,1
Q2297538,Pallisa,1
Q2203142,Kapchorwa,1
Q1960,Dar es Salaam,1
Q16954390,Bugoye,1
Q16896022,Nyenga,1
Q16895628,Nakasero,1
Q16892998,Kabamba,1
Q1649358,Wakiso Town,1
Q1624192,Hoima,1
Q15478219,Bujumbura Province,1
Q15262424,Nkozi,1
Q15261089,Nateete,1
Q15260878,Namasagali,1
Q139366400,Rubaare,1
Q130625,North Kivu,1
Q1278653,Trans-Nzoia county,1
Q125888,Lake Albert,1
Q111911224,Kabarole,1
Q106540,Rwenzori Mountains,1
Q1024647,Ikeja,1
