languagecode,people,places,institutions,other,total,pct_people
ceb,2,5793,2,968,6765,0.0
en,3188,791,856,1757,6592,48.4
sw,638,3039,31,798,4506,14.2
lg,2634,404,257,297,3592,73.3
fr,515,248,107,508,1378,37.4
de,438,249,93,336,1116,39.2
arz,796,52,53,162,1063,74.9
ha,654,89,144,165,1052,62.2
es,288,197,94,322,901,32.0
ar,277,38,59,447,821,33.7
