qitem,label,en_title,sitelink_count,views,occupation_names
Q61989847,Sheila Atim,Sheila Atim,16,95196,"actor, stage actor, model"
Q108703410,Neema Iyer,Neema Iyer,5,176,"businessperson, artist, statistician"
Q6395424,Ketna Patel,Ketna Patel,2,0,artist
Q137274362,Jackline Katusiime,Jackline Katusiime,2,0,actor
Q136868303,Etania Mutoni,Etania Mutoni,1,0,"influencer, dancer, presenter"
